"Date: 11/09, Time: 11.00, Area: University Parking Lot",,,,,,,,,,,,
Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Exists?,Accessibility,Occluded Visibility,Domain,Category,Note (optional)
Broenddaeksel,Manhole Cover,1103665955,0,55.36774877,10.43137629,9/11/2020 12:51:12,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152827,1,55.36901208,10.43250911,9/11/2020 11:21:03,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152828,2,55.36866324,10.43252964,9/11/2020 11:34:10,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152856,3,55.36787564,10.43131696,9/11/2020 12:54:31,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152862,4,55.36858561,10.43074818,9/11/2020 11:42:04,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034153057,5,55.36928125,10.43114284,9/11/2020 11:13:32,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034153067,6,55.36863636,10.43194736,9/11/2020 11:36:34,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034153298,7,55.3686265,10.43170037,9/11/2020 11:37:02,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1103665959,8,55.36774031,10.43140044,9/11/2020 12:51:00,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1103666133,9,55.36822764,10.43126419,9/11/2020 12:01:33,Yes,100,100,Public,True Positive,It is around 10m to the north of the position on the map
Broenddaeksel,Manhole Cover,1034152826,10,55.36934009,10.43246399,9/11/2020 11:07:35,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152859,11,55.36836844,10.43172734,9/11/2020 12:10:34,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034152861,12,55.36860749,10.4312203,9/11/2020 11:38:50,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1034153061,13,55.36895799,10.43118893,9/11/2020 11:25:49,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1103665858,14,55.36804537,10.43179536,9/11/2020 12:31:54,Yes,100,100,Public,True Positive,
Broenddaeksel,Manhole Cover,1103665914,15,55.36785665,10.43128866,9/11/2020 12:55:16,Other,100,100,Public,False Positive,Its actually a downspout grille
Broenddaeksel,Manhole Cover,1103666027,16,55.36821643,10.43108595,9/11/2020 11:59:26,Yes,100,100,Public,True Positive,In grass
Mast,Mast (light fixture),1113474623,17,55.3688794,10.43195235,9/11/2020 11:33:11,Yes,80,8,Public,True Positive,
Mast,Mast (light fixture),1113474640,18,55.36887273,10.43177001,9/11/2020 11:32:42,Yes,50,75,Public,True Positive,From this feature onward (in time) the new method for visibility is used
Mast,Mast (light fixture),1113474651,19,55.36901712,10.4317495,9/11/2020 11:24:29,Yes,70,50,Public,True Positive,
Mast,Mast (light fixture),1113474817,20,55.36901842,10.43192959,9/11/2020 11:23:36,Yes,70,50,Public,True Positive,
Mast,Mast (light fixture),1034152897,21,55.36945691,10.43147583,9/11/2020 11:07:08,Yes,70,28,Public,True Positive,
Mast,Mast (light fixture),1034152900,22,55.36930682,10.43209749,9/11/2020 11:08:58,Yes,70,61,Public,True Positive,
Mast,Mast (light fixture),1034152901,23,55.36932139,10.43240367,9/11/2020 11:07:54,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152902,24,55.36928158,10.43149837,9/11/2020 11:11:49,Yes,70,78,Public,True Positive,
Mast,Mast (light fixture),1034152903,25,55.36926867,10.43119573,9/11/2020 11:13:09,Yes,70,69,Public,True Positive,
Mast,Mast (light fixture),1034152905,26,55.36915799,10.43242806,9/11/2020 11:20:27,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152906,27,55.36910821,10.43121534,9/11/2020 11:14:43,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152907,28,55.368946,10.43123836,9/11/2020 11:25:36,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152908,29,55.36878317,10.4312601,9/11/2020 11:27:35,Yes,100,100,Public,True Positive,
Mast,Mast (light fixture),1034152909,30,55.36865568,10.43141802,9/11/2020 11:37:24,Yes,100,100,Public,True Positive,
