area name,tag,type,amount
suburb,Hegn,LineString,237
suburb,Vejkant,LineString,32
suburb,Chikane,LineString,6
suburb,Vandloebskant,None,0
suburb,Helle,None,0
suburb,Trafikhegn,None,0
suburb,Jernbane,None,0
suburb,Broenddaeksel,Point,24
suburb,Mast,Point,40
suburb,Nedloebsrist,Point,58
suburb,Trae,Point,43
suburb,Skorsten,None,0
suburb,Bygning,Polygon,214
suburb,KratBevoksning,Polygon,2
suburb,Soe,None,0
suburb,Bassin,None,0
university_parking,Hegn,None,0
university_parking,Vejkant,LineString,49
university_parking,Chikane,None,0
university_parking,Vandloebskant,None,0
university_parking,Helle,None,0
university_parking,Trafikhegn,None,0
university_parking,Jernbane,None,0
university_parking,Broenddaeksel,Point,32
university_parking,Mast,Point,78
university_parking,Nedloebsrist,Point,72
university_parking,Trae,Point,90
university_parking,Skorsten,Point,12
university_parking,Bygning,Polygon,18
university_parking,KratBevoksning,None,0
university_parking,Soe,None,0
university_parking,Bassin,None,0
university_campus,Hegn,LineString,7
university_campus,Vejkant,LineString,52
university_campus,Chikane,None,0
university_campus,Vandloebskant,None,0
university_campus,Helle,LineString,2
university_campus,Trafikhegn,None,0
university_campus,Jernbane,None,0
university_campus,Broenddaeksel,Point,18
university_campus,Mast,Point,32
university_campus,Nedloebsrist,Point,16
university_campus,Trae,Point,19
university_campus,Skorsten,Point,24
university_campus,Bygning,Polygon,16
university_campus,KratBevoksning,None,0
university_campus,Soe,None,0
university_campus,Bassin,None,0
downtown,Hegn,LineString,38
downtown,Vejkant,LineString,36
downtown,Chikane,None,0
downtown,Vandloebskant,None,0
downtown,Helle,None,0
downtown,Trafikhegn,None,0
downtown,Jernbane,None,0
downtown,Broenddaeksel,Point,46
downtown,Mast,Point,30
downtown,Nedloebsrist,Point,69
downtown,Trae,Point,65
downtown,Skorsten,None,0
downtown,Bygning,Polygon,124
downtown,KratBevoksning,Polygon,1
downtown,Soe,None,0
downtown,Bassin,None,0
harbor,Hegn,LineString,7
harbor,Vejkant,LineString,33
harbor,Chikane,LineString,1
harbor,Vandloebskant,None,0
harbor,Helle,None,0
harbor,Trafikhegn,None,0
harbor,Jernbane,None,0
harbor,Broenddaeksel,Point,40
harbor,Mast,Point,7
harbor,Nedloebsrist,Point,50
harbor,Trae,Point,33
harbor,Skorsten,None,0
harbor,Bygning,Polygon,26
harbor,KratBevoksning,None,0
harbor,Soe,None,0
harbor,Bassin,None,0
park,Hegn,LineString,24
park,Vejkant,LineString,61
park,Chikane,None,0
park,Vandloebskant,LineString,13
park,Helle,None,0
park,Trafikhegn,None,0
park,Jernbane,None,0
park,Broenddaeksel,Point,14
park,Mast,Point,40
park,Nedloebsrist,Point,39
park,Trae,Point,58
park,Skorsten,None,0
park,Bygning,Polygon,17
park,KratBevoksning,Polygon,8
park,Soe,Polygon,3
park,Bassin,None,0
