ID,oldID,timestamp,lat,latDir,lon,lonDir,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,typename,subcategory,note,Kortopslag,Samaqua,GeoDanmark,Energifyn
0,2,113957,55.39077843,N,10.38269802,E,4,13,0.7,7.826,M,39.466,M,1,0026*49,Bench,,,4688,,,
1,27,121516.15,55.39156033,N,10.38157635,E,4,15,0.7,9.478,M,39.466,M,1.1,0026*47,Bench,,,11592,,,
2,48,122234.1,55.39199728,N,10.38149325,E,4,15,0.7,9.604,M,39.466,M,1.1,0026*4F,Bench,,,,,,
3,93,130905.85,55.39246619,N,10.38293701,E,4,11,1.1,8.668,M,39.466,M,0.9,0009*43,Bench,,,2669,,,
4,103,132514.45,55.39238444,N,10.38403174,E,4,8,1.8,7.803,M,39.466,M,1.5,0009*4E,Bench,,,,,,
5,49,122316.05,55.39189777,N,10.38148357,E,4,14,0.7,8.999,M,39.466,M,1,0026*40,Fuse Box,,,,,,1217
6,30,121706.7,55.39185611,N,10.38138909,E,4,15,0.7,9.391,M,39.466,M,1.7,0026*4F,Light Fixture,,,,,,47430
7,31,121721.75,55.39188205,N,10.38138726,E,4,15,0.7,9.389,M,39.466,M,1.8,0026*45,Light Fixture,,,,,,47431
8,32,121735.25,55.39188753,N,10.38138723,E,4,15,0.7,9.374,M,39.466,M,1.3,0026*46,Light Fixture,,,,,,47432
9,33,121746.4,55.39191069,N,10.3813874,E,4,15,0.7,9.386,M,39.466,M,1.4,0026*40,Light Fixture,,,,,,47433
10,34,121758.85,55.39191636,N,10.38138756,E,4,15,0.7,9.382,M,39.466,M,0.9,0026*4C,Light Fixture,,,,,,47434
11,35,121810.5,55.3919396,N,10.38138972,E,4,15,0.7,9.37,M,39.466,M,1.5,0026*40,Light Fixture,,,,,,47435
12,36,121819.75,55.39194503,N,10.38139041,E,4,15,0.7,9.374,M,39.466,M,1.8,0026*40,Light Fixture,,,,,,47436
13,37,121829.95,55.39196801,N,10.38139396,E,4,15,0.7,9.359,M,39.466,M,0.9,0026*46,Light Fixture,,,,,,47437
14,38,121839,55.39197352,N,10.3813952,E,4,15,0.7,9.356,M,39.466,M,2,0026*4F,Light Fixture,,,,,,47438
15,39,121854.3,55.39199593,N,10.38140123,E,4,15,0.7,9.372,M,39.466,M,1.3,0026*42,Light Fixture,,,,,,47439
16,39,121854.5,55.39199591,N,10.38140121,E,4,15,0.7,9.372,M,39.466,M,1.5,0026*44,Light Fixture,,,,,,47447
17,40,121926.75,55.39202584,N,10.38141366,E,4,15,0.7,9.392,M,39.466,M,1.8,0026*43,Light Fixture,,,,,,47446
18,41,121942.65,55.39203121,N,10.38141722,E,4,15,0.7,9.383,M,39.466,M,1.6,0026*47,Light Fixture,,,,,,47445
19,41,121956.85,55.39205868,N,10.38144054,E,4,15,0.7,9.395,M,39.466,M,1.9,0026*46,Light Fixture,,,,,,47444
20,41,122014.05,55.39206341,N,10.38144551,E,4,15,0.7,9.416,M,39.466,M,1,0026*4D,Light Fixture,,,,,,47443
21,43,122046.95,55.39209438,N,10.38148785,E,4,15,0.7,9.4,M,39.466,M,2,0026*49,Light Fixture,,,,,,47442
22,44,122103.35,55.3920986,N,10.38149458,E,4,15,0.7,9.561,M,39.466,M,1.4,0026*4D,Light Fixture,,,,,,47441
23,45,122121.95,55.39213132,N,10.38155995,E,4,14,0.7,9.546,M,39.466,M,0.9,0026*4A,Light Fixture,,,,,,47440
24,46,122132.75,55.39213455,N,10.38156755,E,4,13,0.8,9.553,M,39.466,M,1.8,0026*43,Light Fixture,,,,,,47429
25,47,122154.2,55.39215943,N,10.38161328,E,4,14,0.7,9.581,M,39.466,M,1.2,0026*4E,Light Fixture,,,,,,45448
26,52,122528.25,55.39209899,N,10.38172974,E,4,13,0.9,9.334,M,39.466,M,1.3,0026*49,Light Fixture,,,,,,6819
27,57,122810.3,55.39221878,N,10.38179086,E,4,11,0.9,9.554,M,39.466,M,1.3,0026*41,Light Fixture,,,,,1034130943,45449
28,58,122902.85,55.39223404,N,10.38184596,E,4,13,0.8,9.507,M,39.466,M,0.9,0026*4D,Light Fixture,,,,,,47412
29,59,122922.9,55.39223734,N,10.38185348,E,4,10,1,9.323,M,39.466,M,1.9,0026*4E,Light Fixture,,,,,,47428
30,60,122946.05,55.39226371,N,10.38190209,E,4,12,0.8,9.3,M,39.466,M,1,0026*46,Light Fixture,,,,,,47427
31,61,123132.2,55.39226752,N,10.38190879,E,4,11,1,9.21,M,39.466,M,1.2,0009*4E,Light Fixture,,,,,,47426
32,62,123157.5,55.39229545,N,10.38195438,E,4,13,0.8,9.193,M,39.466,M,1.5,0009*41,Light Fixture,,,,,,47425
33,63,123218.75,55.39229967,N,10.38196092,E,4,11,1,9.085,M,39.466,M,0.8,0009*4F,Light Fixture,,,,,,47424
34,64,123238.65,55.3923207,N,10.38199928,E,4,13,0.8,9.087,M,39.466,M,1.6,0009*4A,Light Fixture,,,,,,47423
35,66,123300.55,55.3923245,N,10.38200673,E,4,13,0.8,8.972,M,39.466,M,1.5,0009*42,Light Fixture,,,,,,47422
36,66,123328.2,55.39234189,N,10.38204935,E,4,12,0.9,8.921,M,39.466,M,1.2,0009*47,Light Fixture,,,,,,47421
37,67,123348.3,55.39234451,N,10.38205777,E,4,12,0.9,8.772,M,39.466,M,1.3,0009*4B,Light Fixture,,,,,,47420
38,67,123406.4,55.39235589,N,10.38210024,E,4,12,0.9,8.784,M,39.466,M,1.4,0009*40,Light Fixture,,,,,,47419
39,68,123424.6,55.39235774,N,10.38210967,E,4,12,0.9,8.793,M,39.466,M,1.6,0009*4F,Light Fixture,,,,,,47418
40,69,123441.85,55.39236468,N,10.38215348,E,4,13,0.8,8.757,M,39.466,M,1.9,0009*45,Light Fixture,,,,,,47417
41,70,123548.4,55.39236615,N,10.38216319,E,4,12,0.9,8.632,M,39.466,M,1.4,0009*4A,Light Fixture,,,,,,47416
42,71,123605.15,55.39237038,N,10.38220245,E,4,13,0.8,8.614,M,39.466,M,1.1,0009*48,Light Fixture,,,,,,47415
43,72,123624,55.39237131,N,10.38221192,E,4,13,0.8,8.613,M,39.466,M,1,0009*4B,Light Fixture,,,,,,47414
44,73,123640.85,55.39237467,N,10.38224204,E,4,13,0.8,8.522,M,39.466,M,0.9,0009*43,Light Fixture,,,,,,47413
45,77,124310.15,55.39241092,N,10.38236354,E,4,12,1,8.689,M,39.466,M,1.1,0009*4A,Manhole Cover,Non-standard,,,,,
46,51,122451,55.39212333,N,10.38170292,E,4,14,0.8,9.479,M,39.466,M,1,0026*4C,Misc,Remains of a water fountain,,5540,,,
47,56,122745.75,55.39219741,N,10.38186881,E,4,13,0.8,9.318,M,39.466,M,0.8,0026*44,Misc,Remains of a book stand,,,,,
