ID,time,lat,latDir,lon,lonDir,fix,nSat,altitude,unit,height (datum),unit,DGPSRefID?,checksum,note,typename,sub category
0,101532.8,55.36781522,N,10.43267351,E,4,10,23.235,M,39.413,M,1.8,0008*7A,,Light Fixture,
1,101617.85,55.36780221,N,10.43232589,E,4,7,23.544,M,39.413,M,1.9,0008*76,,Light Fixture,
3,101752.75,55.36781463,N,10.43226966,E,4,7,23.082,M,39.413,M,1.8,0008*78,,Tree,
4,101828.9,55.36782151,N,10.43210906,E,4,8,21.5,M,39.413,M,0.9,0008*71,,Manhole Cover,Small Manhole Cover
5,101908.8,55.36777665,N,10.43202769,E,5,6,22.389,M,39.413,M,1.8,0008*7C,,Manhole Cover,Small Manhole Cover
6,101936.9,55.36771229,N,10.43224333,E,5,6,12.78,M,39.413,M,0.9,0008*7E,,Manhole Cover,
8,102021.55,55.36780736,N,10.4319671,E,4,9,25.602,M,39.413,M,1.5,0008*7B,,Trash Can,
9,102035.2,55.36782514,N,10.43196336,E,4,9,25.512,M,39.413,M,1.2,0008*7D,,Bench,
10,102046.2,55.3678314,N,10.4319778,E,4,9,26.397,M,39.413,M,1.2,0008*7D,,Light Fixture,
11,102125.8,55.36788908,N,10.43195788,E,4,9,21.996,M,39.413,M,1.8,0008*73,,Bench,
12,102138.25,55.36791301,N,10.43197176,E,4,5,22.917,M,39.413,M,1.3,0008*72,,Tree,
13,102147.4,55.36794226,N,10.43194983,E,4,10,21.92,M,39.413,M,1.4,0008*74,,Bench,
14,102202,55.3679613,N,10.43194744,E,4,6,22.349,M,39.413,M,2,0008*72,,Trash Can,
15,102209.95,55.3679523,N,10.43196575,E,4,11,22.878,M,39.413,M,0.9,0008*70,,Light Fixture,
16,102219.55,55.36798303,N,10.43196657,E,4,11,22.975,M,39.413,M,1.5,0008*7F,,Tree,
17,102234.55,55.36797478,N,10.43203876,E,4,12,22.972,M,39.413,M,1.5,0008*72,,Tree,
18,102245.35,55.3679856,N,10.4321144,E,4,9,22.965,M,39.413,M,1.4,0008*7B,,Tree,
19,102312.15,55.36798687,N,10.43235133,E,4,10,23.185,M,39.413,M,1.1,0008*76,,Tree,
20,102327.6,55.3679677,N,10.43243147,E,4,9,23.139,M,39.413,M,1.6,0008*75,,Tree,
21,102339.75,55.36799363,N,10.43246308,E,4,12,23.249,M,39.413,M,1.8,0008*72,,Tree,
22,102427.7,55.36782653,N,10.43270127,E,4,9,21.416,M,39.413,M,1.7,0008*77,,Downspout Grille,Round Downspout Grille
23,102440.65,55.36792726,N,10.43264575,E,4,11,21.451,M,39.413,M,1.6,0008*7B,,Manhole Cover,
24,102509.15,55.36780118,N,10.43250728,E,4,6,21.697,M,39.413,M,2.2,0008*72,,Manhole Cover,
25,102535.45,55.36790513,N,10.4323593,E,4,6,21.476,M,39.413,M,1.5,0008*78,,Downspout Grille,
26,102545.55,55.36795446,N,10.43237368,E,4,7,22.916,M,39.413,M,1.5,0008*74,,Light Fixture,
27,102608.55,55.36791713,N,10.43227614,E,4,9,21.823,M,39.413,M,1.5,0008*76,,Manhole Cover,
28,102624.1,55.36789868,N,10.43219695,E,4,7,21.706,M,39.413,M,1.1,0008*78,,Downspout Grille,
30,102643.65,55.36789454,N,10.43210134,E,4,11,21.766,M,39.413,M,1.6,0008*78,,Downspout Grille,
31,102713,55.36789042,N,10.43200886,E,4,8,21.673,M,39.413,M,1,0008*78,,Downspout Grille,
32,102751.8,55.36795047,N,10.43174556,E,4,12,22.138,M,39.413,M,0.8,0008*79,,Trash Can,
33,102758.25,55.36793273,N,10.43175371,E,4,9,21.907,M,39.413,M,1.3,0008*70,,Bench,
