ID,time,lat,latDir,lon,lonDir,fix,nSat,hError,note,typename,date
0,110029.95,55.37615878,N,10.3874525,E,4,7,1.6,,Tree,08/11/2020
1,110318,55.37611033,N,10.38737082,E,4,7,2,,Tree,08/11/2020
3,111134.75,55.37616158,N,10.38722918,E,5,9,1.4,,Tree,08/11/2020
4,111517.5,55.37611043,N,10.38722895,E,5,11,1.1,,Tree,08/11/2020
5,111626.95,55.37612755,N,10.38714407,E,5,11,0.9,,Tree,08/11/2020
6,111732.7,55.37612788,N,10.3869952,E,5,13,0.8,,Tree,08/11/2020
7,111846.2,55.37619383,N,10.38700888,E,5,10,1.1,,Tree,08/11/2020
8,112029.55,55.37612278,N,10.38668363,E,5,11,1.5,,Light Fixture,08/11/2020
9,112406.95,55.37615023,N,10.38665048,E,4,11,1,,Downspout Grille,08/11/2020
10,112501.9,55.37616005,N,10.38629825,E,4,7,2,,Light Fixture,08/11/2020
11,112628.05,55.37617713,N,10.38631825,E,4,6,2.4,,Downspout Grille,08/11/2020
12,112718.85,55.37620422,N,10.38630213,E,4,6,4.3,,Manhole Cover,08/11/2020
13,112755.45,55.3762359,N,10.38637918,E,4,8,1.8,,Downspout Grille,08/11/2020
14,112839.15,55.37621257,N,10.38666505,E,4,9,1,,Downspout Grille,08/11/2020
15,112932.2,55.37622943,N,10.3861227,E,4,8,1.4,,Manhole Cover,08/11/2020
16,113000.9,55.37627833,N,10.38585632,E,4,9,1.2,,Downspout Grille,08/11/2020
17,113037.7,55.3763296,N,10.38550028,E,4,9,1.2,,Downspout Grille,08/11/2020
18,113055.25,55.37632168,N,10.3854223,E,4,8,1.9,,Manhole Cover,08/11/2020
19,113132.2,55.37638845,N,10.38529517,E,4,10,1.1,,Downspout Grille,08/11/2020
20,113242.7,55.37649273,N,10.3852926,E,4,6,4.4,,Downspout Grille,08/11/2020
21,113315.2,55.37650657,N,10.38514012,E,4,9,1.2,,Light Fixture,08/11/2020
22,113354.4,55.3765234,N,10.38520617,E,4,9,1.2,,Manhole Cover,08/11/2020
23,113419.55,55.37657632,N,10.3852036,E,4,7,2.6,,Manhole Cover,08/11/2020
24,113526.15,55.37672822,N,10.3851331,E,4,9,1,,Light Fixture,08/11/2020
25,113552.85,55.37673317,N,10.38515475,E,4,11,0.8,,Tree,08/11/2020
26,113619.7,55.37676328,N,10.38524812,E,4,11,0.8,,Tree,08/11/2020
27,113629.65,55.37677887,N,10.38526163,E,4,8,1.2,,Downspout Grille,08/11/2020
28,113705.1,55.37687722,N,10.38558998,E,4,7,1.7,,Light Fixture,08/11/2020
29,113731,55.3769248,N,10.385696,E,4,7,1.6,,Downspout Grille,08/11/2020
30,113754.15,55.3769541,N,10.3858164,E,4,10,0.9,,Tree,08/11/2020
31,113820.45,55.37700213,N,10.3859379,E,4,9,1,,Tree,08/11/2020
32,113840.75,55.37702825,N,10.38600815,E,4,9,1.2,,Light Fixture,08/11/2020
33,113855.65,55.3770541,N,10.38604365,E,4,8,1.2,,Downspout Grille,08/11/2020
34,113953.45,55.37687557,N,10.38626747,E,4,9,1,,Light Fixture,08/11/2020
35,114040.65,55.37698755,N,10.38610552,E,4,12,0.8,,Bench,08/11/2020
36,114124.4,55.3771747,N,10.38635193,E,4,7,2.4,,Manhole Cover,08/11/2020
37,114152.05,55.37722472,N,10.38637277,E,4,9,1.1,,Manhole Cover,08/11/2020
38,114205.4,55.37725808,N,10.38639852,E,4,8,1.8,,Light Fixture,08/11/2020
39,114244.9,55.37710723,N,10.3859814,E,4,10,0.9,,Downspout Grille,08/11/2020
41,114341.4,55.37707392,N,10.38586265,E,4,11,0.9,,Tree,08/11/2020
43,114422.8,55.37697257,N,10.3855897,E,4,10,0.9,,Tree,08/11/2020
44,114555.9,55.37698038,N,10.38563485,E,4,8,1.4,,Downspout Grille,08/11/2020
45,114633.1,55.37696598,N,10.38571017,E,4,12,0.9,,Manhole Cover,08/11/2020
46,114705.1,55.37688963,N,10.38535122,E,4,9,1.1,,Tree,08/11/2020
47,114753.85,55.376838,N,10.38521012,E,4,8,1.6,,Downspout Grille,08/11/2020
48,114806.95,55.37683172,N,10.38517357,E,4,11,1.2,,Tree Stump,08/11/2020
49,114824.7,55.3767981,N,10.38505873,E,4,10,1.2,,Tree,08/11/2020
50,114855.1,55.37674443,N,10.38488805,E,4,10,1.1,,Tree,08/11/2020
