ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit,dgpsAge,checksum,note,typename,sub category
0,55.36781522,10.43267351,101532.8,5522.068913,N,1025.960411,E,4,10,,23.235,M,39.413,M,1.8,0008*7A,,Light Fixture,
1,55.36780221,10.43232589,101617.85,5522.068133,N,1025.939553,E,4,7,,23.544,M,39.413,M,1.9,0008*76,,Light Fixture,
3,55.36781463,10.43226966,101752.75,5522.068878,N,1025.93618,E,4,7,,23.082,M,39.413,M,1.8,0008*78,,Tree,
4,55.36782151,10.43210906,101828.9,5522.069291,N,1025.926544,E,4,8,,21.5,M,39.413,M,0.9,0008*71,,Manhole Cover,Small Manhole Cover
5,55.36777665,10.43202769,101908.8,5522.066599,N,1025.921661,E,5,6,,22.389,M,39.413,M,1.8,0008*7C,,Manhole Cover,Small Manhole Cover
6,55.36771229,10.43224333,101936.9,5522.062737,N,1025.9346,E,5,6,,12.78,M,39.413,M,0.9,0008*7E,,Manhole Cover,
8,55.36780736,10.4319671,102021.55,5522.068442,N,1025.918026,E,4,9,,25.602,M,39.413,M,1.5,0008*7B,,Trash Can,
9,55.36782514,10.43196336,102035.2,5522.069508,N,1025.917802,E,4,9,,25.512,M,39.413,M,1.2,0008*7D,,Bench,
10,55.3678314,10.4319778,102046.2,5522.069884,N,1025.918668,E,4,9,,26.397,M,39.413,M,1.2,0008*7D,,Light Fixture,
11,55.36788908,10.43195788,102125.8,5522.073345,N,1025.917473,E,4,9,,21.996,M,39.413,M,1.8,0008*73,,Bench,
12,55.36791301,10.43197176,102138.25,5522.074781,N,1025.918306,E,4,5,,22.917,M,39.413,M,1.3,0008*72,,Tree,
13,55.36794226,10.43194983,102147.4,5522.076536,N,1025.91699,E,4,10,,21.92,M,39.413,M,1.4,0008*74,,Bench,
14,55.3679613,10.43194744,102202,5522.077678,N,1025.916846,E,4,6,,22.349,M,39.413,M,2,0008*72,,Trash Can,
15,55.3679523,10.43196575,102209.95,5522.077138,N,1025.917945,E,4,11,,22.878,M,39.413,M,0.9,0008*70,,Light Fixture,
16,55.36798303,10.43196657,102219.55,5522.078982,N,1025.917994,E,4,11,,22.975,M,39.413,M,1.5,0008*7F,,Tree,
17,55.36797478,10.43203876,102234.55,5522.078487,N,1025.922326,E,4,12,,22.972,M,39.413,M,1.5,0008*72,,Tree,
18,55.3679856,10.4321144,102245.35,5522.079136,N,1025.926864,E,4,9,,22.965,M,39.413,M,1.4,0008*7B,,Tree,
19,55.36798687,10.43235133,102312.15,5522.079212,N,1025.94108,E,4,10,,23.185,M,39.413,M,1.1,0008*76,,Tree,
20,55.3679677,10.43243147,102327.6,5522.078062,N,1025.945888,E,4,9,,23.139,M,39.413,M,1.6,0008*75,,Tree,
21,55.36799363,10.43246308,102339.75,5522.079618,N,1025.947785,E,4,12,,23.249,M,39.413,M,1.8,0008*72,,Tree,
22,55.36782653,10.43270127,102427.7,5522.069592,N,1025.962076,E,4,9,,21.416,M,39.413,M,1.7,0008*77,,Downspout Grille,Round Downspout Grille
23,55.36792726,10.43264575,102440.65,5522.075636,N,1025.958745,E,4,11,,21.451,M,39.413,M,1.6,0008*7B,,Manhole Cover,
24,55.36780118,10.43250728,102509.15,5522.068071,N,1025.950437,E,4,6,,21.697,M,39.413,M,2.2,0008*72,,Manhole Cover,
