ID,PointID,East,North,Elevation,Date,CLASS,typename,area,note
0,3,587685.5297,6139255.445,0.9569,unknown,MEAS,Tree_ts,park,
1,4,587695.2526,6139246.47,1.2834,unknown,MEAS,Tree_ts,park,
2,5,587678.672,6139237.572,1.7123,unknown,MEAS,Tree_ts,park,
3,6,587678.6672,6139237.574,1.7125,unknown,MEAS,Tree_ts,park,
4,7,587667.6695,6139229.953,1.8681,unknown,MEAS,Light Fixture_ts,park,
5,8,587667.0695,6139230.21,1.8453,unknown,MEAS,Trash Can_ts,park,
6,9,587647.7988,6139233.698,1.9041,unknown,MEAS,Light Fixture_ts,park,
7,10,587627.8413,6139237.384,1.973,unknown,MEAS,Light Fixture_ts,park,
8,11,587609.5422,6139240.655,2.0149,unknown,MEAS,Trash Can_ts,park,
9,12,587608.1814,6139240.901,1.9777,unknown,MEAS,Light Fixture_ts,park,
10,13,587586.3782,6139244.839,2.119,unknown,MEAS,Light Fixture_ts,park,
11,14,587668.1442,6139227.888,1.7101,unknown,MEAS,Tree_ts,park,
12,15,587667.1889,6139218.775,1.3416,unknown,MEAS,Tree_ts,park,
13,16,587667.4452,6139211.199,1.3119,unknown,MEAS,Tree_ts,park,
14,17,587673.9552,6139205.528,1.4505,unknown,MEAS,Tree_ts,park,
15,18,587667.4623,6139205.273,1.3436,unknown,MEAS,Tree_ts,park,
16,19,587665.1765,6139203.788,1.2099,unknown,MEAS,Tree_ts,park,
17,20,587673.4943,6139201.763,1.5602,unknown,MEAS,Tree_ts,park,
18,21,587672.202,6139197.857,1.4204,unknown,MEAS,Tree_ts,park,
19,22,587659.0073,6139203.166,0.7196,unknown,MEAS,Tree_ts,park,
20,23,587659.0376,6139203.138,0.7195,unknown,MEAS,Tree_ts,park,
21,24,587656.1417,6139199.504,0.8943,unknown,MEAS,Tree_ts,park,
22,25,587651.5974,6139197.286,0.5569,unknown,MEAS,Tree_ts,park,
23,26,587656.0453,6139193.781,0.9124,unknown,MEAS,Tree_ts,park,
