PointNo,PointID,East,North,Elevation,Date,CLASS,typename
8390588,0,587685.5297,6139255.445,0.956899,05-10-2018/05:43:30.0,MEAS,Tree_ts
8390589,1,587695.2526,6139246.47,1.283447,05-10-2018/05:46:24.0,MEAS,Tree_ts
8390590,2,587678.672,6139237.572,1.712292,05-10-2018/05:49:45.0,MEAS,Tree_ts
8390591,3,587678.6672,6139237.574,1.712457,05-10-2018/05:50:24.0,MEAS,Tree_ts
8390592,4,587667.6695,6139229.953,1.868054,05-10-2018/05:53:49.0,MEAS,Light Fixture_ts
8390593,5,587667.0695,6139230.21,1.845307,05-10-2018/05:55:15.0,MEAS,Trash Can_ts
8390594,6,587647.7988,6139233.698,1.904091,05-10-2018/05:56:29.0,MEAS,Light Fixture_ts
8390595,7,587627.8413,6139237.384,1.973012,05-10-2018/05:57:16.0,MEAS,Light Fixture_ts
8390596,8,587609.5422,6139240.655,2.014864,05-10-2018/05:58:07.0,MEAS,Trash Can_ts
8390597,9,587608.1814,6139240.901,1.977673,05-10-2018/05:58:56.0,MEAS,Light Fixture_ts
8390598,10,587586.3782,6139244.839,2.118996,05-10-2018/06:00:18.0,MEAS,Light Fixture_ts
8390599,11,587668.1442,6139227.888,1.710087,05-10-2018/06:05:15.0,MEAS,Tree_ts
8390600,12,587667.1889,6139218.775,1.341637,05-10-2018/06:06:07.0,MEAS,Tree_ts
8390601,13,587667.4452,6139211.199,1.311852,05-10-2018/06:06:45.0,MEAS,Tree_ts
8390602,14,587673.9552,6139205.528,1.450542,05-10-2018/06:08:13.0,MEAS,Tree_ts
8390603,15,587667.4623,6139205.273,1.343622,05-10-2018/06:08:49.0,MEAS,Tree_ts
8390604,16,587665.1765,6139203.788,1.209924,05-10-2018/06:09:44.0,MEAS,Tree_ts
8390605,17,587673.4943,6139201.763,1.560217,05-10-2018/06:10:34.0,MEAS,Tree_ts
8390606,18,587672.202,6139197.857,1.420365,05-10-2018/06:11:10.0,MEAS,Tree_ts
