#,id,name,description,geometry
int,int,str,str,str
0,45563,TL740798,Base Data (ef) h:3.0,"Point;587615.0938796654,6139599.49808377"
1,45429,TL740798,Base Data (ef) h:6.0,"Point;587640.1992476,6139495.733965868"
2,45428,TL740798,Base Data (ef) h:6.0,"Point;587620.6423723234,6139494.677285508"
3,45515,TL740798,Base Data (ef) h:None,"Point;587701.7005856885,6139538.145050717"
4,45514,TL740798,Base Data (ef) h:None,"Point;587698.6105413248,6139537.415661839"
5,45522,TL740798,Base Data (ef) h:3.0,"Point;587628.5669573399,6139588.137960372"
6,45519,TL740798,Base Data (ef) h:3.0,"Point;587701.415252581,6139552.562671828"
7,45520,TL740798,Base Data (ef) h:3.0,"Point;587677.1620613332,6139560.062442631"
8,45524,TL740798,Base Data (ef) h:8.0,"Point;587650.84234237,6139569.081981138"
9,45523,TL740798,Base Data (ef) h:8.0,"Point;587633.9712484475,6139579.54446555"
10,45525,TL740798,Base Data (ef) h:8.0,"Point;587676.6199615167,6139556.792961046"
11,45538,TL740798,Base Data (ef) h:3.0,"Point;587715.577140193,6139603.767335724"
12,45558,TL740798,Base Data (ef) h:3.0,"Point;587545.5178875991,6139566.629826149"
13,45557,TL740798,Base Data (ef) h:3.0,"Point;587576.8908458444,6139577.76152349"
14,45556,TL740798,Base Data (ef) h:3.0,"Point;587611.9203733177,6139580.234776832"
15,45577,TL740798,Base Data (ef) h:8.0,"Point;587691.7393812019,6139637.577181057"
16,45576,TL740798,Base Data (ef) h:8.0,"Point;587668.061958189,6139620.742355179"
17,45575,TL740798,Base Data (ef) h:8.0,"Point;587645.0699474793,6139604.477883759"
18,45574,TL740798,Base Data (ef) h:8.0,"Point;587622.1477359089,6139587.880968842"
19,45573,TL740798,Base Data (ef) h:8.0,"Point;587597.7972766673,6139579.382061295"
20,45572,TL740798,Base Data (ef) h:8.0,"Point;587576.2723811794,6139572.163931301"
21,45571,TL740798,Base Data (ef) h:8.0,"Point;587532.8490178192,6139557.386618799"
22,45562,TL740798,Base Data (ef) h:Andet,"Point;587627.9696628882,6139597.792746348"
23,45561,TL740798,Base Data (ef) h:Andet,"Point;587604.8103021991,6139577.183736953"
24,45707,TL740798,Base Data (ef) h:8.0,"Point;587569.0799548184,6139675.8813798325"
25,45706,TL740798,Base Data (ef) h:8.0,"Point;587584.642194197,6139648.360892479"
26,45705,TL740798,Base Data (ef) h:8.0,"Point;587595.9376763682,6139628.325337188"
27,15859,TL740798,Base Data (ef) h:3.0,"Point;587575.0259357345,6139660.414889572"
28,45690,TL740798,Base Data (ef) h:3.0,"Point;587603.6167295376,6139610.020403714"
29,45691,TL740798,Base Data (ef) h:3.0,"Point;587598.4528031056,6139629.068588137"
30,45704,TL740798,Base Data (ef) h:8.0,"Point;587611.2991842345,6139601.357540879"
31,45521,TL740798,Base Data (ef) h:3.0,"Point;587644.2436923642,6139569.2805584315"
32,18648,TL740798,Base Data (ef) h:3.0,"Point;587608.4045880657,6139587.6078096675"
33,18652,TL740798,Base Data (ef) h:3.0,"Point;587663.1319499942,6139565.9868020695"
34,18802,TL740798,Base Data (ef) h:3.0,"Point;587572.2662858255,6139566.518409735"
35,24970,TL740798,Base Data (ef) h:8.0,"Point;587555.6974097302,6139564.964776114"
36,38596,TL740798,Base Data (ef) h:8.0,"Point;587704.2180194063,6139548.547782372"
37,1221,TL740800,Fuse Boxes (ef),"Point;587589.8939683709,6139578.557101624"
