#,id,name,description,geometry
int,int,str,str,str
0,1103723692,Bygning,Bygning,"Polygon;587604.14,6139502.37;587604.71,6139502.55;587598.86,6139521.89;587597.52,6139526.5;587593.42,6139540.03;587593.2,6139539.97;587591.32,6139546.73;587585.46,6139567.85;587585.31,6139568.29;587562.45,6139560.43;587574.7,6139524.78;587579.57,6139511.06;587582.38,6139498.5;587584.69,6139498.91;587585.05,6139496.9;587599.9,6139499.56;587599.51,6139501.43;587602.45,6139502.04;587603.07,6139500.0;587604.71,6139500.49;587604.14,6139502.37"
1,1071767127,Bygning,Bygning,"Polygon;587653.84,6139534.27;587671.88,6139540.62;587673.97,6139549.7;587674.07,6139549.99;587669.52,6139551.48;587669.64,6139551.8;587661.65,6139555.05;587661.37,6139554.6;587657.79,6139556.86;587650.48,6139543.77;587653.84,6139534.27"
2,1103723342,Bygning,Bygning,"Polygon;587615.03,6139513.52;587616.08,6139503.74;587637.53,6139507.02;587637.38,6139517.09;587632.36,6139516.37;587620.73,6139514.61;587615.03,6139513.52"
3,1071767160,Bygning,Bygning,"Polygon;587598.86,6139521.89;587602.74,6139523.06;587601.35,6139527.66;587597.52,6139526.5;587598.86,6139521.89"
4,1071767164,Bygning,Bygning,"Polygon;587564.95,6139521.32;587574.7,6139524.78;587562.45,6139560.43;587551.79,6139556.76;587555.79,6139545.11;587561.08,6139546.88;587565.75,6139531.23;587561.84,6139529.29;587564.95,6139521.32"
5,1071768044,Bygning,Bygning,"Polygon;587576.91,6139607.51;587575.37,6139606.89;587549.85,6139598.26;587547.62,6139604.85;587528.75,6139598.46;587540.94,6139568.18;587585.39,6139583.32;587576.91,6139607.51"
6,1200217414,Bygning,Bygning,"Polygon;587624.87,6139651.12;587622.95,6139654.32;587627.94,6139657.31;587631.52,6139651.32;587633.16,6139652.3;587640.77,6139639.76;587647.63,6139628.46;587654.07,6139617.84;587636.67,6139605.17;587625.82,6139627.64;587624.44,6139630.52;587622.94,6139633.64;587618.58,6139642.66;587616.82,6139646.31;587624.87,6139651.12"
7,1071750157,Bygning,Bygning,"Polygon;587688.09,6139629.07;587687.19,6139628.49;587679.64,6139623.6;587693.03,6139598.43;587691.26,6139597.49;587702.54,6139578.48;587707.72,6139580.96;587700.05,6139601.52;587701.99,6139602.21;587694.69,6139618.13;587688.09,6139629.07"
8,1071750159,Bygning,Bygning,"Polygon;587679.64,6139623.6;587678.62,6139622.94;587669.54,6139617.05;587680.4,6139600.31;587683.36,6139601.87;587685.74,6139597.36;587686.9,6139595.17;587691.26,6139597.49;587693.03,6139598.43;587679.64,6139623.6"
9,1071750160,Bygning,Bygning,"Polygon;587697.53,6139635.2;587688.09,6139629.07;587694.69,6139618.13;587701.99,6139602.21;587706.33,6139590.09;587709.55,6139591.16;587703.51,6139609.32;587706.65,6139610.47;587701.93,6139627.85;587697.53,6139635.2"
10,1071750161,Bygning,Bygning,"Polygon;587712.66,6139611.22;587714.78,6139611.81;587715.73,6139611.31;587716.74,6139613.65;587715.9,6139613.96;587708.06,6139635.64;587707.74,6139635.5;587706.34,6139638.77;587704.0,6139639.4;587701.22,6139637.59;587701.02,6139637.9;587697.33,6139635.51;587697.53,6139635.2;587701.93,6139627.85;587706.65,6139610.47;587706.87,6139609.87;587712.66,6139611.22"
11,1071755631,Bygning,Bygning,"Polygon;587625.82,6139627.64;587624.44,6139630.52;587622.94,6139633.64;587604.78,6139624.65;587608.5,6139618.35;587615.56,6139622.31;587613.55,6139626.14;587615.59,6139625.32;587622.95,6139629.19;587624.18,6139626.85;587625.82,6139627.64"
12,1071755638,Bygning,Bygning,"Polygon;587597.62,6139656.15;587598.01,6139656.37;587593.54,6139664.17;587594.73,6139663.92;587601.93,6139668.12;587605.97,6139661.2;587611.82,6139664.61;587605.26,6139676.07;587604.53,6139675.65;587598.56,6139672.12;587582.68,6139662.74;587589.35,6139651.47;587597.62,6139656.15"
13,1071755640,Bygning,Bygning,"Polygon;587598.56,6139672.12;587604.53,6139675.65;587596.8,6139689.14;587590.71,6139685.7;587593.43,6139680.92;587596.05,6139676.37;587598.56,6139672.12"
14,1103723510,Bygning,Bygning,"Polygon;587646.22,6139599.94;587638.79,6139595.12;587638.19,6139596.63;587636.76,6139595.62;587635.46,6139594.2;587634.45,6139592.39;587633.88,6139590.3;587633.84,6139588.1;587634.35,6139586.0;587635.3,6139584.16;587636.38,6139582.76;587641.46,6139579.65;587642.46,6139581.29;587663.62,6139568.35;587666.57,6139573.18;587666.02,6139575.03;587657.1,6139580.48;587658.14,6139581.86;587656.88,6139582.81;587657.6,6139584.16;587658.93,6139584.7;587660.94,6139579.76;587663.07,6139580.63;587661.0,6139585.55;587658.71,6139591.27;587653.09,6139590.4;587646.22,6139599.94"
