#,id,name,description,geometry
int,int,str,str,str
0,414A1794-2BE0-47C6-AFCA-99F43EC088D2,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587651.3396,6139563.192"
1,5EA69236-B1C9-477E-80F1-9FFD528BAED0,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587588.808,6139572.63575"
2,A8053BEA-2942-4AE2-8E85-F939348A4E0F,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587593.7148,6139574.403"
3,6B427D6F-40F5-4DFB-A98B-BC3A2BFE0D34,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587638.328,6139570.7255"
4,57018CA9-36DA-48E0-8E52-6E260C85BC62,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587570.054,6139575.82525"
5,F231B4C2-C4BD-499F-B564-B12F940AE2B0,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587583.9644,6139570.8695"
6,038CD2ED-6C91-409F-8EDB-60765878B400,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587564.4548,6139573.8215"
7,A694CAED-DBB2-42E1-A9A9-130E104D87DD,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587599.008,6139575.844"
8,F86A78ED-0CF9-442C-9735-97664455BABC,L418883_421469,TRÆER_Knudebeskårede træer_Diverse punkter,"Point;587604.5416,6139577.95775"
9,0633B4BA-B97B-4F8E-BFBF-B2E40B6DFAB9,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587610.1316,6139589.97975"
10,B648E489-F2B5-41C4-A95E-143E82D9EA17,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587620.7308,6139595.4225"
