#,id,description,geometry
int,str,str,str
0,9f88f346-095f-42fd-a041-c5e27d85c353_node,Water node,"Point;587619.30249053,6139491.65244574"
1,fd612d9d-8a14-44a1-bd02-3e9a27472be7_node,Water node,"Point;587617.63592503,6139590.5183312"
2,726b35be-a03d-4645-ae4c-fbec88f13fa3_node,Water node,"Point;587612.30616771,6139498.8282705"
3,1e22459d-7ed1-4e51-9854-c40768c24524_node,Water node,"Point;587657.33885884,6139616.39884409"
4,a2422aa4-d356-4016-8006-3b5476453fc1_node,Water node,"Point;587586.47248265,6139496.0826435"
5,0dbf1bce-bfb6-4de3-bbcf-7e8209216152_node,Water node,"Point;587571.32878504,6139554.43796761"
6,a2c64d2d-3b49-4bfc-a3e1-01aeef384d12_node,Water node,"Point;587559.70928534,6139596.3601754"
7,976a3009-6b96-45c4-81ba-85c6288577da_node,Water node,"Point;587542.37928657,6139560.22738694"
8,85c250d5-0d50-482d-9b31-2ef576653927_node,Water node,"Point;587565.31143158,6139581.02437064"
9,27f5f63c-5982-4518-bd9e-444258a6445b_node,Water node,"Point;587666.83591604,6139622.82773146"
10,d23e888e-014d-4ccd-9d84-44cd83a465e3_node,Water node,"Point;587588.97565812,6139500.97805631"
11,3f36db0d-52b0-43a1-930f-8f5ace341324_node,Water node,"Point;587657.03080247,6139564.79010774"
12,71f8bcc6-3df8-41bf-a5b1-ef5483fd72b6_node,Water node,"Point;587539.82212589,6139636.75274645"
13,b33d7de1-bfab-4337-9f4e-e065d0497b10_node,Water node,"Point;587555.19366583,6139611.56465034"
14,2081be20-5498-43b6-a1a6-77df71fcfae3_node,Water node,"Point;587584.97091697,6139512.87402938"
15,dbf48801-3c9a-4749-864d-fbf18906ce11_node,Water node,"Point;587613.38220028,6139498.06779664"
16,c0e8dcc2-1f98-4115-94a5-ab00f8c1a412_node,Water node,"Point;587567.60873861,6139569.22158986"
17,9b03aecd-cfb4-481b-88fa-1ca682bd50b1_node,Water node,"Point;587700.29935129,6139550.2969555"
18,70ca6cf3-273c-41e8-a454-7d66c695edc5_node,Water node,"Point;587563.59673986,6139585.33177463"
19,eb04cc25-d6e7-450e-8cec-4e6601e9a9da_node,Water node,"Point;587550.38292519,6139620.10491317"
20,685cdf7c-54b1-45e6-af59-5e4f0f757b64_node,Water node,"Point;587576.88835808,6139536.47157372"
