,id,label,geometry,height,date
0,45563,Base Data (ef),"Point;[587615.0938796654],[6139599.49808377]",3.0,2020-07-14T11:50:52+02:00
1,45429,Base Data (ef),"Point;[587640.1992476],[6139495.733965868]",6.0,2020-06-17T04:49:25+02:00
2,45428,Base Data (ef),"Point;[587620.6423723234],[6139494.677285508]",6.0,2020-06-17T04:49:25+02:00
3,45515,Base Data (ef),"Point;[587701.7005856885],[6139538.145050717]",,2020-06-17T04:49:18+02:00
4,45514,Base Data (ef),"Point;[587698.6105413248],[6139537.415661839]",,2020-06-17T04:49:18+02:00
5,45522,Base Data (ef),"Point;[587628.5669573399],[6139588.137960372]",3.0,2020-07-15T09:52:12+02:00
6,45519,Base Data (ef),"Point;[587701.415252581],[6139552.562671828]",3.0,2020-09-15T13:04:48+02:00
7,45520,Base Data (ef),"Point;[587677.1620613332],[6139560.062442631]",3.0,2020-09-15T13:04:49+02:00
8,45524,Base Data (ef),"Point;[587650.84234237],[6139569.081981138]",8.0,2020-06-17T04:49:18+02:00
9,45523,Base Data (ef),"Point;[587633.9712484475],[6139579.54446555]",8.0,2020-06-17T04:49:18+02:00
10,45525,Base Data (ef),"Point;[587676.6199615167],[6139556.792961046]",8.0,2020-06-17T04:49:18+02:00
11,45538,Base Data (ef),"Point;[587715.577140193],[6139603.767335724]",3.0,2020-07-15T09:42:48+02:00
12,45558,Base Data (ef),"Point;[587545.5178875991],[6139566.629826149]",3.0,2020-07-17T07:29:16+02:00
13,45557,Base Data (ef),"Point;[587576.8908458444],[6139577.76152349]",3.0,2020-07-17T07:29:16+02:00
14,45556,Base Data (ef),"Point;[587611.9203733177],[6139580.234776832]",3.0,2020-07-17T07:29:15+02:00
15,45577,Base Data (ef),"Point;[587691.7393812019],[6139637.577181057]",8.0,2020-06-17T04:49:17+02:00
16,45576,Base Data (ef),"Point;[587668.061958189],[6139620.742355179]",8.0,2020-06-17T04:49:17+02:00
17,45575,Base Data (ef),"Point;[587645.0699474793],[6139604.477883759]",8.0,2020-06-17T04:49:17+02:00
18,45574,Base Data (ef),"Point;[587622.1477359089],[6139587.880968842]",8.0,2020-06-17T04:49:17+02:00
19,45573,Base Data (ef),"Point;[587597.7972766673],[6139579.382061295]",8.0,2020-06-17T04:49:17+02:00
20,45572,Base Data (ef),"Point;[587576.2723811794],[6139572.163931301]",8.0,2020-06-17T04:49:17+02:00
21,45571,Base Data (ef),"Point;[587532.8490178192],[6139557.386618799]",8.0,2020-06-17T04:49:17+02:00
22,45562,Base Data (ef),"Point;[587627.9696628882],[6139597.792746348]",Andet,2020-06-17T04:49:16+02:00
23,45561,Base Data (ef),"Point;[587604.8103021991],[6139577.183736953]",Andet,2020-06-17T04:49:16+02:00
24,45707,Base Data (ef),"Point;[587569.0799548184],[6139675.8813798325]",8.0,2020-06-17T04:49:12+02:00
25,45706,Base Data (ef),"Point;[587584.642194197],[6139648.360892479]",8.0,2020-06-17T04:49:11+02:00
26,45705,Base Data (ef),"Point;[587595.9376763682],[6139628.325337188]",8.0,2020-06-17T04:49:11+02:00
27,15859,Base Data (ef),"Point;[587575.0259357345],[6139660.414889572]",3.0,2020-07-14T11:53:11+02:00
28,45690,Base Data (ef),"Point;[587603.6167295376],[6139610.020403714]",3.0,2020-07-14T11:53:10+02:00
29,45691,Base Data (ef),"Point;[587598.4528031056],[6139629.068588137]",3.0,2020-07-14T11:53:10+02:00
30,45704,Base Data (ef),"Point;[587611.2991842345],[6139601.357540879]",8.0,2020-06-17T04:49:11+02:00
31,45521,Base Data (ef),"Point;[587644.2436923642],[6139569.2805584315]",3.0,2020-09-15T13:04:50+02:00
32,18648,Base Data (ef),"Point;[587608.4045880657],[6139587.6078096675]",3.0,2020-07-17T07:29:15+02:00
33,18652,Base Data (ef),"Point;[587663.1319499942],[6139565.9868020695]",3.0,2020-09-15T13:04:49+02:00
34,18802,Base Data (ef),"Point;[587572.2662858255],[6139566.518409735]",3.0,2020-07-17T07:29:14+02:00
35,24970,Base Data (ef),"Point;[587555.6974097302],[6139564.964776114]",8.0,2020-06-17T04:37:49+02:00
36,38596,Base Data (ef),"Point;[587704.2180194063],[6139548.547782372]",8.0,2020-06-17T04:22:51+02:00
37,1221,Fuse Boxes (ef),"Point;[587589.8939683709],[6139578.557101624]",,
