,id,label,geometry,actor,date,horizontal_precision,vertical_precision
0,1034152828,Manhole Cover (gd),"Point;[590791.35],[6136751.13]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
1,1034153067,Manhole Cover (gd),"Point;[590754.51],[6136747.38]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
2,1034153298,Manhole Cover (gd),"Point;[590738.88],[6136745.96]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
3,1103666133,Manhole Cover (gd),"Point;[590712.15],[6136701.01]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
4,1034152859,Manhole Cover (gd),"Point;[590741.18],[6136717.28]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
5,1034152861,Manhole Cover (gd),"Point;[590708.5],[6136743.22]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
6,1034153061,Manhole Cover (gd),"Point;[590705.71],[6136782.18]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
7,1103666027,Manhole Cover (gd),"Point;[590700.88],[6136699.53]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
8,1113474640,Light Fixture (gd),"Point;[590742.73],[6136773.45]",DSM GEODATA (P) LTD,2017-11-29T15:20:23.000000+01:00,0.15,0.20
9,1113474817,Light Fixture (gd),"Point;[590752.51],[6136789.87]",DSM GEODATA (P) LTD,2017-11-29T15:20:23.000000+01:00,0.15,0.20
10,1034152909,Light Fixture (gd),"Point;[590720.92],[6136748.84]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
11,1034152911,Light Fixture (gd),"Point;[590779.83],[6136754.41]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
12,1034152912,Light Fixture (gd),"Point;[590714.25],[6136723.59]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
13,1034152913,Light Fixture (gd),"Point;[590733.43],[6136725.33]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
14,1034152915,Light Fixture (gd),"Point;[590771.64],[6136729.11]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
15,1034152918,Light Fixture (gd),"Point;[590773.47],[6136711.19]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
16,1034152921,Light Fixture (gd),"Point;[590716.02],[6136705.76]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
17,1034152924,Light Fixture (gd),"Point;[590756.14],[6136691.39]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
18,1034152925,Light Fixture (gd),"Point;[590775.1],[6136693.41]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
19,1034152977,Light Fixture (gd),"Point;[590785.24],[6136788.4]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
20,1103669242,Light Fixture (gd),"Point;[590694.49],[6136697.11]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
21,1034152914,Light Fixture (gd),"Point;[590752.63],[6136727.25]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
22,1034152910,Light Fixture (gd),"Point;[590750.39],[6136751.58]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
23,1034152920,Light Fixture (gd),"Point;[590735.13],[6136707.52]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
24,1210520552,Light Fixture (gd),"Point;[590699.31],[6136749.05]",DSM GEODATA (P) LTD,2020-03-20T20:37:09.811000+01:00,0.15,0.20
25,1113474651,Light Fixture (gd),"Point;[590741.1],[6136789.49]",DSM GEODATA (P) LTD,2017-11-29T15:20:23.000000+01:00,0.15,0.20
26,1034152907,Light Fixture (gd),"Point;[590708.87],[6136780.91]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
27,1034152908,Light Fixture (gd),"Point;[590710.62],[6136762.82]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
28,1034152916,Light Fixture (gd),"Point;[590790.91],[6136730.94]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
29,1034152917,Light Fixture (gd),"Point;[590792.48],[6136713.11]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
30,1034152919,Light Fixture (gd),"Point;[590754.45],[6136709.4]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
31,1034152976,Light Fixture (gd),"Point;[590787.12],[6136770.36]",DSM GEODATA (P) LTD,2014-07-18T02:58:16.000000+02:00,0.10,0.15
32,1210520553,Light Fixture (gd),"Point;[590697.12],[6136771.84]",DSM GEODATA (P) LTD,2020-03-20T20:37:09.811000+01:00,0.15,0.20
33,1034135475,Tree (gd),"Point;[590773.81],[6136729.48]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
34,1034135478,Tree (gd),"Point;[590777.24],[6136729.51]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
35,1034135702,Tree (gd),"Point;[590739.76],[6136726.05]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
36,1034135705,Tree (gd),"Point;[590760.45],[6136709.55]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
37,1103670365,Tree (gd),"Point;[590705.26],[6136714.64]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
38,1103670842,Tree (gd),"Point;[590693.56],[6136728.55]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
39,1034135473,Tree (gd),"Point;[590764.65],[6136710.21]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
40,1034135476,Tree (gd),"Point;[590769.35],[6136728.86]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
41,1034135706,Tree (gd),"Point;[590756.39],[6136709.33]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
42,1103670396,Tree (gd),"Point;[590695.01],[6136716.39]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
43,1034135703,Tree (gd),"Point;[590736.14],[6136725.69]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
44,1034152763,Downspout Grille (gd),"Point;[590785.83],[6136731.65]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
45,1034152764,Downspout Grille (gd),"Point;[590789.2],[6136695.9]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
46,1034152749,Downspout Grille (gd),"Point;[590707.82],[6136735.33]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
47,1103669971,Downspout Grille (gd),"Point;[590711.83],[6136692.51]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
48,1034152743,Downspout Grille (gd),"Point;[590790.83],[6136754.73]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
49,1034152748,Downspout Grille (gd),"Point;[590705.27],[6136738.27]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
50,1034152756,Downspout Grille (gd),"Point;[590753.63],[6136726.12]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
51,1034152760,Downspout Grille (gd),"Point;[590787.81],[6136711.55]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
52,1034152761,Downspout Grille (gd),"Point;[590787.52],[6136713.7]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
53,1034152762,Downspout Grille (gd),"Point;[590786.01],[6136729.59]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
54,1034152767,Downspout Grille (gd),"Point;[590772.78],[6136692.11]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
55,1034152746,Downspout Grille (gd),"Point;[590788.63],[6136746.43]",NIRAS A/S,2014-07-18T02:58:16.000000+02:00,0.10,0.15
56,1034152747,Downspout Grille (gd),"Point;[590704.35],[6136746.85]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
57,1034152750,Downspout Grille (gd),"Point;[590719.01],[6136725.06]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
58,1034152751,Downspout Grille (gd),"Point;[590719.35],[6136723.26]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
59,1034152752,Downspout Grille (gd),"Point;[590721.02],[6136707.23]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
60,1034152753,Downspout Grille (gd),"Point;[590721.2],[6136705.08]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
61,1034152755,Downspout Grille (gd),"Point;[590737.65],[6136706.75]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
62,1034152757,Downspout Grille (gd),"Point;[590739.52],[6136724.86]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
63,1034152758,Downspout Grille (gd),"Point;[590770.9],[6136712.15]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
64,1034152759,Downspout Grille (gd),"Point;[590770.91],[6136709.89]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
65,1034152765,Downspout Grille (gd),"Point;[590789.62],[6136693.58]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
66,1034152766,Downspout Grille (gd),"Point;[590772.51],[6136694.22]",DSM GEODATA (P) LTD,2011-11-04T11:43:07.000000+01:00,0.10,0.15
67,1103669600,Downspout Grille (gd),"Point;[590710.04],[6136713.63]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
68,1103669801,Downspout Grille (gd),"Point;[590719.34],[6136723.01]",COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
