#,id,name,description,geometry
int,int,str,str,str
0,48119,TL740798,Base Data (ef) h:6.5,"Point;587290.5943133212,6141027.784253096"
1,48122,TL740798,Base Data (ef) h:6.5,"Point;587256.8842362717,6141107.208403514"
2,48130,TL740798,Base Data (ef) h:6.5,"Point;587318.4440815944,6141101.828525443"
3,48132,TL740798,Base Data (ef) h:6.5,"Point;587353.5488118324,6141123.60214995"
4,48131,TL740798,Base Data (ef) h:6.5,"Point;587335.6983612459,6141112.366986799"
5,48133,TL740798,Base Data (ef) h:6.5,"Point;587331.3654759271,6141050.112710724"
6,48134,TL740798,Base Data (ef) h:6.5,"Point;587354.1303725678,6141063.499968907"
7,48129,TL740798,Base Data (ef) h:6.5,"Point;587296.2876059219,6141088.529711216"
8,48136,TL740798,Base Data (ef) h:6.5,"Point;587330.0375870848,6141049.298710253"
9,48138,TL740798,Base Data (ef) h:6.5,"Point;587381.3998987875,6141076.554323901"
10,48140,TL740798,Base Data (ef) h:6.5,"Point;587355.0566879117,6141122.914865003"
11,48143,TL740798,Base Data (ef) h:6.5,"Point;587326.57046725,6141173.176770046"
12,48146,TL740798,Base Data (ef) h:6.5,"Point;587287.8496332736,6141054.086138967"
13,48150,TL740798,Base Data (ef) h:6.5,"Point;587319.8336642398,6141101.474799873"
14,48153,TL740798,Base Data (ef) h:6.5,"Point;587297.0956968316,6141090.032496427"
15,48152,TL740798,Base Data (ef) h:6.5,"Point;587297.9742846234,6141088.093748817"
16,48154,TL740798,Base Data (ef) h:6.5,"Point;587278.4187781384,6141077.591749079"
17,48155,TL740798,Base Data (ef) h:6.5,"Point;587279.3019068341,6141078.033023044"
18,48158,TL740798,Base Data (ef) h:6.5,"Point;587256.8475030974,6141065.456673106"
19,48161,TL740798,Base Data (ef) h:6.5,"Point;587258.3991230325,6141106.85293314"
20,48159,TL740798,Base Data (ef) h:6.5,"Point;587256.8347792403,6141066.010472008"
21,48163,TL740798,Base Data (ef) h:6.5,"Point;587253.0840692612,6141132.069511502"
22,48165,TL740798,Base Data (ef) h:6.5,"Point;587253.5402798535,6141130.89074472"
23,48168,TL740798,Base Data (ef) h:6.5,"Point;587273.9462389791,6141145.796684366"
24,48171,TL740798,Base Data (ef) h:6.5,"Point;587296.4365488027,6141158.812315147"
25,48135,TL740798,Base Data (ef) h:6.5,"Point;587381.5140525707,6141077.687180601"
26,48120,TL740798,Base Data (ef) h:6.5,"Point;587289.5945629757,6141054.89051698"
27,48121,TL740798,Base Data (ef) h:6.5,"Point;587258.2086375852,6141066.086981886"
28,48128,TL740798,Base Data (ef) h:6.5,"Point;587280.4634086397,6141078.932808203"
29,48123,TL740798,Base Data (ef) h:6.5,"Point;587254.4285561945,6141131.877255957"
30,48124,TL740798,Base Data (ef) h:6.5,"Point;587274.6512818683,6141144.491098545"
31,48125,TL740798,Base Data (ef) h:6.5,"Point;587297.5981309587,6141159.339916229"
32,48127,TL740798,Base Data (ef) h:6.5,"Point;587326.9377544108,6141175.11519268"
33,48173,TL740798,Base Data (ef) h:6.5,"Point;587303.3877091877,6141187.34516776"
34,48172,TL740798,Base Data (ef) h:6.5,"Point;587304.0283340673,6141186.127541848"
35,48142,TL740798,Base Data (ef) h:6.5,"Point;587325.0928146734,6141175.209219148"
36,48169,TL740798,Base Data (ef) h:6.5,"Point;587296.7587719754,6141160.803624497"
37,48170,TL740798,Base Data (ef) h:6.5,"Point;587298.5879031433,6141159.757181547"
38,48167,TL740798,Base Data (ef) h:6.5,"Point;587272.4934428445,6141145.875172567"
39,48166,TL740798,Base Data (ef) h:6.5,"Point;587273.1067592431,6141144.761024564"
40,48164,TL740798,Base Data (ef) h:6.5,"Point;587252.1308099494,6141131.024804465"
41,48162,TL740798,Base Data (ef) h:6.5,"Point;587258.3777453017,6141107.932335372"
42,48160,TL740798,Base Data (ef) h:6.5,"Point;587259.251693896,6141107.517713929"
43,48141,TL740798,Base Data (ef) h:6.5,"Point;587354.4770178288,6141124.965133336"
44,48148,TL740798,Base Data (ef) h:6.5,"Point;587337.0862058011,6141111.783807313"
45,48149,TL740798,Base Data (ef) h:6.5,"Point;587336.394235936,6141113.726236687"
46,48151,TL740798,Base Data (ef) h:6.5,"Point;587318.7647470182,6141103.596065511"
47,48157,TL740798,Base Data (ef) h:6.5,"Point;587278.104821603,6141078.433088785"
48,48156,TL740798,Base Data (ef) h:6.5,"Point;587278.9454968229,6141078.873521626"
49,48188,TL740798,Base Data (ef) h:6.5,"Point;587329.6425929745,6141082.493248515"
50,48189,TL740798,Base Data (ef) h:6.5,"Point;587331.1202384718,6141083.300138285"
51,48147,TL740798,Base Data (ef) h:6.5,"Point;587287.9459585773,6141055.949337358"
52,48145,TL740798,Base Data (ef) h:6.5,"Point;587288.3683135634,6141027.905321927"
53,48144,TL740798,Base Data (ef) h:6.5,"Point;587288.4012248252,6141026.244097354"
54,48137,TL740798,Base Data (ef) h:6.5,"Point;587352.5097336033,6141062.631114346"
55,48139,TL740798,Base Data (ef) h:6.5,"Point;587380.7357402365,6141078.334007235"
56,48190,TL740798,Base Data (ef) h:3.5,"Point;587383.5889718102,6141056.27084645"
57,34258,TL740798,Base Data (ef) h:3.5,"Point;587379.0343986459,6141064.484064826"
58,1292,TL740800,Fuse Boxes (ef),"Point;587275.1071176738,6141089.697268207"
