#,id,description,geometry
int,int,str,str
0,1113473418,Bygning,"Polygon;587377.39,6141089.55;587379.86,6141090.99;587377.9,6141094.36;587375.43,6141092.91;587377.39,6141089.55"
1,1113472767,Bygning,"Polygon;587376.98,6141098.99;587382.96,6141102.64;587391.89,6141088.02;587385.9,6141084.37;587376.98,6141098.99"
2,1067402504,Bygning,"Polygon;587236.69,6141081.52;587241.64,6141072.86;587246.97,6141075.91;587242.02,6141084.56;587236.69,6141081.52"
3,1103667147,Bygning,"Polygon;587331.94,6141044.54;587321.64,6141038.83;587324.58,6141033.54;587334.88,6141039.25;587331.94,6141044.54"
4,1034541301,Bygning,"Polygon;587369.77,6141073.34;587359.45,6141091.3;587359.82,6141091.51;587354.66,6141100.48;587349.42,6141097.47;587349.54,6141097.25;587341.39,6141092.56;587346.25,6141084.12;587346.86,6141084.48;587347.34,6141083.65;587308.24,6141061.17;587317.4,6141045.23;587319.45,6141044.69;587325.21,6141048.0;587325.33,6141047.79;587369.77,6141073.34"
5,1113472612,Bygning,"Polygon;587241.38,6141171.63;587243.72,6141173.0;587239.85,6141179.61;587237.51,6141178.24;587241.38,6141171.63"
6,1095484119,Bygning,"Polygon;587355.58,6141054.77;587354.34,6141056.99;587345.69,6141052.16;587345.43,6141052.62;587341.9,6141050.65;587343.4,6141047.98;587355.58,6141054.77"
7,1067402624,Bygning,"Polygon;587274.06,6141093.34;587270.92,6141091.47;587272.38,6141089.02;587275.52,6141090.89;587274.06,6141093.34"
8,1067402696,Bygning,"Polygon;587374.97,6141043.57;587366.5,6141037.38;587377.55,6141026.69;587393.83,6141032.22;587382.49,6141051.65;587382.21,6141051.48;587380.05,6141055.19;587380.27,6141055.32;587374.99,6141064.37;587360.31,6141055.81;587362.82,6141048.03;587360.36,6141046.59;587356.26,6141053.62;587346.64,6141048.0;587351.94,6141038.9;587350.84,6141038.26;587353.05,6141034.47;587363.78,6141040.73;587373.36,6141046.32;587374.97,6141043.57"
9,1114480230,Bygning,"Polygon;587285.5,6141057.62;587262.01,6141057.73;587261.94,6141042.41;587261.81,6141013.6;587283.65,6141013.5;587283.62,6141008.71;587272.97,6141008.76;587272.93,6141001.57;587276.26,6141001.55;587276.25,6140998.77;587285.28,6140998.73;587285.29,6141001.18;587288.31,6141001.16;587288.34,6141007.39;587288.4,6141021.48;587285.34,6141021.49;587285.43,6141042.31;587285.5,6141057.62"
10,1034541299,Bygning,"Polygon;587337.65,6141129.75;587330.42,6141142.35;587331.33,6141142.87;587328.4,6141147.96;587327.38,6141147.37;587320.1,6141160.05;587271.59,6141132.22;587274.3,6141127.49;587271.77,6141126.04;587283.77,6141105.12;587284.02,6141105.26;587286.73,6141100.54;587337.65,6141129.75"
11,1034480001,Broenddaeksel,"Point;587329.99,6141048.74"
12,1103665981,Broenddaeksel,"Point;587317.94,6141040.76"
13,1103665953,Broenddaeksel,"Point;587384.28,6141077.79"
14,1103666045,Broenddaeksel,"Point;587380.72,6141078.01"
