#,id,name,description,geometry
int,str,str,str,str
0,74645cf9-735d-4f80-afe5-8ff949843c87,water_node,Water node,"Point;587354.95,6141123.53"
1,22c08f2d-365b-4c7c-971a-fb529ecfdeb8,water_node,Water node,"Point;587317.76,6141040.99"
2,b8900af4-5696-40b4-b084-bc1bdd434e64,water_node,Water node,"Point;587314.78390959,6141008.50869248"
3,3a182fc1-163e-430a-abf3-908bb75bae6e,water_node,Water node,"Point;587313.03046907,6141040.8945042"
4,05d59be3-7208-442e-8076-4fe1b050fd9d,water_node,Water node,"Point;587342.53,6141116.44"
5,091d2d1d-da32-4e75-9944-cb5a46023d53,water_node,Water node,"Point;587381.0,6141077.95"
6,8e139989-a807-446a-9999-2c6c712cc9f4,water_node,Water node,"Point;587261.72357139,6141131.29272921"
7,fee7393e-981a-4518-af45-a3b0519bfc55,water_node,Water node,"Point;587337.02575079,6141049.08697629"
8,42b7dc1a-5129-403e-b14d-922a420bd4f0,water_node,Water node,"Point;587345.38,6141112.84"
9,8f26c6f7-ea15-47f8-84af-c9784db925ad,water_node,Water node,"Point;587286.76090974,6141086.65428108"
