,id,label,geometry,super_category,category,sub_category,note,date
0,131662,Buildings (ki),"Polygon;[587576.91, 587575.37, 587549.85, 587547.62, 587528.75, 587540.94, 587585.39, 587576.91],[6139607.51, 6139606.89, 6139598.26, 6139604.85, 6139598.46, 6139568.18, 6139583.32, 6139607.51]",,,,,
1,41334,Buildings (ki),"Polygon;[587655.83, 587651.34, 587650.65, 587648.36, 587640.77, 587647.63, 587655.83],[6139633.44, 6139640.95, 6139640.54, 6139644.37, 6139639.76, 6139628.46, 6139633.44]",,,,,
2,66378,Buildings (ki),"Polygon;[587648.36, 587645.18, 587647.13, 587642.54, 587635.57, 587635.15, 587632.47, 587633.16, 587640.77, 587648.36],[6139644.37, 6139649.69, 6139650.86, 6139658.52, 6139654.35, 6139655.05, 6139653.44, 6139652.3, 6139639.76, 6139644.37]",,,,,
3,94959,Buildings (ki),"Polygon;[587653.84, 587671.88, 587673.97, 587674.07, 587669.52, 587669.64, 587661.65, 587661.37, 587657.79, 587650.48, 587653.84],[6139534.27, 6139540.62, 6139549.7, 6139549.99, 6139551.48, 6139551.8, 6139555.05, 6139554.6, 6139556.86, 6139543.77, 6139534.27]",,,,,
4,39471,Buildings (ki),"Polygon;[587615.64, 587617.77, 587610.68, 587608.29, 587600.52, 587600.21, 587604.78, 587622.94, 587618.58, 587615.64],[6139641.1, 6139637.33, 6139633.32, 6139636.93, 6139632.56, 6139632.38, 6139624.65, 6139633.64, 6139642.66, 6139641.1]",,,,,
5,140223,Buildings (ki),"Polygon;[587644.25, 587641.22, 587632.48, 587629.57, 587602.42, 587597.84, 587595.57, 587597.66, 587595.41, 587596.51, 587595.52, 587599.85, 587600.68, 587610.83, 587609.89, 587614.3, 587617.51, 587618.15, 587616.7, 587618.52, 587618.29, 587618.71, 587617.4, 587620.18, 587622.2, 587626.86, 587629.74, 587638.8, 587637.8, 587638.94, 587640.03, 587641.15, 587640.19, 587642.84, 587643.91, 587644.26, 587642.6, 587647.58, 587648.92, 587652.13, 587649.08, 587658.27, 587662.13, 587662.32, 587663.05, 587664.74, 587666.31, 587662.47, 587657.43, 587663.63, 587673.77, 587644.25],[6139681.11, 6139686.52, 6139702.17, 6139707.38, 6139755.98, 6139753.4, 6139752.18, 6139748.3, 6139747.08, 6139745.04, 6139744.51, 6139736.5, 6139736.95, 6139718.17, 6139717.66, 6139709.51, 6139711.25, 6139710.07, 6139709.28, 6139705.92, 6139705.8, 6139705.02, 6139704.31, 6139699.18, 6139700.27, 6139691.65, 6139693.21, 6139678.07, 6139677.47, 6139675.57, 6139676.22, 6139674.34, 6139673.77, 6139669.33, 6139669.97, 6139669.4, 6139668.4, 6139660.08, 6139660.88, 6139655.52, 6139653.7, 6139638.34, 6139637.89, 6139639.01, 6139638.92, 6139639.92, 6139637.26, 6139637.72, 6139634.47, 6139624.15, 6139630.93, 6139681.11]",,,,,
6,96694,Buildings (ki),"Polygon;[587604.14, 587604.71, 587598.86, 587597.52, 587593.42, 587593.2, 587591.32, 587585.46, 587585.31, 587562.45, 587574.7, 587579.57, 587582.38, 587584.69, 587585.05, 587599.9, 587599.51, 587602.45, 587603.07, 587604.71, 587604.14],[6139502.37, 6139502.55, 6139521.89, 6139526.5, 6139540.03, 6139539.97, 6139546.73, 6139567.85, 6139568.29, 6139560.43, 6139524.78, 6139511.06, 6139498.5, 6139498.91, 6139496.9, 6139499.56, 6139501.43, 6139502.04, 6139500.0, 6139500.49, 6139502.37]",,,,,
7,60330,Buildings (ki),"Polygon;[587661.13, 587660.65, 587660.18, 587660.72, 587659.1, 587658.55, 587655.82, 587656.38, 587668.56, 587670.21, 587668.41, 587670.42, 587672.59, 587674.64, 587679.48, 587674.94, 587676.51, 587674.97, 587673.51, 587673.04, 587661.13],[6139611.4, 6139611.07, 6139610.76, 6139609.94, 6139608.88, 6139609.74, 6139607.97, 6139607.11, 6139586.19, 6139582.76, 6139581.89, 6139577.69, 6139578.73, 6139574.44, 6139576.76, 6139586.22, 6139586.97, 6139590.19, 6139589.18, 6139589.86, 6139611.4]",,,,,
8,105182,Buildings (ki),"Polygon;[587618.58, 587616.82, 587613.7, 587610.95, 587608.53, 587604.92, 587602.01, 587603.08, 587594.21, 587597.77, 587595.39, 587598.09, 587600.21, 587600.52, 587608.29, 587615.64, 587618.58],[6139642.66, 6139646.31, 6139651.52, 6139649.87, 6139653.91, 6139651.83, 6139650.16, 6139648.29, 6139643.24, 6139637.21, 6139635.84, 6139631.15, 6139632.38, 6139632.56, 6139636.93, 6139641.1, 6139642.66]",,,,,
9,77144,Buildings (ki),"Polygon;[587656.38, 587655.91, 587655.35, 587645.4, 587646.22, 587653.09, 587658.71, 587661.0, 587661.71, 587663.62, 587666.71, 587666.39, 587667.29, 587666.78, 587668.56, 587656.38],[6139607.11, 6139606.8, 6139607.67, 6139601.21, 6139599.94, 6139590.4, 6139591.27, 6139585.55, 6139585.64, 6139582.04, 6139583.15, 6139583.82, 6139584.26, 6139585.33, 6139586.19, 6139607.11]",,,,,
10,109696,Buildings (ki),"Polygon;[587647.63, 587654.07, 587655.87, 587656.93, 587662.68, 587661.65, 587663.63, 587657.43, 587655.83, 587647.63],[6139628.46, 6139617.84, 6139619.05, 6139617.45, 6139621.29, 6139622.83, 6139624.15, 6139634.47, 6139633.44, 6139628.46]",,,,,
11,112865,Buildings (ki),"Polygon;[587580.77, 587580.44, 587575.87, 587575.65, 587554.43, 587557.98, 587557.12, 587558.29, 587559.15, 587559.25, 587564.83, 587580.77],[6139644.5, 6139645.07, 6139653.12, 6139653.49, 6139641.2, 6139635.07, 6139634.57, 6139632.56, 6139633.06, 6139632.89, 6139636.12, 6139644.5]",,,,,
12,84243,Buildings (ki),"Polygon;[587625.82, 587624.44, 587622.94, 587604.78, 587608.5, 587615.56, 587613.55, 587615.59, 587622.95, 587624.18, 587625.82],[6139627.64, 6139630.52, 6139633.64, 6139624.65, 6139618.35, 6139622.31, 6139626.14, 6139625.32, 6139629.19, 6139626.85, 6139627.64]",,,,,
13,81844,Buildings (ki),"Polygon;[587564.95, 587574.7, 587562.45, 587551.79, 587555.79, 587561.08, 587565.75, 587561.84, 587564.95],[6139521.32, 6139524.78, 6139560.43, 6139556.76, 6139545.11, 6139546.88, 6139531.23, 6139529.29, 6139521.32]",,,,,
14,115991,Buildings (ki),"Polygon;[587585.89, 587593.67, 587593.83, 587608.12, 587608.75, 587609.05, 587608.99, 587598.3, 587585.89],[6139607.68, 6139586.48, 6139586.12, 6139592.68, 6139593.55, 6139594.61, 6139595.68, 6139614.15, 6139607.68]",,,,,
15,39627,Buildings (ki),"Polygon;[587574.98, 587584.56, 587587.63, 587588.76, 587584.59, 587584.76, 587585.89, 587598.3, 587585.58, 587578.32, 587574.98],[6139629.93, 6139613.64, 6139615.42, 6139613.45, 6139611.04, 6139610.76, 6139607.68, 6139614.15, 6139636.12, 6139632.11, 6139629.93]",,,,,
16,48552,Buildings (ki),"Polygon;[587646.22, 587638.79, 587638.19, 587636.76, 587635.46, 587634.45, 587633.88, 587633.84, 587634.35, 587635.3, 587636.38, 587641.46, 587642.46, 587663.62, 587666.57, 587666.02, 587657.1, 587658.14, 587656.88, 587657.6, 587658.93, 587660.94, 587663.07, 587661.0, 587658.71, 587653.09, 587646.22],[6139599.94, 6139595.12, 6139596.63, 6139595.62, 6139594.2, 6139592.39, 6139590.3, 6139588.1, 6139586.0, 6139584.16, 6139582.76, 6139579.65, 6139581.29, 6139568.35, 6139573.18, 6139575.03, 6139580.48, 6139581.86, 6139582.81, 6139584.16, 6139584.7, 6139579.76, 6139580.63, 6139585.55, 6139591.27, 6139590.4, 6139599.94]",,,,,
17,142735,Buildings (ki),"Polygon;[587624.87, 587616.82, 587618.58, 587622.94, 587624.44, 587625.82, 587636.67, 587654.07, 587647.63, 587640.77, 587633.16, 587631.52, 587627.94, 587622.95, 587624.87],[6139651.12, 6139646.31, 6139642.66, 6139633.64, 6139630.52, 6139627.64, 6139605.17, 6139617.84, 6139628.46, 6139639.76, 6139652.3, 6139651.32, 6139657.31, 6139654.32, 6139651.12]",,,,,
18,143313,Buildings (ki),"Polygon;[587620.73, 587611.62, 587616.52, 587621.6, 587632.36, 587637.38, 587637.36, 587630.92, 587617.93, 587616.52, 587585.46, 587591.32, 587593.2, 587593.42, 587606.02, 587608.09, 587605.03, 587609.1, 587611.87, 587614.66, 587615.03, 587620.73],[6139514.61, 6139545.48, 6139546.79, 6139548.15, 6139516.37, 6139517.09, 6139518.06, 6139537.07, 6139576.77, 6139576.5, 6139567.85, 6139546.73, 6139539.97, 6139540.03, 6139543.84, 6139537.0, 6139536.08, 6139522.65, 6139523.42, 6139513.48, 6139513.52, 6139514.61]",,,,,
19,32193,Buildings (ki),"Polygon;[587564.83, 587566.22, 587568.27, 587568.52, 587568.94, 587569.48, 587575.3, 587576.11, 587572.59, 587574.98, 587578.32, 587585.58, 587587.09, 587584.93, 587583.35, 587582.47, 587583.78, 587581.98, 587580.77, 587564.83],[6139636.12, 6139633.72, 6139634.91, 6139634.47, 6139633.74, 6139634.05, 6139637.42, 6139636.02, 6139633.99, 6139629.93, 6139632.11, 6139636.12, 6139637.0, 6139640.73, 6139639.82, 6139641.34, 6139642.09, 6139645.2, 6139644.5, 6139636.12]",,,,,
20,117113,Buildings (ki),"Polygon;[587650.48, 587657.79, 587634.51, 587634.16, 587632.42, 587630.17, 587636.18, 587637.83, 587643.04, 587643.17, 587645.74, 587646.35, 587649.34, 587647.78, 587642.99, 587644.4, 587650.48],[6139543.77, 6139556.86, 6139571.55, 6139573.52, 6139574.71, 6139574.21, 6139556.85, 6139557.4, 6139554.06, 6139553.24, 6139551.83, 6139552.0, 6139550.22, 6139547.32, 6139545.63, 6139541.63, 6139543.77]",,,,,
