,id,label,geometry,super_category,category,sub_category,note,date
0,142158,Buildings (ki),"Polygon;[587864.77, 587866.41, 587868.82, 587861.09, 587859.47, 587855.9, 587855.1, 587857.15, 587855.97, 587863.6, 587864.77],[6137547.31, 6137547.1, 6137566.28, 6137567.25, 6137554.38, 6137554.83, 6137548.52, 6137548.27, 6137538.89, 6137537.93, 6137547.31]",,,,,
1,67385,Buildings (ki),"Polygon;[587769.84, 587775.87, 587778.37, 587777.3, 587781.35, 587776.39, 587769.84],[6137537.7, 6137530.38, 6137532.44, 6137533.75, 6137537.09, 6137543.1, 6137537.7]",,,,,
2,12887,Buildings (ki),"Polygon;[587807.8, 587805.65, 587805.28, 587807.43, 587807.8],[6137546.21, 6137546.51, 6137543.81, 6137543.52, 6137546.21]",,,,,
3,143498,Buildings (ki),"Polygon;[587776.57, 587779.45, 587777.8, 587784.76, 587791.28, 587781.44, 587776.57],[6137505.42, 6137502.35, 6137500.79, 6137493.38, 6137499.51, 6137509.99, 6137505.42]",,,,,
4,62436,Buildings (ki),"Polygon;[587794.39, 587796.01, 587794.79, 587803.9, 587805.32, 587801.71, 587802.01, 587794.88, 587794.39],[6137523.8, 6137523.63, 6137511.91, 6137510.96, 6137524.49, 6137524.87, 6137527.72, 6137528.47, 6137523.8]",,,,,
5,33772,Buildings (ki),"Polygon;[587882.18, 587874.45, 587874.29, 587871.3, 587871.42, 587864.86, 587864.31, 587866.53, 587866.15, 587870.36, 587869.97, 587875.69, 587875.77, 587881.73, 587882.62, 587883.0, 587882.18],[6137515.64, 6137516.34, 6137514.58, 6137514.86, 6137516.27, 6137516.87, 6137510.89, 6137510.68, 6137506.43, 6137506.04, 6137501.71, 6137501.19, 6137502.14, 6137501.6, 6137511.32, 6137515.57, 6137515.64]",,,,,
6,114310,Buildings (ki),"Polygon;[587832.54, 587831.68, 587834.91, 587834.48, 587839.25, 587839.36, 587841.97, 587842.06, 587845.59, 587845.7, 587849.04, 587849.83, 587840.34, 587840.49, 587836.55, 587836.59, 587832.54],[6137569.54, 6137560.76, 6137560.44, 6137556.02, 6137555.55, 6137556.67, 6137556.41, 6137557.36, 6137557.01, 6137558.05, 6137557.72, 6137565.8, 6137566.73, 6137568.27, 6137568.66, 6137569.15, 6137569.54]",,,,,
7,107111,Buildings (ki),"Polygon;[587814.19, 587822.71, 587822.98, 587825.86, 587826.76, 587823.89, 587823.93, 587815.41, 587814.19],[6137545.78, 6137544.68, 6137546.71, 6137546.34, 6137553.02, 6137553.4, 6137553.78, 6137554.87, 6137545.78]",,,,,
8,57153,Buildings (ki),"Polygon;[587779.96, 587783.17, 587786.42, 587784.83, 587786.88, 587785.25, 587779.96],[6137486.64, 6137481.56, 6137483.62, 6137486.12, 6137487.41, 6137489.99, 6137486.64]",,,,,
9,105013,Buildings (ki),"Polygon;[587875.74, 587884.87, 587885.24, 587885.73, 587886.39, 587888.29, 587889.38, 587879.77, 587879.21, 587877.29, 587875.74],[6137550.99, 6137549.76, 6137552.53, 6137552.46, 6137557.27, 6137557.01, 6137564.99, 6137566.3, 6137562.15, 6137562.4, 6137550.99]",,,,,
10,123622,Buildings (ki),"Polygon;[587840.63, 587850.49, 587851.83, 587841.97, 587840.63],[6137471.75, 6137470.49, 6137480.94, 6137482.2, 6137471.75]",,,,,
11,96500,Buildings (ki),"Polygon;[587846.89, 587849.96, 587850.79, 587847.72, 587846.89],[6137549.75, 6137549.34, 6137555.53, 6137555.94, 6137549.75]",,,,,
