#,id,name,description,geometry
int,int,str,str,str
0,6817,TL740798,Base Data (ef) h:3.5,"Point;587552.0272543213,6139261.659912941"
1,6816,TL740798,Base Data (ef) h:3.5,"Point;587568.6150299645,6139252.749923709"
2,6815,TL740798,Base Data (ef) h:3.5,"Point;587582.3975718238,6139247.903053849"
3,6814,TL740798,Base Data (ef) h:3.5,"Point;587600.9672564922,6139244.487170167"
4,6813,TL740798,Base Data (ef) h:3.5,"Point;587620.8169907632,6139240.428892653"
5,6812,TL740798,Base Data (ef) h:3.5,"Point;587643.5670174598,6139237.096272606"
6,6811,TL740798,Base Data (ef) h:3.5,"Point;587664.4957810097,6139232.948322185"
7,6820,TL740798,Base Data (ef) h:3.5,"Point;587683.089946318,6139228.308761643"
8,6819,TL740798,Base Data (ef) h:3.5,"Point;587523.0248095824,6139292.698513879"
9,6818,TL740798,Base Data (ef) h:3.5,"Point;587534.2479271836,6139276.3348707855"
10,45449,TL740798,Base Data (ef) h:3.0,"Point;587523.9829874829,6139305.073900941"
11,47436,TL740798,Base Data (ef) h:Andet,"Point;587501.1021158496,6139279.906972137"
12,47435,TL740798,Base Data (ef) h:Andet,"Point;587500.7508060777,6139278.452857851"
13,47434,TL740798,Base Data (ef) h:Andet,"Point;587500.467250123,6139276.777451226"
14,47433,TL740798,Base Data (ef) h:Andet,"Point;587500.3147849649,6139274.8820093535"
15,47432,TL740798,Base Data (ef) h:Andet,"Point;587500.4134590093,6139273.102870641"
16,47431,TL740798,Base Data (ef) h:Andet,"Point;587500.5754701073,6139271.324989043"
17,47430,TL740798,Base Data (ef) h:Andet,"Point;587500.7396898738,6139269.435832717"
18,47429,TL740798,Base Data (ef) h:Andet,"Point;587516.7375642275,6139299.809405149"
19,47428,TL740798,Base Data (ef) h:Andet,"Point;587527.8479921728,6139308.267557068"
20,47427,TL740798,Base Data (ef) h:Andet,"Point;587529.0926286328,6139309.405454687"
21,47426,TL740798,Base Data (ef) h:Andet,"Point;587530.2105915467,6139310.540837586"
22,47425,TL740798,Base Data (ef) h:Andet,"Point;587531.5207725617,6139311.568718708"
23,47424,TL740798,Base Data (ef) h:Andet,"Point;587532.7609883046,6139312.929166859"
24,47423,TL740798,Base Data (ef) h:Andet,"Point;587534.0667491164,6139314.179598225"
25,47422,TL740798,Base Data (ef) h:Andet,"Point;587535.2480458993,6139315.316240027"
26,47421,TL740798,Base Data (ef) h:Andet,"Point;587536.2371234674,6139316.560384008"
27,47420,TL740798,Base Data (ef) h:Andet,"Point;587537.5473012745,6139317.588266959"
28,47419,TL740798,Base Data (ef) h:Andet,"Point;587539.1741601455,6139318.622438636"
29,47418,TL740798,Base Data (ef) h:Andet,"Point;587540.6809744731,6139319.3202713365"
30,47417,TL740798,Base Data (ef) h:Andet,"Point;587542.2533343073,6139319.908087534"
31,47416,TL740798,Base Data (ef) h:Andet,"Point;587543.9479469496,6139320.720969236"
32,47415,TL740798,Base Data (ef) h:Andet,"Point;587545.515886391,6139321.531336076"
33,47414,TL740798,Base Data (ef) h:Andet,"Point;587547.0882448294,6139322.119154014"
34,47413,TL740798,Base Data (ef) h:Andet,"Point;587548.7217293154,6139322.819505056"
35,47412,TL740798,Base Data (ef) h:Andet,"Point;587526.4133455717,6139307.125887353"
36,47447,TL740798,Base Data (ef) h:Andet,"Point;587502.4918919834,6139286.502352789"
37,47446,TL740798,Base Data (ef) h:Andet,"Point;587503.1532583224,6139288.2965771835"
38,47445,TL740798,Base Data (ef) h:Andet,"Point;587504.5790823413,6139289.883338143"
39,47444,TL740798,Base Data (ef) h:Andet,"Point;587506.6382725249,6139291.482671497"
40,47443,TL740798,Base Data (ef) h:Andet,"Point;587508.5008247618,6139293.412058377"
41,47442,TL740798,Base Data (ef) h:Andet,"Point;587510.3655841866,6139295.230171322"
42,47441,TL740798,Base Data (ef) h:Andet,"Point;587512.5492341587,6139296.943296736"
43,47440,TL740798,Base Data (ef) h:Andet,"Point;587514.7417182256,6139298.211324301"
44,47439,TL740798,Base Data (ef) h:Andet,"Point;587502.2083373544,6139284.826946024"
45,47438,TL740798,Base Data (ef) h:Andet,"Point;587501.8592370278,6139283.261556893"
46,45448,TL740798,Base Data (ef) h:3.0,"Point;587513.501280267,6139301.253655358"
47,47437,TL740798,Base Data (ef) h:Andet,"Point;587501.5145536305,6139281.473618317"
48,1217,TL740800,Fuse Boxes (ef),"Point;587503.1457838442,6139272.711828042"
