#,id,description,geometry
int,int,str,str
0,1034130938,Mast,"Point;587638.21,6139235.45"
1,1034130939,Mast,"Point;587610.39,6139240.05"
2,1034130940,Mast,"Point;587583.38,6139244.85"
3,1034130941,Mast,"Point;587557.94,6139252.16"
4,1034130942,Mast,"Point;587535.85,6139269.58"
5,1034130943,Mast,"Point;587523.85,6139306.84"
6,1034247428,Soe,"Polygon;587626.52,6139142.75;587628.93,6139144.76;587636.01,6139149.9;587640.98,6139151.53;587642.86,6139154.24;587643.69,6139159.31;587643.55,6139161.16;587644.48,6139163.66;587646.33,6139175.52;587647.08,6139181.56;587648.29,6139187.17;587648.39,6139190.79;587648.4,6139195.98;587647.12,6139200.86;587647.04,6139201.53;587644.09,6139205.43;587640.51,6139210.34;587639.98,6139214.11;587640.17,6139217.8;587640.47,6139224.28;587641.08,6139227.45;587641.54,6139230.76;587640.22,6139230.96;587639.12,6139231.13;587638.41,6139225.01;587637.49,6139219.76;587635.33,6139216.08;587631.44,6139211.22;587628.63,6139208.36;587625.01,6139206.83;587620.12,6139206.72;587616.87,6139207.68;587614.77,6139209.6;587613.1,6139211.79;587612.48,6139214.57;587611.92,6139218.29;587611.4,6139219.98;587609.77,6139221.48;587608.04,6139222.32;587606.83,6139222.62;587605.01,6139222.73;587602.27,6139221.59;587600.43,6139220.46;587598.32,6139218.42;587596.5,6139215.23;587596.7,6139213.24;587596.7,6139211.56;587596.99,6139210.33;587598.49,6139207.99;587602.64,6139203.87;587604.02,6139202.07;587604.99,6139199.09;587605.1,6139195.21;587604.29,6139192.79;587604.42,6139190.12;587605.99,6139186.35;587605.81,6139184.27;587604.6,6139182.22;587603.43,6139181.36;587600.84,6139181.41;587599.37,6139181.47;587597.67,6139181.4;587594.27,6139179.72;587591.61,6139178.01;587588.56,6139174.9;587586.75,6139171.19;587585.14,6139167.0;587585.04,6139164.14;587585.06,6139161.68;587586.22,6139158.18;587587.95,6139154.55;587589.89,6139149.2;587589.97,6139148.16;587593.0,6139147.84;587595.4,6139147.59;587597.04,6139149.53;587598.85,6139150.7;587601.26,6139151.62;587603.13,6139152.52;587603.47,6139152.71;587605.86,6139153.1;587610.06,6139152.73;587612.31,6139152.47;587621.35,6139147.08;587622.41,6139143.26;587624.51,6139143.0;587626.52,6139142.75"
7,1034188466,KratBevoksning,"Polygon;587561.63,6139248.0;587558.34,6139223.79;587557.69,6139219.04;587558.03,6139210.69;587561.29,6139190.98;587563.0,6139187.84;587569.3,6139177.17;587572.16,6139169.44;587573.06,6139169.27;587573.4,6139169.95;587575.25,6139184.54;587577.27,6139199.07;587579.01,6139205.5;587585.31,6139216.84;587593.9,6139232.15;587596.9,6139238.19;587585.6,6139241.99;587561.63,6139248.0"
8,1034116314,Trae,"Point;587557.76,6139157.57"
9,1034116315,Trae,"Point;587556.47,6139160.01"
10,1034116317,Trae,"Point;587579.99,6139164.72"
11,1034116318,Trae,"Point;587602.19,6139185.16"
12,1034116319,Trae,"Point;587597.5,6139195.94"
13,1034116322,Trae,"Point;587571.81,6139186.3"
14,1034116323,Trae,"Point;587570.99,6139335.79"
15,1034116324,Trae,"Point;587563.42,6139333.48"
16,1034116326,Trae,"Point;587575.56,6139302.33"
17,1034116327,Trae,"Point;587589.33,6139297.4"
18,1034116455,Trae,"Point;587636.38,6139329.92"
19,1034116456,Trae,"Point;587636.38,6139316.59"
20,1034116457,Trae,"Point;587644.22,6139317.28"
21,1034116458,Trae,"Point;587613.43,6139308.8"
22,1034116493,Trae,"Point;587618.62,6139340.19"
23,1034116325,Trae,"Point;587533.68,6139308.2"
24,1034116454,Trae,"Point;587522.64,6139277.85"
25,1034247649,Vandloebskant,"LineString;587523.43,6139307.83;587522.87,6139307.24;587513.17,6139301.07;587512.03,6139300.71"
26,1034247425,Vandloebskant,"LineString;587597.57,6139314.6;587597.08,6139315.4;587595.44,6139315.93;587592.46,6139317.93;587588.93,6139319.56;587584.71,6139321.58;587583.42,6139321.86;587578.88,6139321.2;587577.1,6139321.17;587576.01,6139320.81"
27,1034247427,Vandloebskant,"LineString;587575.46,6139322.72;587576.46,6139323.0;587580.03,6139324.41;587582.79,6139324.68;587585.5,6139324.26;587589.48,6139323.04;587593.14,6139321.11;587596.03,6139320.55;587599.05,6139320.38;587599.82,6139320.0;587600.65,6139319.97"
28,1034247650,Vandloebskant,"LineString;587600.65,6139319.97;587599.14,6139317.34;587597.57,6139314.6"
29,1034247651,Vandloebskant,"LineString;587573.52,6139319.99;587576.01,6139320.81"
30,1034247652,Vandloebskant,"LineString;587573.1,6139322.08;587575.46,6139322.72"
31,1034247426,Vandloebskant,"LineString;587573.52,6139319.99;587572.64,6139319.71;587570.3,6139318.5;587565.9,6139315.26;587560.61,6139312.52;587557.89,6139309.59;587554.79,6139307.84;587550.1,6139305.83;587546.08,6139305.51;587540.93,6139306.62;587539.31,6139307.73;587538.67,6139309.22;587538.65,6139310.69;587539.46,6139311.63;587541.52,6139311.57;587544.86,6139310.19;587548.08,6139310.74;587550.36,6139311.85;587553.27,6139312.33;587557.92,6139314.9;587563.05,6139316.87;587566.43,6139318.28;587568.89,6139320.28;587572.76,6139321.98;587573.1,6139322.08"
32,1034247429,Vandloebskant,"LineString;587523.43,6139307.83;587525.74,6139310.29;587528.57,6139314.14;587530.23,6139317.58;587530.67,6139319.13;587531.54,6139323.41;587531.87,6139325.91;587532.34,6139327.99;587533.68,6139329.99;587534.73,6139330.78;587536.33,6139331.43;587547.39,6139333.7;587561.8,6139337.55;587567.21,6139338.46;587571.08,6139338.81;587574.02,6139339.19;587578.23,6139340.23;587585.03,6139341.61;587592.17,6139344.87;587596.22,6139346.36;587607.25,6139349.53;587612.88,6139354.41;587617.05,6139358.11;587626.32,6139356.68;587634.1,6139355.02;587642.56,6139353.73;587650.12,6139353.73;587670.74,6139354.52;587687.91,6139356.53;587699.4,6139357.67"
33,1034247428,Soe,"Polygon;587626.52,6139142.75;587628.93,6139144.76;587636.01,6139149.9;587640.98,6139151.53;587642.86,6139154.24;587643.69,6139159.31;587643.55,6139161.16;587644.48,6139163.66;587646.33,6139175.52;587647.08,6139181.56;587648.29,6139187.17;587648.39,6139190.79;587648.4,6139195.98;587647.12,6139200.86;587647.04,6139201.53;587644.09,6139205.43;587640.51,6139210.34;587639.98,6139214.11;587640.17,6139217.8;587640.47,6139224.28;587641.08,6139227.45;587641.54,6139230.76;587640.22,6139230.96;587639.12,6139231.13;587638.41,6139225.01;587637.49,6139219.76;587635.33,6139216.08;587631.44,6139211.22;587628.63,6139208.36;587625.01,6139206.83;587620.12,6139206.72;587616.87,6139207.68;587614.77,6139209.6;587613.1,6139211.79;587612.48,6139214.57;587611.92,6139218.29;587611.4,6139219.98;587609.77,6139221.48;587608.04,6139222.32;587606.83,6139222.62;587605.01,6139222.73;587602.27,6139221.59;587600.43,6139220.46;587598.32,6139218.42;587596.5,6139215.23;587596.7,6139213.24;587596.7,6139211.56;587596.99,6139210.33;587598.49,6139207.99;587602.64,6139203.87;587604.02,6139202.07;587604.99,6139199.09;587605.1,6139195.21;587604.29,6139192.79;587604.42,6139190.12;587605.99,6139186.35;587605.81,6139184.27;587604.6,6139182.22;587603.43,6139181.36;587600.84,6139181.41;587599.37,6139181.47;587597.67,6139181.4;587594.27,6139179.72;587591.61,6139178.01;587588.56,6139174.9;587586.75,6139171.19;587585.14,6139167.0;587585.04,6139164.14;587585.06,6139161.68;587586.22,6139158.18;587587.95,6139154.55;587589.89,6139149.2;587589.97,6139148.16;587593.0,6139147.84;587595.4,6139147.59;587597.04,6139149.53;587598.85,6139150.7;587601.26,6139151.62;587603.13,6139152.52;587603.47,6139152.71;587605.86,6139153.1;587610.06,6139152.73;587612.31,6139152.47;587621.35,6139147.08;587622.41,6139143.26;587624.51,6139143.0;587626.52,6139142.75"
