#,id,name,description,geometry
int,int,str,str,str
0,A402AB7C-4A02-4144-BDEF-586EE16C5810,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587614.805707,6139266.275927"
1,60517FA7-BA35-451A-994C-15E4357A2E27,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587619.026992,6139261.652685"
2,BAA41029-B7E9-4CD1-B7E7-089DE92024C9,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587618.2,6139250.95225"
3,2C351A6D-F320-49C4-859E-85BC83D8445B,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587557.4596,6139240.172"
4,3D01360E-8542-49B9-A63F-8DE4944C10EE,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587603.537183,6139259.797175"
5,8A9F9A61-A055-45B6-947A-B8D30E4FD64A,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587627.6856,6139258.265"
6,DA4B51DB-4179-4E60-99FA-B5B7D0BD644C,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587633.7256,6139254.04375"
7,54FC6CD0-05DE-4736-A7C6-DEA68DE1EF85,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587602.837753,6139266.336593"
8,26DDC520-75B4-4555-961B-467426887DB2,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587637.5404,6139275.71525"
9,B1D8285F-AA8C-4D47-95C6-EB054249046D,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587634.542,6139273.54075"
10,7A2179D5-7F18-4DE4-B809-27E13FF7D3E5,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587550.4012,6139219.104"
11,9914AB13-2906-4610-8274-8DD3EA506B3C,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587637.6212,6139249.3345"
12,A0A60C23-F9AD-454E-9097-118D0C276D1A,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587621.7728,6139252.9155"
13,3AA03777-F533-4E0A-8CAC-B147D654081D,L418883_421469,TRÆER_Stynede træer_Diverse punkter,"Point;587590.4492,6139279.56625"
14,CA84276A-17DB-4498-8D9D-6CD7FD72C360,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587612.0264,6139284.225"
15,6B9F501D-1F3E-46D7-9B9B-B637DA0F406B,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587644.1044,6139254.69525"
16,9D275DD8-E566-47A3-BD18-9711D569D09F,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587604.6496,6139253.6885"
17,D3B945CF-6FC0-4817-B72A-F7325E93042A,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587587.8248,6139293.6515"
18,843A6A41-F51B-4BBF-8A60-727A96B667C1,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587603.012,6139234.06375"
19,CC467C77-C6FC-447E-8262-0120ECFEA2FF,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587558.7016,6139231.50175"
20,8DF60E56-9E6F-47EB-A91C-EC2766A54F84,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587641.8816,6139251.75675"
21,8C6F1C99-5877-4461-BE6E-5313923DABDE,L418883_421469,TRÆER_Fuldkronede træer_Diverse punkter,"Point;587595.8092,6139223.45675"
22,A3B35115-E65A-433D-B67F-1631A9F60CA4,L418883_421469,TRÆER_Stynede træer_Diverse punkter,"Point;587603.71,6139237.19475"
