#,id,name,description,geometry
int,int,str,str,str
0,25027,TL740798,Base Data (ef) h:6.0,"Point;587833.8573049337,6137441.8626273"
1,25025,TL740798,Base Data (ef) h:6.0,"Point;587848.733103012,6137525.647731058"
2,17666,TL740798,Base Data (ef) h:6.0,"Point;587837.793305665,6137470.215898073"
3,25021,TL740798,Base Data (ef) h:6.0,"Point;587809.7418393019,6137506.94910756"
4,15791,TL740798,Base Data (ef) h:6.0,"Point;587841.6397420517,6137608.104812365"
5,17626,TL740798,Base Data (ef) h:6.0,"Point;587773.5842706743,6137562.445318012"
6,16410,TL740798,Base Data (ef) h:6.0,"Point;587829.3875678016,6137621.775652499"
7,17434,TL740798,Base Data (ef) h:6.0,"Point;587763.3114657537,6137451.145103381"
8,17627,TL740798,Base Data (ef) h:6.0,"Point;587883.1862251969,6137520.768080004"
9,25026,TL740798,Base Data (ef) h:6.0,"Point;587842.4200070407,6137505.262039925"
10,25024,TL740798,Base Data (ef) h:6.0,"Point;587790.918021765,6137468.614838511"
11,25023,TL740798,Base Data (ef) h:6.0,"Point;587810.9527221475,6137481.147323647"
12,25022,TL740798,Base Data (ef) h:6.0,"Point;587826.4788159442,6137481.345100473"
13,25020,TL740798,Base Data (ef) h:6.0,"Point;587812.335776984,6137529.4870787095"
14,25019,TL740798,Base Data (ef) h:6.0,"Point;587790.0975344832,6137538.506508646"
15,25018,TL740798,Base Data (ef) h:6.0,"Point;587772.80912726,6137585.47281721"
16,25017,TL740798,Base Data (ef) h:6.0,"Point;587801.5007782682,6137602.518965948"
17,25013,TL740798,Base Data (ef) h:6.0,"Point;587744.1496301505,6137569.985959791"
18,1029,TL740800,Fuse Boxes (ef),"Point;587841.3551869215,6137523.719708233"
