#,id,description,geometry
int,int,str,str
0,1034234990,Bygning,"Polygon;587794.39,6137523.8;587796.01,6137523.63;587794.79,6137511.91;587803.9,6137510.96;587805.32,6137524.49;587801.71,6137524.87;587802.01,6137527.72;587794.88,6137528.47;587794.39,6137523.8"
1,1034234991,Bygning,"Polygon;587802.35,6137502.48;587804.81,6137502.17;587805.56,6137508.2;587803.1,6137508.51;587802.35,6137502.48"
2,1034235160,Bygning,"Polygon;587744.64,6137462.67;587748.5,6137465.08;587749.29,6137463.77;587754.42,6137466.88;587747.89,6137477.64;587738.88,6137472.17;587744.64,6137462.67"
3,1114676407,Bygning,"Polygon;587835.65,6137593.35;587835.54,6137592.59;587838.79,6137592.09;587838.91,6137592.86;587838.91,6137592.87;587839.4,6137596.09;587839.06,6137596.14;587836.13,6137596.57;587835.65,6137593.35"
4,1071764120,Bygning,"Polygon;587758.74,6137560.24;587753.31,6137557.38;587754.85,6137554.47;587766.21,6137561.56;587765.3,6137563.27;587758.93,6137559.89;587758.74,6137560.24"
5,1071764170,Bygning,"Polygon;587771.17,6137442.34;587773.18,6137439.11;587782.47,6137444.89;587777.38,6137453.07;587772.62,6137450.11;587770.39,6137453.7;587765.62,6137450.73;587768.02,6137446.87;587771.17,6137442.34"
6,1095491182,Bygning,"Polygon;587876.66,6137444.67;587873.23,6137445.07;587872.9,6137442.32;587876.33,6137441.91;587876.66,6137444.67"
7,1034235012,Bygning,"Polygon;587846.89,6137549.75;587849.96,6137549.34;587850.79,6137555.53;587847.72,6137555.94;587846.89,6137549.75"
8,1034235225,Bygning,"Polygon;587832.54,6137569.54;587831.68,6137560.76;587834.91,6137560.44;587834.48,6137556.02;587839.25,6137555.55;587839.36,6137556.67;587841.97,6137556.41;587842.06,6137557.36;587845.59,6137557.01;587845.7,6137558.05;587849.04,6137557.72;587849.83,6137565.8;587840.34,6137566.73;587840.49,6137568.27;587836.55,6137568.66;587836.59,6137569.15;587832.54,6137569.54"
9,1071760819,Bygning,"Polygon;587898.94,6137434.02;587902.15,6137433.61;587903.22,6137441.9;587895.23,6137442.93;587895.42,6137444.38;587887.61,6137445.39;587886.35,6137435.62;587894.91,6137434.52;587898.94,6137434.02"
10,1071761291,Bygning,"Polygon;587856.13,6137611.38;587856.5,6137614.42;587850.64,6137615.12;587850.28,6137612.08;587856.13,6137611.38"
11,1095492844,Bygning,"Polygon;587752.69,6137535.24;587752.95,6137532.83;587754.72,6137533.02;587754.46,6137535.43;587752.69,6137535.24"
12,1071766658,Bygning,"Polygon;587842.09,6137428.41;587841.78,6137425.86;587850.7,6137424.59;587851.74,6137424.47;587852.13,6137427.8;587848.79,6137428.2;587848.73,6137427.62;587842.09,6137428.41"
13,1034242895,Bygning,"Polygon;587915.26,6137479.31;587928.48,6137477.67;587929.74,6137487.87;587916.52,6137489.51;587915.26,6137479.31"
14,1071730634,Bygning,"Polygon;587764.12,6137545.98;587765.6,6137543.52;587769.99,6137546.17;587768.51,6137548.62;587764.12,6137545.98"
15,1071756117,Bygning,"Polygon;587905.96,6137511.41;587906.58,6137515.83;587894.77,6137517.49;587894.14,6137513.03;587891.41,6137513.41;587890.82,6137509.18;587893.9,6137508.75;587893.76,6137507.72;587903.25,6137506.38;587901.64,6137494.94;587907.03,6137494.18;587908.41,6137504.01;587908.52,6137504.76;587905.1,6137505.24;587905.96,6137511.41"
16,1071756118,Bygning,"Polygon;587908.41,6137504.01;587908.91,6137503.94;587909.88,6137510.86;587905.96,6137511.41;587905.1,6137505.24;587908.52,6137504.76;587908.41,6137504.01"
17,1071757158,Bygning,"Polygon;587793.4,6137466.56;587792.5,6137467.97;587778.31,6137458.92;587784.07,6137449.88;587788.95,6137452.99;587788.57,6137453.58;587793.16,6137456.5;587793.51,6137455.96;587798.3,6137459.02;587797.75,6137459.89;587793.4,6137466.56"
18,1071757159,Bygning,"Polygon;587797.75,6137459.89;587799.48,6137461.0;587795.2,6137467.71;587793.4,6137466.56;587797.75,6137459.89"
19,1071759982,Bygning,"Polygon;587906.33,6137462.53;587899.01,6137463.42;587899.19,6137464.82;587891.35,6137465.78;587890.16,6137456.03;587896.94,6137455.19;587896.72,6137453.41;587900.46,6137452.95;587900.69,6137454.73;587905.89,6137454.1;587906.84,6137461.91;587906.91,6137462.46;587906.33,6137462.53"
