#,id,name,description,geometry
int,str,str,str,str
0,3047363d-3331-44a1-bc33-666dc2a19bef_node,water_node,Water node,"Point;587836.91514447,6137525.0312156"
1,8dd6a07c-8463-4969-986e-2a2680ba3e76_node,water_node,Water node,"Point;587774.84989883,6137565.05821456"
2,89553ef8-7bfa-4ac7-8c09-4679cb7634df_node,water_node,Water node,"Point;587809.08462334,6137490.04399702"
3,14bf0b65-cd6c-4989-bed9-8c0a6592c6bb_node,water_node,Water node,"Point;587806.0909,6137615.17183892"
4,732e35a9-9ec5-4b6c-bfaa-46a23daf5e6c_node,water_node,Water node,"Point;587762.10362479,6137461.98462002"
5,63d03772-4bd1-405c-ba68-a231844d13d7_node,water_node,Water node,"Point;587845.02229385,6137531.05006363"
6,5c6938b1-9538-4e3b-8497-ddc11b9f48ca_node,water_node,Water node,"Point;587833.63614078,6137533.54295817"
7,a81a719b-dd61-48a2-a471-449d54d7cc80_node,water_node,Water node,"Point;587757.11914906,6137583.89895756"
8,14d0cdff-389f-4d38-bba4-8d3a4ff54bce_node,water_node,Water node,"Point;587895.15023392,6137526.45562998"
9,46c14bbe-78ce-4b5b-ad59-10cf6463a209_node,water_node,Water node,"Point;587827.16447945,6137445.80873222"
10,a113d0de-0b53-4fb1-b8eb-8b8bbd4f7d83_node,water_node,Water node,"Point;587765.3522424,6137456.84917901"
11,0935c8bb-a181-4a13-86f9-1653dafaf93f_node,water_node,Water node,"Point;587902.79225278,6137524.3081541"
12,22fb5a3c-5805-4a80-8733-c497f519c731_node,water_node,Water node,"Point;587783.56066861,6137472.05809872"
13,17cfdb59-a202-41f6-8f98-dc3220f42819_node,water_node,Water node,"Point;587828.55663675,6137486.33243422"
14,2ef30cc7-0b29-4033-8e96-658c1082c9af_node,water_node,Water node,"Point;587788.91064935,6137542.77366248"
