#,id,description,geometry
int,int,str,str
0,1034239053,Bygning,"Polygon;590674.68,6136676.64;590679.17,6136677.1;590678.4,6136684.72;590673.91,6136684.27;590674.68,6136676.64"
1,1095489762,Bygning,"Polygon;590733.56,6136536.17;590799.49,6136542.42;590789.09,6136652.04;590723.17,6136645.79;590726.88,6136606.65;590727.25,6136602.78;590733.56,6136536.17"
2,1210511875,Bygning,"Polygon;590695.14,6136787.01;590696.51,6136772.6;590693.29,6136772.3;590691.92,6136786.71;590695.14,6136787.01"
3,1034239050,Bygning,"Polygon;590679.22,6136676.06;590674.73,6136675.59;590675.66,6136666.58;590680.16,6136667.05;590679.22,6136676.06"
4,1071724513,Bygning,"Polygon;590624.32,6136688.22;590625.73,6136674.28;590632.98,6136675.02;590633.26,6136672.22;590646.71,6136673.58;590646.44,6136676.25;590653.69,6136676.98;590652.6,6136687.81;590650.57,6136687.61;590650.49,6136688.38;590652.7,6136688.6;590652.46,6136690.96;590650.06,6136690.72;590649.84,6136692.83;590652.45,6136693.1;590651.35,6136704.02;590650.83,6136703.97;590650.23,6136709.9;590650.81,6136709.96;590649.58,6136722.11;590621.19,6136719.24;590624.09,6136690.57;590624.32,6136688.22"
5,1095490913,Bygning,"Polygon;590678.69,6136692.48;590676.28,6136692.28;590676.51,6136689.57;590678.91,6136689.77;590678.69,6136692.48"
6,1034239052,Bygning,"Polygon;590669.07,6136676.11;590673.62,6136676.63;590672.76,6136684.13;590668.21,6136683.61;590669.07,6136676.11"
7,1071724514,Bygning,"Polygon;590591.57,6136774.97;590613.11,6136777.06;590615.9,6136748.41;590643.55,6136751.1;590644.04,6136746.07;590646.5,6136746.31;590646.01,6136751.35;590647.33,6136751.47;590647.26,6136752.13;590648.11,6136752.21;590648.69,6136746.25;590658.12,6136747.16;590656.73,6136761.44;590647.23,6136760.51;590647.28,6136760.06;590646.6,6136760.0;590639.75,6136830.27;590629.69,6136829.29;590632.83,6136796.98;590621.37,6136795.86;590620.13,6136808.57;590610.3,6136807.61;590612.58,6136784.18;590590.97,6136782.07;590591.57,6136774.97"
8,1034152827,Broenddaeksel,"Point;590789.25,6136789.92"
9,1034152828,Broenddaeksel,"Point;590791.35,6136751.13"
10,1034152856,Broenddaeksel,"Point;590716.3,6136661.91"
11,1034152862,Broenddaeksel,"Point;590678.63,6136740.17"
12,1034153057,Broenddaeksel,"Point;590702.05,6136818.09"
13,1034153067,Broenddaeksel,"Point;590754.51,6136747.38"
14,1034153298,Broenddaeksel,"Point;590738.88,6136745.96"
15,1103665959,Broenddaeksel,"Point;590721.9,6136646.96"
16,1103666133,Broenddaeksel,"Point;590712.15,6136701.01"
17,1034152826,Broenddaeksel,"Point;590785.64,6136826.36"
18,1034152859,Broenddaeksel,"Point;590741.18,6136717.28"
19,1034152861,Broenddaeksel,"Point;590708.5,6136743.22"
20,1034153061,Broenddaeksel,"Point;590705.71,6136782.18"
21,1103665858,Broenddaeksel,"Point;590746.23,6136681.42"
22,1103665914,Broenddaeksel,"Point;590714.55,6136659.76"
23,1103666027,Broenddaeksel,"Point;590700.88,6136699.53"
24,1113474623,Mast,"Point;590754.27,6136774.43"
25,1113474640,Mast,"Point;590742.73,6136773.45"
26,1113474817,Mast,"Point;590752.51,6136789.87"
27,1034152897,Mast,"Point;590722.75,6136838.07"
28,1034152900,Mast,"Point;590762.49,6136822.18"
29,1034152901,Mast,"Point;590781.86,6136824.2"
30,1034152902,Mast,"Point;590724.58,6136818.59"
31,1034152905,Mast,"Point;590783.78,6136806.05"
32,1034152909,Mast,"Point;590720.92,6136748.84"
33,1034152911,Mast,"Point;590779.83,6136754.41"
34,1034152912,Mast,"Point;590714.25,6136723.59"
35,1034152913,Mast,"Point;590733.43,6136725.33"
36,1034152915,Mast,"Point;590771.64,6136729.11"
37,1034152918,Mast,"Point;590773.47,6136711.19"
38,1034152921,Mast,"Point;590716.02,6136705.76"
39,1034152924,Mast,"Point;590756.14,6136691.39"
40,1034152925,Mast,"Point;590775.1,6136693.41"
41,1034152926,Mast,"Point;590794.19,6136695.19"
42,1034152953,Mast,"Point;590670.14,6136743.81"
43,1034152954,Mast,"Point;590664.38,6136734.06"
44,1034152977,Mast,"Point;590785.24,6136788.4"
45,1103668986,Mast,"Point;590757.44,6136670.87"
46,1103669242,Mast,"Point;590694.49,6136697.11"
47,1103669248,Mast,"Point;590758.34,6136659.25"
48,1103669265,Mast,"Point;590744.17,6136662.24"
49,1210520554,Mast,"Point;590694.95,6136796.92"
50,1034152906,Mast,"Point;590707.04,6136798.93"
51,1034152914,Mast,"Point;590752.63,6136727.25"
52,1034152975,Mast,"Point;590647.35,6136741.77"
53,1034152988,Mast,"Point;590668.63,6136722.89"
54,1034152910,Mast,"Point;590750.39,6136751.58"
55,1034152920,Mast,"Point;590735.13,6136707.52"
56,1034152923,Mast,"Point;590737.01,6136689.55"
57,1034152952,Mast,"Point;590691.68,6136746.02"
58,1210520552,Mast,"Point;590699.31,6136749.05"
59,1113474651,Mast,"Point;590741.1,6136789.49"
60,1034152903,Mast,"Point;590705.43,6136816.76"
61,1034152907,Mast,"Point;590708.87,6136780.91"
62,1034152908,Mast,"Point;590710.62,6136762.82"
63,1034152916,Mast,"Point;590790.91,6136730.94"
64,1034152917,Mast,"Point;590792.48,6136713.11"
65,1034152919,Mast,"Point;590754.45,6136709.4"
66,1034152922,Mast,"Point;590717.8,6136687.86"
67,1034152955,Mast,"Point;590665.69,6136759.85"
68,1034152976,Mast,"Point;590787.12,6136770.36"
69,1034153008,Mast,"Point;590667.15,6136684.38"
70,1034152928,Mast,"Point;590783.28,6136672.37"
71,1034152930,Mast,"Point;590732.29,6136670.23"
72,1103668991,Mast,"Point;590721.29,6136652.11"
73,1103669300,Mast,"Point;590698.46,6136653.74"
74,1210520553,Mast,"Point;590697.12,6136771.84"
75,1210520555,Mast,"Point;590692.67,6136821.3"
76,1034135475,Trae,"Point;590773.81,6136729.48"
77,1034135478,Trae,"Point;590777.24,6136729.51"
78,1034135702,Trae,"Point;590739.76,6136726.05"
79,1034135705,Trae,"Point;590760.45,6136709.55"
80,1034135711,Trae,"Point;590729.5,6136688.85"
81,1103670365,Trae,"Point;590705.26,6136714.64"
82,1103670391,Trae,"Point;590724.62,6136651.66"
83,1103670406,Trae,"Point;590712.53,6136650.13"
84,1103670421,Trae,"Point;590659.94,6136716.57"
85,1103670433,Trae,"Point;590711.39,6136647.12"
86,1103670438,Trae,"Point;590679.53,6136717.46"
87,1103670440,Trae,"Point;590657.51,6136723.24"
88,1103670496,Trae,"Point;590707.39,6136679.56"
89,1103670502,Trae,"Point;590692.33,6136722.36"
90,1103670519,Trae,"Point;590741.27,6136672.06"
91,1103670531,Trae,"Point;590667.88,6136684.52"
92,1103670597,Trae,"Point;590781.83,6136675.61"
93,1103670626,Trae,"Point;590682.7,6136723.63"
94,1103670643,Trae,"Point;590671.74,6136722.44"
95,1103670673,Trae,"Point;590776.87,6136656.12"
96,1103670678,Trae,"Point;590725.63,6136670.53"
97,1103670754,Trae,"Point;590728.76,6136650.93"
98,1103670759,Trae,"Point;590690.09,6136661.53"
99,1103670765,Trae,"Point;590655.16,6136728.67"
100,1103670842,Trae,"Point;590693.56,6136728.55"
101,1103670846,Trae,"Point;590786.97,6136673.17"
102,1103670854,Trae,"Point;590675.99,6136716.81"
103,1103670861,Trae,"Point;590766.88,6136674.79"
104,1103670869,Trae,"Point;590788.77,6136676.48"
105,1103670922,Trae,"Point;590648.98,6136728.29"
106,1202734421,Trae,"Point;590736.48,6136808.92"
107,1202734422,Trae,"Point;590731.13,6136808.27"
108,1202734423,Trae,"Point;590726.5,6136808.04"
109,1202734425,Trae,"Point;590762.24,6136811.39"
110,1202734427,Trae,"Point;590752.16,6136810.29"
111,1202734429,Trae,"Point;590772.25,6136812.34"
112,1202734430,Trae,"Point;590767.15,6136811.78"
113,1202734487,Trae,"Point;590721.62,6136807.59"
114,1067406484,Trae,"Point;590677.66,6136702.61"
115,1034135473,Trae,"Point;590764.65,6136710.21"
116,1103670568,Trae,"Point;590745.12,6136653.62"
117,1103670586,Trae,"Point;590685.1,6136664.2"
118,1202734424,Trae,"Point;590716.48,6136807.19"
119,1103670532,Trae,"Point;590676.83,6136721.21"
120,1103670573,Trae,"Point;590683.51,6136731.54"
121,1103670581,Trae,"Point;590757.91,6136666.86"
122,1103670351,Trae,"Point;590709.02,6136685.79"
123,1103670364,Trae,"Point;590743.4,6136658.36"
124,1103670490,Trae,"Point;590709.44,6136674.86"
125,1103670755,Trae,"Point;590678.52,6136725.57"
126,1103670864,Trae,"Point;590661.48,6136729.63"
127,1103670905,Trae,"Point;590687.03,6136670.07"
128,1103670972,Trae,"Point;590757.37,6136674.71"
129,1103670514,Trae,"Point;590739.24,6136653.1"
130,1034135476,Trae,"Point;590769.35,6136728.86"
131,1034135706,Trae,"Point;590756.39,6136709.33"
132,1034135709,Trae,"Point;590739.04,6136689.84"
133,1103670396,Trae,"Point;590695.01,6136716.39"
134,1103670623,Trae,"Point;590655.7,6136716.24"
135,1103670695,Trae,"Point;590762.06,6136673.66"
136,1103670700,Trae,"Point;590721.43,6136670.76"
137,1103670783,Trae,"Point;590698.06,6136679.52"
138,1202734426,Trae,"Point;590757.42,6136811.03"
139,1202734428,Trae,"Point;590747.38,6136809.97"
140,1202734486,Trae,"Point;590711.64,6136806.68"
141,1034135703,Trae,"Point;590736.14,6136725.69"
142,1034135708,Trae,"Point;590733.67,6136689.25"
143,1103670627,Trae,"Point;590673.08,6136687.41"
144,1103670638,Trae,"Point;590671.61,6136685.21"
145,1103670984,Trae,"Point;590736.85,6136671.54"
146,1202730954,Nedloebsrist,"Point;590733.88,6136819.3"
147,1034152744,Nedloebsrist,"Point;590795.17,6136755.58"
148,1034152754,Nedloebsrist,"Point;590737.45,6136708.91"
149,1034152763,Nedloebsrist,"Point;590785.83,6136731.65"
150,1034152764,Nedloebsrist,"Point;590789.2,6136695.9"
151,1034152870,Nedloebsrist,"Point;590653.76,6136741.72"
152,1034152749,Nedloebsrist,"Point;590707.82,6136735.33"
153,1034152774,Nedloebsrist,"Point;590740.58,6136662.51"
154,1034152778,Nedloebsrist,"Point;590774.47,6136678.99"
155,1103669436,Nedloebsrist,"Point;590766.05,6136665.1"
156,1103669698,Nedloebsrist,"Point;590793.5,6136690.99"
157,1103669774,Nedloebsrist,"Point;590760.09,6136664.5"
158,1103669907,Nedloebsrist,"Point;590782.47,6136666.46"
159,1103669971,Nedloebsrist,"Point;590711.83,6136692.51"
160,1103669990,Nedloebsrist,"Point;590713.67,6136673.29"
161,1103670043,Nedloebsrist,"Point;590734.55,6136662.13"
162,1034152777,Nedloebsrist,"Point;590772.04,6136665.59"
163,1202730955,Nedloebsrist,"Point;590744.81,6136816.92"
164,1034152743,Nedloebsrist,"Point;590790.83,6136754.73"
165,1034152748,Nedloebsrist,"Point;590705.27,6136738.27"
166,1034152756,Nedloebsrist,"Point;590753.63,6136726.12"
167,1034152760,Nedloebsrist,"Point;590787.81,6136711.55"
168,1034152761,Nedloebsrist,"Point;590787.52,6136713.7"
169,1034152762,Nedloebsrist,"Point;590786.01,6136729.59"
170,1034152767,Nedloebsrist,"Point;590772.78,6136692.11"
171,1034152769,Nedloebsrist,"Point;590740.76,6136688.88"
172,1034152770,Nedloebsrist,"Point;590722.22,6136687.06"
173,1034152746,Nedloebsrist,"Point;590788.63,6136746.43"
174,1034152780,Nedloebsrist,"Point;590790.76,6136680.81"
175,1202730952,Nedloebsrist,"Point;590772.7,6136823.07"
176,1202730953,Nedloebsrist,"Point;590753.22,6136821.0"
177,1034152745,Nedloebsrist,"Point;590796.12,6136747.1"
178,1034152747,Nedloebsrist,"Point;590704.35,6136746.85"
179,1034152750,Nedloebsrist,"Point;590719.01,6136725.06"
180,1034152751,Nedloebsrist,"Point;590719.35,6136723.26"
181,1034152752,Nedloebsrist,"Point;590721.02,6136707.23"
182,1034152753,Nedloebsrist,"Point;590721.2,6136705.08"
183,1034152755,Nedloebsrist,"Point;590737.65,6136706.75"
184,1034152757,Nedloebsrist,"Point;590739.52,6136724.86"
185,1034152758,Nedloebsrist,"Point;590770.9,6136712.15"
186,1034152759,Nedloebsrist,"Point;590770.91,6136709.89"
