,typename,id,label,geometry,service,time,fix,nSat,hError,note,date
0,Tree,0,Tree,"Point;[587918.0134273489],[6137527.3374737855]",GNSS,12.00 pm,4,7,1.6,,08/09/2020
1,Tree,1,Tree,"Point;[587912.9454554226],[6137521.843082831]",GNSS,1.03 pm,4,7,2.0,,08/09/2020
2,Tree,3,Tree,"Point;[587903.8571894073],[6137527.367041437]",GNSS,1.11 pm,5,9,1.4,,08/09/2020
3,Tree,4,Tree,"Point;[587903.9560383793],[6137521.675067035]",GNSS,1.15 pm,5,11,1.1,,08/09/2020
4,Tree,5,Tree,"Point;[587898.5398944649],[6137523.472912656]",GNSS,1.16 pm,5,11,0.9,,08/09/2020
5,Tree,6,Tree,"Point;[587889.106435907],[6137523.321682116]",GNSS,1.17 pm,5,13,0.8,,08/09/2020
6,Tree,7,Tree,"Point;[587889.8270131858],[6137530.6774974475]",GNSS,1.18 pm,5,10,1.1,,08/09/2020
7,Lamppost,8,Lamppost,"Point;[587869.3759871847],[6137522.360885298]",GNSS,1.20 pm,5,11,1.5,,08/09/2020
8,Downspout grille,9,Downspout grille,"Point;[587867.2146872686],[6137525.373526667]",GNSS,1.24 pm,4,11,1.0,,08/09/2020
9,Lamppost,10,Lamppost,"Point;[587844.8748786205],[6137526.02173536]",GNSS,1.25 pm,4,7,2.0,,08/09/2020
10,Downspout grille,11,Downspout grille,"Point;[587846.1042721268],[6137527.947538347]",GNSS,1.26 pm,4,6,2.4,,08/09/2020
11,Manhole cover,12,Manhole cover,"Point;[587845.0228445787],[6137530.941620817]",GNSS,1.27 pm,4,6,4.3,,08/09/2020
12,Downspout grille,13,Downspout grille,"Point;[587849.8346855579],[6137534.564019125]",GNSS,1.27 pm,4,8,1.8,,08/09/2020
13,Downspout grille,14,Downspout grille,"Point;[587867.9996943487],[6137532.328760904]",GNSS,1.28 pm,4,9,1.0,,08/09/2020
14,Manhole cover,15,Manhole cover,"Point;[587833.5979329064],[6137533.520454782]",GNSS,1.29 pm,4,8,1.4,,08/09/2020
15,Downspout grille,16,Downspout grille,"Point;[587816.6112316594],[6137538.625725447]",GNSS,1.30 pm,4,9,1.2,,08/09/2020
16,Downspout grille,17,Downspout grille,"Point;[587793.9382972812],[6137543.8817088725]",GNSS,1.30 pm,4,9,1.2,,08/09/2020
17,Manhole cover,18,Manhole cover,"Point;[587789.0148782328],[6137542.902078874]",GNSS,1.30 pm,4,8,1.9,,08/09/2020
18,Downspout grille,19,Downspout grille,"Point;[587780.8118296806],[6137550.171565397]",GNSS,1.31 pm,4,10,1.1,,08/09/2020
19,Downspout grille,20,Downspout grille,"Point;[587780.4180768314],[6137561.772020028]",GNSS,1.32 pm,4,6,4.4,,08/09/2020
20,Lamppost,21,Lamppost,"Point;[587770.726055463],[6137563.119807279]",GNSS,1.33 pm,4,9,1.2,,08/09/2020
21,Manhole cover,22,Manhole cover,"Point;[587774.8738229269],[6137565.075830465]",GNSS,1.33 pm,4,9,1.2,,08/09/2020
22,Manhole cover,23,Manhole cover,"Point;[587774.5938073504],[6137570.961231955]",GNSS,1.34 pm,4,7,2.6,,08/09/2020
23,Lamppost,24,Lamppost,"Point;[587769.7905004809],[6137587.774930321]",GNSS,1.35 pm,4,9,1.0,,08/09/2020
24,Tree,25,Tree,"Point;[587771.1513111512],[6137588.3530340195]",GNSS,1.35 pm,4,11,0.8,,08/09/2020
25,Tree,26,Tree,"Point;[587777.0006762539],[6137591.821228172]",GNSS,1.36 pm,4,11,0.8,,08/09/2020
26,Downspout grille,27,Downspout grille,"Point;[587777.8221645487],[6137593.573030429]",GNSS,1.36 pm,4,8,1.2,,08/09/2020
27,Lamppost,28,Lamppost,"Point;[587798.4089680129],[6137604.930921423]",GNSS,1.37 pm,4,7,1.7,,08/09/2020
28,Downspout grille,29,Downspout grille,"Point;[587805.0211097626],[6137610.359070917]",GNSS,1.37 pm,4,7,1.6,,08/09/2020
29,Tree,30,Tree,"Point;[587812.5848580358],[6137613.771272661]",GNSS,1.37 pm,4,10,0.9,,08/09/2020
30,Tree,31,Tree,"Point;[587820.1767972677],[6137619.269044738]",GNSS,1.38 pm,4,9,1.0,,08/09/2020
31,Lamppost,32,Lamppost,"Point;[587824.5700232547],[6137622.26415294]",GNSS,1.38 pm,4,9,1.2,,08/09/2020
32,Lamppost,34,Lamppost,"Point;[587841.339059241],[6137605.601949993]",GNSS,1.39 pm,4,9,1.0,,08/09/2020
33,Bench,35,Bench,"Point;[587830.8296367384],[6137617.858124897]",GNSS,1.40 pm,4,12,0.8,,08/09/2020
34,Tree,43,Tree,"Point;[587798.1800415103],[6137615.540583309]",GNSS,1.44 pm,4,10,0.9,,08/09/2020
35,Downspout grille,44,Downspout grille,"Point;[587801.0234848064],[6137616.466578612]",GNSS,1.45 pm,4,8,1.4,,08/09/2020
36,Manhole cover,45,Manhole cover,"Point;[587805.8277186459],[6137614.959223126]",GNSS,1.46 pm,4,12,0.9,,08/09/2020
37,Tree,46,Tree,"Point;[587783.2534162932],[6137606.010748593]",GNSS,1.47 pm,4,9,1.1,,08/09/2020
