,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,1034541301,Building (gd),"Polygon;[587369.77, 587359.45, 587359.82, 587354.66, 587349.42, 587349.54, 587341.39, 587346.25, 587346.86, 587347.34, 587308.24, 587317.4, 587319.45, 587325.21, 587325.33, 587369.77],[6141073.34, 6141091.3, 6141091.51, 6141100.48, 6141097.47, 6141097.25, 6141092.56, 6141084.12, 6141084.48, 6141083.65, 6141061.17, 6141045.23, 6141044.69, 6141048.0, 6141047.79, 6141073.34]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
1,1095484119,Building (gd),"Polygon;[587355.58, 587354.34, 587345.69, 587345.43, 587341.9, 587343.4, 587355.58],[6141054.77, 6141056.99, 6141052.16, 6141052.62, 6141050.65, 6141047.98, 6141054.77]",geodanmark,COWI,2018-12-20T10:28:01.927000+01:00,0.15,0.20
2,1067402624,Building (gd),"Polygon;[587274.06, 587270.92, 587272.38, 587275.52, 587274.06],[6141093.34, 6141091.47, 6141089.02, 6141090.89, 6141093.34]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
3,1114480230,Building (gd),"Polygon;[587285.5, 587262.01, 587261.94, 587261.81, 587283.65, 587283.62, 587272.97, 587272.93, 587276.26, 587276.25, 587285.28, 587285.29, 587288.31, 587288.34, 587288.4, 587285.34, 587285.43, 587285.5],[6141057.62, 6141057.73, 6141042.41, 6141013.6, 6141013.5, 6141008.71, 6141008.76, 6141001.57, 6141001.55, 6140998.77, 6140998.73, 6141001.18, 6141001.16, 6141007.39, 6141021.48, 6141021.49, 6141042.31, 6141057.62]",geodanmark,COWI,2018-01-11T13:09:30.000000+01:00,0.15,0.20
4,1034541299,Building (gd),"Polygon;[587337.65, 587330.42, 587331.33, 587328.4, 587327.38, 587320.1, 587271.59, 587274.3, 587271.77, 587283.77, 587284.02, 587286.73, 587337.65],[6141129.75, 6141142.35, 6141142.87, 6141147.96, 6141147.37, 6141160.05, 6141132.22, 6141127.49, 6141126.04, 6141105.12, 6141105.26, 6141100.54, 6141129.75]",geodanmark,Niras A/S,2016-12-23T22:00:09.000000+01:00,0.15,0.20
5,1103669263,Light Fixture (gd),"Point;[587260.34],[6141056.4]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
6,1103669276,Light Fixture (gd),"Point;[587247.24],[6141128.63]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
7,1103669286,Light Fixture (gd),"Point;[587278.11],[6141074.91]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
8,1103668917,Light Fixture (gd),"Point;[587339.0],[6141110.35]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
9,1103669199,Light Fixture (gd),"Point;[587262.13],[6141102.83]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
10,1103669349,Light Fixture (gd),"Point;[587265.19],[6141141.41]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
11,1103670790,Tree (gd),"Point;[587254.39],[6141146.17]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
12,1034479998,Downspout Grille (gd),"Point;[587302.21],[6141068.78]",geodanmark,DSM GEODATA (P) LTD,2011-11-08T12:29:54.000000+01:00,0.10,0.15
13,1103667902,Chicane (gd),"LineString;[587270.3, 587270.73, 587271.28, 587271.73, 587272.17, 587272.06, 587271.88, 587271.41, 587270.16, 587263.54, 587262.26, 587260.97, 587260.35, 587259.98, 587259.94, 587260.34, 587261.4, 587264.18, 587270.3],[6141065.98, 6141066.05, 6141066.6, 6141067.41, 6141072.82, 6141073.23, 6141073.63, 6141073.96, 6141074.4, 6141074.67, 6141074.41, 6141073.57, 6141072.51, 6141071.12, 6141069.77, 6141068.41, 6141067.42, 6141066.83, 6141065.98]",geodanmark,COWI,2016-12-20T15:17:00.000000+01:00,0.15,0.20
