,id,label,geometry,service,actor,date,horizontal_precision,vertical_precision
0,1034234991,Building (gd),"Polygon;[587802.35, 587804.81, 587805.56, 587803.1, 587802.35],[6137502.48, 6137502.17, 6137508.2, 6137508.51, 6137502.48]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
1,1034235012,Building (gd),"Polygon;[587846.89, 587849.96, 587850.79, 587847.72, 587846.89],[6137549.75, 6137549.34, 6137555.53, 6137555.94, 6137549.75]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
2,1034235225,Building (gd),"Polygon;[587832.54, 587831.68, 587834.91, 587834.48, 587839.25, 587839.36, 587841.97, 587842.06, 587845.59, 587845.7, 587849.04, 587849.83, 587840.34, 587840.49, 587836.55, 587836.59, 587832.54],[6137569.54, 6137560.76, 6137560.44, 6137556.02, 6137555.55, 6137556.67, 6137556.41, 6137557.36, 6137557.01, 6137558.05, 6137557.72, 6137565.8, 6137566.73, 6137568.27, 6137568.66, 6137569.15, 6137569.54]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
3,1071764737,Building (gd),"Polygon;[587798.67, 587800.95, 587798.71, 587789.75, 587791.76, 587798.67],[6137566.53, 6137567.89, 6137571.61, 6137566.23, 6137562.9, 6137566.53]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
4,1071764736,Building (gd),"Polygon;[587791.76, 587791.03, 587792.03, 587789.71, 587794.43, 587797.18, 587798.52, 587803.4, 587802.06, 587804.16, 587798.67, 587791.76],[6137562.9, 6137562.46, 6137560.8, 6137559.4, 6137551.52, 6137553.17, 6137550.94, 6137553.86, 6137556.1, 6137557.36, 6137566.53, 6137562.9]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
5,1071755293,Building (gd),"Polygon;[587852.38, 587842.15, 587841.58, 587844.71, 587844.19, 587846.94, 587846.8, 587849.57, 587849.72, 587853.87, 587854.22, 587855.32, 587855.67, 587854.58, 587854.89, 587854.94, 587852.38],[6137499.1, 6137500.28, 6137495.38, 6137495.02, 6137490.56, 6137490.24, 6137488.97, 6137488.65, 6137489.92, 6137489.44, 6137492.4, 6137492.28, 6137495.39, 6137495.51, 6137498.28, 6137498.8, 6137499.1]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
6,1071752074,Building (gd),"Polygon;[587882.18, 587874.45, 587874.29, 587871.3, 587871.42, 587864.86, 587864.31, 587866.53, 587866.15, 587870.36, 587869.97, 587875.69, 587875.77, 587881.73, 587882.62, 587883.0, 587882.18],[6137515.64, 6137516.34, 6137514.58, 6137514.86, 6137516.27, 6137516.87, 6137510.89, 6137510.68, 6137506.43, 6137506.04, 6137501.71, 6137501.19, 6137502.14, 6137501.6, 6137511.32, 6137515.57, 6137515.64]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
7,1071755294,Building (gd),"Polygon;[587854.89, 587857.89, 587858.35, 587852.77, 587852.38, 587854.94, 587854.89],[6137498.28, 6137497.93, 6137501.91, 6137502.55, 6137499.1, 6137498.8, 6137498.28]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,1.00,1.00
8,1034242826,Building (gd),"Polygon;[587840.63, 587850.49, 587851.83, 587841.97, 587840.63],[6137471.75, 6137470.49, 6137480.94, 6137482.2, 6137471.75]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
9,1095496617,Building (gd),"Polygon;[587794.13, 587793.52, 587794.87, 587796.83, 587797.44, 587796.09, 587794.13],[6137573.53, 6137571.62, 6137570.14, 6137570.57, 6137572.48, 6137573.96, 6137573.53]",geodanmark,COWI,2016-04-14T18:11:15.000000+02:00,0.15,0.20
10,1034235014,Building (gd),"Polygon;[587826.85, 587830.52, 587831.18, 587827.51, 587826.85],[6137551.19, 6137550.78, 6137556.65, 6137557.06, 6137551.19]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
11,1034235015,Building (gd),"Polygon;[587814.19, 587822.71, 587822.98, 587825.86, 587826.76, 587823.89, 587823.93, 587815.41, 587814.19],[6137545.78, 6137544.68, 6137546.71, 6137546.34, 6137553.02, 6137553.4, 6137553.78, 6137554.87, 6137545.78]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
12,1034235037,Building (gd),"Polygon;[587875.74, 587884.87, 587885.24, 587885.73, 587886.39, 587888.29, 587889.38, 587879.77, 587879.21, 587877.29, 587875.74],[6137550.99, 6137549.76, 6137552.53, 6137552.46, 6137557.27, 6137557.01, 6137564.99, 6137566.3, 6137562.15, 6137562.4, 6137550.99]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
13,1034234993,Building (gd),"Polygon;[587779.96, 587783.17, 587786.42, 587784.83, 587786.88, 587785.25, 587779.96],[6137486.64, 6137481.56, 6137483.62, 6137486.12, 6137487.41, 6137489.99, 6137486.64]",geodanmark,Niras A/S,2015-02-24T09:21:15.000000+01:00,0.10,0.15
