,date,time,latDir,lonDir,fix,nSat,altitude,altitudeUnit,height,heightUnit,hError,checksum,typename,sub category,note,n,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,13/11/2020,102212.85,N,E,4,12,4.018,M,39.447,M,0.9,0015*4F,Bench,,,0,,,,,,"Point;[587254.0540300836],[6141141.681343694]",Bench,27
1,13/11/2020,102253.25,N,E,4,12,4.491,M,39.447,M,1.3,0015*4A,Bench,,,1,,,,,,"Point;[587251.8687390054],[6141142.588727772]",Bench,28
2,13/11/2020,102305,N,E,4,12,4.544,M,39.447,M,1,0015*40,Bench,,,2,,,,,,"Point;[587253.9160600054],[6141143.786987978]",Bench,29
3,13/11/2020,102648.75,N,E,4,13,4.514,M,39.447,M,1.8,0015*44,Bench,,,3,,,,,,"Point;[587240.3217710917],[6141107.42380254]",Bench,36
4,13/11/2020,102700.7,N,E,4,13,4.501,M,39.447,M,1.7,0015*4E,Bench,,,4,,,,,,"Point;[587241.6752196632],[6141104.098796052]",Bench,37
5,13/11/2020,103001.3,N,E,4,13,4.492,M,39.447,M,1.3,0015*4F,Bench,,,5,,,,,,"Point;[587235.6751284843],[6141077.565174864]",Bench,45
6,13/11/2020,105438.7,N,E,4,13,4.871,M,39.447,M,1.7,0015*4A,Bench,,,6,,,,,,"Point;[587293.263436191],[6141012.821793018]",Bench,82
7,13/11/2020,105529.9,N,E,4,12,4.77,M,39.447,M,0.9,0015*48,Bench,,,7,,,,,,"Point;[587309.2592668752],[6141028.029847236]",Bench,83
8,13/11/2020,112758.45,N,E,4,13,4.208,M,39.447,M,1.5,0015*40,Bench,,,8,,,,,,"Point;[587339.9947040617],[6141152.15054067]",Bench,133
9,13/11/2020,112829.35,N,E,4,12,4.207,M,39.447,M,1.4,0015*49,Bench,,,9,,,,,,"Point;[587341.4418578425],[6141149.852666469]",Bench,134
10,13/11/2020,114033.95,N,E,4,11,4.131,M,39.447,M,0.9,0015*47,Bench,,,10,,,,,,"Point;[587312.5524729807],[6141073.332822453]",Bench,148
11,13/11/2020,114055.75,N,E,4,12,4.489,M,39.447,M,1.8,0015*4F,Bench,,,11,,,,,,"Point;[587312.976771652],[6141069.564185436]",Bench,149
12,13/11/2020,114120.55,N,E,4,12,4.426,M,39.447,M,1.5,0015*44,Bench,,,12,,,,,,"Point;[587310.3933588497],[6141068.026884556]",Bench,150
13,13/11/2020,114151.7,N,E,4,12,4.425,M,39.447,M,1.7,0015*44,Bench,,,13,,,,,,"Point;[587307.7648419719],[6141066.592217897]",Bench,151
14,13/11/2020,114828.3,N,E,4,6,3.965,M,39.447,M,1.3,0015*49,Building Corner,,,14,,,,,,"Point;[587337.6688760996],[6141129.634736652]",Building Corner,157
15,13/11/2020,114924.7,N,E,4,11,3.968,M,39.447,M,1.7,0015*45,Building Corner,,,15,,,,,,"Point;[587320.2804600772],[6141160.044113624]",Building Corner,158
16,13/11/2020,115147.65,N,E,4,6,3.921,M,39.447,M,1.6,0015*41,Building Corner,,,16,,,,,,"Point;[587271.6712636524],[6141132.1217967]",Building Corner,163
17,13/11/2020,115241.55,N,E,4,7,3.74,M,39.447,M,1.5,0015*43,Building Corner,,,17,,,,,,"Point;[587289.1498165824],[6141101.84983061]",Building Corner,164
18,13/11/2020,115418.35,N,E,4,11,3.926,M,39.447,M,1.4,0015*46,Building Corner,,,18,,,,,,"Point;[587354.5977288316],[6141100.086823961]",Building Corner,165
19,13/11/2020,101147.95,N,E,4,14,3.745,M,39.447,M,2,0015*4F,Downspout Grille,,,19,,,,,,"Point;[587318.1794150219],[6141169.323193679]",Downspout Grille,12
