,oldID,Type,timestamp,latDir,lonDir,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,typename,subcategory,note,geometry,label,id
0,2,$GPGGA,113957.0,N,E,4,13,0.7,7.8260000000000005,M,39.466,M,1.0,0026*49,Bench,,,"Point;[587584.4441399577],[6139148.138775025]",Bench,0
1,27,$GPGGA,121516.15,N,E,4,15,0.7,9.478,M,39.466,M,1.1,0026*47,Bench,,,"Point;[587511.6718427346],[6139233.733661286]",Bench,1
2,48,$GPGGA,122234.1,N,E,4,15,0.7,9.604,M,39.466,M,1.1,0026*4F,Bench,,,"Point;[587505.4434027242],[6139282.250681282]",Bench,2
3,93,$GPGGA,130905.85,N,E,4,11,1.1,8.668,M,39.466,M,0.9,0009*43,Bench,,,"Point;[587595.8498399602],[6139336.244521952]",Bench,3
4,103,$GPGGA,132514.45,N,E,4,8,1.8,7.803,M,39.466,M,1.5,0009*4E,Bench,,,"Point;[587665.3666456277],[6139328.526061253]",Bench,4
5,49,$GPGGA,122316.05,N,E,4,14,0.7,8.999,M,39.466,M,1.0,0026*40,Fuse Box,,,"Point;[587505.0500881894],[6139271.165562696]",Fuse Box,5
6,30,$GPGGA,121706.7,N,E,4,15,0.7,9.391,M,39.466,M,1.7,0026*4F,Light Fixture,,,"Point;[587499.1580146663],[6139266.411083637]",Light Fixture,6
7,31,$GPGGA,121721.75,N,E,4,15,0.7,9.389,M,39.466,M,1.8,0026*45,Light Fixture,,,"Point;[587498.9848185823],[6139269.295249871]",Light Fixture,7
8,32,$GPGGA,121735.25,N,E,4,15,0.7,9.374,M,39.466,M,1.3,0026*46,Light Fixture,,,"Point;[587498.9708157332],[6139269.904997726]",Light Fixture,8
9,33,$GPGGA,121746.4,N,E,4,15,0.7,9.386000000000001,M,39.466,M,1.4,0026*40,Light Fixture,,,"Point;[587498.9304334853],[6139272.482334371]",Light Fixture,9
10,34,$GPGGA,121758.85,N,E,4,15,0.7,9.382,M,39.466,M,0.9,0026*4C,Light Fixture,,,"Point;[587498.9280450381],[6139273.113463271]",Light Fixture,10
11,35,$GPGGA,121810.5,N,E,4,15,0.7,9.37,M,39.466,M,1.5,0026*40,Light Fixture,,,"Point;[587499.0135265925],[6139275.702203505]",Light Fixture,11
12,36,$GPGGA,121819.75,N,E,4,15,0.7,9.374,M,39.466,M,1.8,0026*40,Light Fixture,,,"Point;[587499.0452367379],[6139276.307292728]",Light Fixture,12
13,37,$GPGGA,121829.95,N,E,4,15,0.7,9.359,M,39.466,M,0.9,0026*46,Light Fixture,,,"Point;[587499.2193305816],[6139278.868848894]",Light Fixture,13
14,38,$GPGGA,121839.0,N,E,4,15,0.7,9.356,M,39.466,M,2.0,0026*4F,Light Fixture,,,"Point;[587499.2856992614],[6139279.483531499]",Light Fixture,14
15,39,$GPGGA,121854.3,N,E,4,15,0.7,9.372,M,39.466,M,1.3,0026*42,Light Fixture,,,"Point;[587499.618127026],[6139281.984778682]",Light Fixture,15
16,39,$GPGGA,121854.5,N,E,4,15,0.7,9.372,M,39.466,M,1.5,0026*44,Light Fixture,,,"Point;[587499.6169044601],[6139281.982528045]",Light Fixture,16
17,40,$GPGGA,121926.75,N,E,4,15,0.7,9.392000000000001,M,39.466,M,1.8,0026*43,Light Fixture,,,"Point;[587500.339345682],[6139285.328631908]",Light Fixture,17
18,41,$GPGGA,121942.65,N,E,4,15,0.7,9.383,M,39.466,M,1.6,0026*47,Light Fixture,,,"Point;[587500.5529646402],[6139285.9306525625]",Light Fixture,18
19,41,$GPGGA,121956.85,N,E,4,15,0.7,9.395,M,39.466,M,1.9,0026*46,Light Fixture,,,"Point;[587501.9693080522],[6139289.016685693]",Light Fixture,19
20,41,$GPGGA,122014.05,N,E,4,15,0.7,9.416,M,39.466,M,1.0,0026*4D,Light Fixture,,,"Point;[587502.2736449211],[6139289.549263157]",Light Fixture,20
21,43,$GPGGA,122046.95,N,E,4,15,0.7,9.4,M,39.466,M,2.0,0026*49,Light Fixture,,,"Point;[587504.8869195244],[6139293.048669712]",Light Fixture,21
22,44,$GPGGA,122103.35,N,E,4,15,0.7,9.561,M,39.466,M,1.4,0026*4D,Light Fixture,,,"Point;[587505.3038547597],[6139293.526709902]",Light Fixture,22
23,45,$GPGGA,122121.95,N,E,4,14,0.7,9.546,M,39.466,M,0.9,0026*4A,Light Fixture,,,"Point;[587509.3719019203],[6139297.249803035]",Light Fixture,23
24,46,$GPGGA,122132.75,N,E,4,13,0.8,9.552999999999999,M,39.466,M,1.8,0026*43,Light Fixture,,,"Point;[587509.8461258673],[6139297.61877547]",Light Fixture,24
25,47,$GPGGA,122154.2,N,E,4,14,0.7,9.581,M,39.466,M,1.2,0026*4E,Light Fixture,,,"Point;[587512.6875527054],[6139300.444785682]",Light Fixture,25
26,52,$GPGGA,122528.25,N,E,4,13,0.9,9.334,M,39.466,M,1.3,0026*49,Light Fixture,,,"Point;[587520.1972491877],[6139293.865770173]",Light Fixture,26
