,Unnamed: 0,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,7,102035.2,5522.069508,N,1025.917802,E,4,9,,25.512,M,39.413,M,1.2,0008*7D,,Bench,,9,-,-,-,-,-,"Point;[590757.380874137],[6136657.13692698]",Bench,9
1,9,102125.8,5522.073345,N,1025.917473,E,4,9,,21.996,M,39.413,M,1.8,0008*73,,Bench,,11,-,-,-,-,-,"Point;[590756.8872380189],[6136664.244609351]",Bench,11
2,11,102147.4,5522.076536,N,1025.91699,E,4,10,,21.92,M,39.413,M,1.4,0008*74,,Bench,,13,-,-,-,-,-,"Point;[590756.2553562045],[6136670.151639229]",Bench,13
3,30,102758.25,5522.075964,N,1025.905223,E,4,9,,21.907,M,39.413,M,1.3,0008*70,,Bench,,33,-,-,-,-,-,"Point;[590743.8480931439],[6136668.835574793]",Bench,33
4,31,102816.35,5522.072799,N,1025.90639,E,4,9,,21.95,M,39.413,M,1.4,0008*7B,,Bench,,34,-,-,-,-,-,"Point;[590745.2020823392],[6136662.991262146]",Bench,34
5,35,102937.3,5522.069603,N,1025.907533,E,4,8,,21.87,M,39.413,M,1.3,0008*73,,Bench,,38,-,-,-,-,-,"Point;[590746.5306243434],[6136657.089653039]",Bench,38
6,98,105621.35,5522.101354,N,1025.834996,E,4,9,,22.923,M,39.413,M,1.4,0008*76,,Bench,,102,-,-,-,-,-,"Point;[590668.7040393832],[6136714.398325595]",Bench,102
7,111,110414.95,5522.105223,N,1025.827996,E,4,8,,22.755,M,39.413,M,2,0008*7B,,Bench,,116,-,-,-,-,-,"Point;[590661.1627266468],[6136721.422424829]",Bench,116
8,75,104645.45,5522.075684,N,1025.845032,E,4,10,,24.386,M,39.413,M,1.5,0008*76,,Building Corner,Bikeshed,79,-,-,-,-,-,"Point;[590680.2823901025],[6136667.008902654]",Building Corner,79
9,76,104706.4,5522.081096,N,1025.844224,E,4,9,,24.301,M,39.413,M,1.4,0008*73,,Building Corner,Bikeshed,80,-,-,-,-,-,"Point;[590679.2224406443],[6136677.029340919]",Building Corner,80
10,290,134114.2,5522.119043,N,1025.825861,E,4,7,,23.519,M,39.415,M,1.2,0024*7F,,Building Corner,,305,-,-,-,-,-,"Point;[590658.3812957652],[6136747.004609077]",Building Corner,305
11,291,134241.2,5522.105998,N,1025.817044,E,4,6,,23.703,M,39.415,M,1.2,0024*75,,Building Corner,,308,-,-,-,-,-,"Point;[590649.564909114],[6136722.621285043]",Building Corner,308
12,23,102535.45,5522.074308,N,1025.941558,E,4,6,,21.476,M,39.413,M,1.5,0008*78,,Downspout Grille,,25,-,-,1103669907,-,-,"Point;[590782.2904505596],[6136666.553882856]",Downspout Grille,25
13,26,102624.1,5522.073921,N,1025.931817,E,4,7,,21.706,M,39.413,M,1.1,0008*78,,Downspout Grille,,28,-,-,1034152777,-,-,"Point;[590772.0163028146],[6136665.6244944]",Downspout Grille,28
14,27,102643.65,5522.073672,N,1025.92608,E,4,11,,21.766,M,39.413,M,1.6,0008*78,,Downspout Grille,,30,-,-,1103669436,-,-,"Point;[590765.9665052788],[6136665.03917557]",Downspout Grille,30
