,time,latDir,lonDir,fix,nSat,hError,note,typename,date,geometry,label,id
0,110029.95,N,E,4.0,7.0,1.6,,Tree,08/11/2020,"Point;[587918.0134273489],[6137527.3374737855]",Tree,0
1,110318.0,N,E,4.0,7.0,2.0,,Tree,08/11/2020,"Point;[587912.9454554226],[6137521.843082831]",Tree,1
2,111134.75,N,E,5.0,9.0,1.4,,Tree,08/11/2020,"Point;[587903.8571894073],[6137527.367041437]",Tree,3
3,111517.5,N,E,5.0,11.0,1.1,,Tree,08/11/2020,"Point;[587903.9560383793],[6137521.675067035]",Tree,4
4,111626.95,N,E,5.0,11.0,0.9,,Tree,08/11/2020,"Point;[587898.5398944649],[6137523.472912656]",Tree,5
5,111732.7,N,E,5.0,13.0,0.8,,Tree,08/11/2020,"Point;[587889.106435907],[6137523.321682116]",Tree,6
6,111846.2,N,E,5.0,10.0,1.1,,Tree,08/11/2020,"Point;[587889.8270131858],[6137530.6774974475]",Tree,7
7,112029.55,N,E,5.0,11.0,1.5,,Light Fixture,08/11/2020,"Point;[587869.3759871847],[6137522.360885298]",Light Fixture,8
8,112406.95,N,E,4.0,11.0,1.0,,Downspout Grille,08/11/2020,"Point;[587867.2146872686],[6137525.373526667]",Downspout Grille,9
9,112501.9,N,E,4.0,7.0,2.0,,Light Fixture,08/11/2020,"Point;[587844.8748786205],[6137526.02173536]",Light Fixture,10
10,112628.05,N,E,4.0,6.0,2.4,,Downspout Grille,08/11/2020,"Point;[587846.1042721268],[6137527.947538347]",Downspout Grille,11
11,112718.85,N,E,4.0,6.0,4.3,,Manhole Cover,08/11/2020,"Point;[587845.0228445787],[6137530.941620817]",Manhole Cover,12
12,112755.45,N,E,4.0,8.0,1.8,,Downspout Grille,08/11/2020,"Point;[587849.8346855579],[6137534.564019125]",Downspout Grille,13
13,112839.15,N,E,4.0,9.0,1.0,,Downspout Grille,08/11/2020,"Point;[587867.9996943487],[6137532.328760904]",Downspout Grille,14
14,112932.2,N,E,4.0,8.0,1.4,,Manhole Cover,08/11/2020,"Point;[587833.5979329064],[6137533.520454782]",Manhole Cover,15
15,113000.9,N,E,4.0,9.0,1.2,,Downspout Grille,08/11/2020,"Point;[587816.6112316594],[6137538.625725447]",Downspout Grille,16
16,113037.7,N,E,4.0,9.0,1.2,,Downspout Grille,08/11/2020,"Point;[587793.9382972812],[6137543.8817088725]",Downspout Grille,17
17,113055.25,N,E,4.0,8.0,1.9,,Manhole Cover,08/11/2020,"Point;[587789.0148782328],[6137542.902078874]",Manhole Cover,18
18,113132.2,N,E,4.0,10.0,1.1,,Downspout Grille,08/11/2020,"Point;[587780.8118296806],[6137550.171565397]",Downspout Grille,19
19,113242.7,N,E,4.0,6.0,4.4,,Downspout Grille,08/11/2020,"Point;[587780.4180768314],[6137561.772020028]",Downspout Grille,20
20,113315.2,N,E,4.0,9.0,1.2,,Light Fixture,08/11/2020,"Point;[587770.726055463],[6137563.119807279]",Light Fixture,21
21,113354.4,N,E,4.0,9.0,1.2,,Manhole Cover,08/11/2020,"Point;[587774.8738229269],[6137565.075830465]",Manhole Cover,22
22,113419.55,N,E,4.0,7.0,2.6,,Manhole Cover,08/11/2020,"Point;[587774.5938073504],[6137570.961231955]",Manhole Cover,23
23,113526.15,N,E,4.0,9.0,1.0,,Light Fixture,08/11/2020,"Point;[587769.7905004809],[6137587.774930321]",Light Fixture,24
24,113552.85,N,E,4.0,11.0,0.8,,Tree,08/11/2020,"Point;[587771.1513111512],[6137588.3530340195]",Tree,25
25,113619.7,N,E,4.0,11.0,0.8,,Tree,08/11/2020,"Point;[587777.0006762539],[6137591.821228172]",Tree,26
26,113629.65,N,E,4.0,8.0,1.2,,Downspout Grille,08/11/2020,"Point;[587777.8221645487],[6137593.573030429]",Downspout Grille,27
27,113705.1,N,E,4.0,7.0,1.7,,Light Fixture,08/11/2020,"Point;[587798.4089680129],[6137604.930921423]",Light Fixture,28
28,113731.0,N,E,4.0,7.0,1.6,,Downspout Grille,08/11/2020,"Point;[587805.0211097626],[6137610.359070917]",Downspout Grille,29
29,113754.15,N,E,4.0,10.0,0.9,,Tree,08/11/2020,"Point;[587812.5848580358],[6137613.771272661]",Tree,30
30,113820.45,N,E,4.0,9.0,1.0,,Tree,08/11/2020,"Point;[587820.1767972677],[6137619.269044738]",Tree,31
31,113840.75,N,E,4.0,9.0,1.2,,Light Fixture,08/11/2020,"Point;[587824.5700232547],[6137622.26415294]",Light Fixture,32
32,113855.65,N,E,4.0,8.0,1.2,,Downspout Grille,08/11/2020,"Point;[587826.7620571083],[6137625.185381431]",Downspout Grille,33
33,113953.45,N,E,4.0,9.0,1.0,,Light Fixture,08/11/2020,"Point;[587841.339059241],[6137605.601949993]",Light Fixture,34
34,114040.65,N,E,4.0,12.0,0.8,,Bench,08/11/2020,"Point;[587830.8296367384],[6137617.858124897]",Bench,35
35,114124.4,N,E,4.0,7.0,2.4,,Manhole Cover,08/11/2020,"Point;[587846.0276363196],[6137638.99403384]",Manhole Cover,36
36,114152.05,N,E,4.0,9.0,1.1,,Manhole Cover,08/11/2020,"Point;[587847.2372197697],[6137644.58627652]",Manhole Cover,37
37,114205.4,N,E,4.0,8.0,1.8,,Light Fixture,08/11/2020,"Point;[587848.7948201247],[6137648.3308839165]",Light Fixture,38
38,114244.9,N,E,4.0,10.0,0.9,,Downspout Grille,08/11/2020,"Point;[587822.7001451475],[6137631.018859751]",Downspout Grille,39
39,114341.4,N,E,4.0,11.0,0.9,,Tree,08/11/2020,"Point;[587815.2498627821],[6137627.162511167]",Tree,41
40,114422.8,N,E,4.0,10.0,0.9,,Tree,08/11/2020,"Point;[587798.1800415103],[6137615.540583309]",Tree,43
41,114555.9,N,E,4.0,8.0,1.4,,Downspout Grille,08/11/2020,"Point;[587801.0234848064],[6137616.466578612]",Downspout Grille,44
42,114633.1,N,E,4.0,12.0,0.9,,Manhole Cover,08/11/2020,"Point;[587805.8277186459],[6137614.959223126]",Manhole Cover,45
43,114705.1,N,E,4.0,9.0,1.1,,Tree,08/11/2020,"Point;[587783.2534162932],[6137606.010748593]",Tree,46
44,114753.85,N,E,4.0,8.0,1.6,,Downspout Grille,08/11/2020,"Point;[587774.4275039944],[6137600.087740793]",Downspout Grille,47
45,114806.95,N,E,4.0,11.0,1.2,,Tree Stump,08/11/2020,"Point;[587772.1255624102],[6137599.342855336]",Tree Stump,48
46,114824.7,N,E,4.0,10.0,1.2,,Tree,08/11/2020,"Point;[587764.9236118814],[6137595.45702742]",Tree,49
47,114855.1,N,E,4.0,10.0,1.1,,Tree,08/11/2020,"Point;[587754.2279457971],[6137589.269770359]",Tree,50
48,114918.15,N,E,4.0,8.0,1.4,,Manhole Cover,08/11/2020,"Point;[587756.9573644577],[6137583.885050883]",Manhole Cover,51
49,115010.95,N,E,4.0,8.0,1.3,,Downspout Grille,08/11/2020,"Point;[587731.4703737163],[6137576.234761548]",Downspout Grille,52
50,115027.25,N,E,5.0,6.0,1.4,,Tree,08/11/2020,"Point;[587725.1586888368],[6137574.528511345]",Tree,53
51,115055.45,N,E,4.0,7.0,1.4,,Tree,08/11/2020,"Point;[587729.6190199993],[6137566.537726398]",Tree,54
52,115112.8,N,E,4.0,12.0,0.9,,Downspout Grille,08/11/2020,"Point;[587733.944327683],[6137569.766271931]",Downspout Grille,55
53,115139.65,N,E,4.0,11.0,0.8,,Tree Stump,08/11/2020,"Point;[587737.8018458795],[6137570.763601227]",Tree Stump,56
54,115157.95,N,E,4.0,10.0,1.0,,Light Fixture,08/11/2020,"Point;[587742.2625199077],[6137572.539915614]",Light Fixture,57
55,115241.7,N,E,4.0,9.0,1.1,,Downspout Grille,08/11/2020,"Point;[587755.9456659781],[6137580.892720602]",Downspout Grille,58
56,115622.35,N,E,4.0,7.0,1.4,,Light Fixture,08/11/2020,"Point;[587787.0568246394],[6137538.826702639]",Light Fixture,62
57,115735.75,N,E,4.0,10.0,1.0,,Downspout Grille,08/11/2020,"Point;[587805.9481389736],[6137533.313957324]",Downspout Grille,63
58,115756.25,N,E,4.0,9.0,1.2,,Light Fixture,08/11/2020,"Point;[587808.4594373463],[6137529.816226636]",Light Fixture,64
59,115836.55,N,E,4.0,6.0,1.4,,Manhole Cover,08/11/2020,"Point;[587810.5434597762],[6137511.323183641]",Manhole Cover,65
60,115922.5,N,E,4.0,6.0,2.1,,Light Fixture,08/11/2020,"Point;[587806.7338432375],[6137508.618006703]",Light Fixture,66
61,115956.9,N,E,4.0,7.0,1.7,,Downspout Grille,08/11/2020,"Point;[587807.9832279232],[6137497.535518364]",Downspout Grille,67
62,120536.5,N,E,4.0,5.0,6.7,,Downspout Grille,08/11/2020,"Point;[587814.1694695147],[6137496.918396818]",Downspout Grille,69
63,120640.7,N,E,4.0,7.0,1.9,,Downspout Grille,08/11/2020,"Point;[587784.0064862136],[6137475.798707509]",Downspout Grille,70
64,120656.25,N,E,4.0,9.0,1.1,,Manhole Cover,08/11/2020,"Point;[587783.8963313933],[6137472.128572145]",Manhole Cover,71
65,120714.3,N,E,4.0,10.0,1.1,,Downspout Grille,08/11/2020,"Point;[587786.5945985386],[6137470.321024253]",Downspout Grille,72
66,120731.1,N,E,4.0,9.0,1.2,,Light Fixture,08/11/2020,"Point;[587786.7378912689],[6137467.420690419]",Light Fixture,73
67,120815.6,N,E,4.0,10.0,1.1,,Downspout Grille,08/11/2020,"Point;[587762.1284690937],[6137461.922795731]",Downspout Grille,74
68,120847.65,N,E,4.0,7.0,1.9,,Light Fixture,08/11/2020,"Point;[587761.9647807411],[6137451.702732625]",Light Fixture,75
69,120913.3,N,E,4.0,6.0,2.7,,Downspout Grille,08/11/2020,"Point;[587755.422181331],[6137450.2200531]",Downspout Grille,76
70,120948.6,N,E,4.0,7.0,5.7,,Downspout Grille,08/11/2020,"Point;[587751.7125675532],[6137456.02609683]",Downspout Grille,77
71,121107.0,N,E,4.0,8.0,1.5,,Fuse Box,08/11/2020,"Point;[587776.3676443686],[6137460.569728188]",Fuse Box,78
72,121252.75,N,E,4.0,9.0,1.2,,Light Fixture,08/11/2020,"Point;[587807.3689304192],[6137480.566146241]",Light Fixture,80
73,121301.25,N,E,4.0,7.0,1.3,,Fuse Box,08/11/2020,"Point;[587809.1986117507],[6137481.474191116]",Fuse Box,81
74,121345.35,N,E,4.0,7.0,1.6,,Downspout Grille,08/11/2020,"Point;[587820.1774652128],[6137490.544795686]",Downspout Grille,83
