,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua,geometry,label,id
0,576,576,80,104857.15,5522.086187,N,1025.836973,E,4,9,,22.376,M,39.413,M,1.1,0008*7A,,Tree Stump,,84,-,-,1103670638,-,-,"Point;[590671.3696],[6136686.314]",Tree Stump,84
1,575,575,289,133825.75,5522.134974,N,1025.839688,E,5,7,,26.247,M,39.415,M,1.8,0024*73,,Tree,Collection of Trees,304,-,-,-,-,-,"Point;[590672.3786],[6136776.85]",Tree,304
2,574,574,287,133427.65,5522.153094,N,1025.934836,E,4,9,,23.442,M,39.415,M,1.6,0024*74,,Tree,,301,-,-,1202734429,-,-,"Point;[590772.1839],[6136812.522]",Tree,301
3,573,573,286,133403.9,5522.152787,N,1025.930132,E,4,10,,23.444,M,39.415,M,0.9,0024*78,,Tree,,300,-,-,1202734430,-,-,"Point;[590767.2273],[6136811.849]",Tree,300
4,572,572,285,133350.45,5522.152568,N,1025.925366,E,4,9,,23.532,M,39.415,M,1.5,0024*71,,Tree,,299,-,-,1202734425,-,-,"Point;[590762.2019],[6136811.34]",Tree,299
5,571,571,284,133337.5,5522.152427,N,1025.920831,E,4,11,,23.5,M,39.415,M,1.5,0024*71,,Tree,,298,-,-,1202734426,-,-,"Point;[590757.4176],[6136810.98]",Tree,298
6,570,570,283,133318.95,5522.152175,N,1025.915943,E,4,13,,23.476,M,39.415,M,0.9,0024*70,,Tree,,297,-,-,1202734427,-,-,"Point;[590752.2648],[6136810.407]",Tree,297
7,569,569,282,133259.2,5522.152053,N,1025.911363,E,4,10,,23.154,M,39.415,M,1.2,0024*7E,,Tree,,296,-,-,1202734428,-,-,"Point;[590747.4316],[6136810.082]",Tree,296
8,568,568,281,133245.6,5522.15178,N,1025.905739,E,4,10,,22.737,M,39.415,M,1.6,0024*7C,,Tree,Removed,295,-,-,-,-,-,"Point;[590741.5021],[6136809.453]",Tree,295
9,567,567,280,133226.75,5522.151513,N,1025.901003,E,4,9,,23.455,M,39.415,M,1.8,0024*71,,Tree,,294,-,-,1202734421,-,-,"Point;[590736.5102],[6136808.855]",Tree,294
10,566,566,279,133212.9,5522.151343,N,1025.896324,E,4,9,,23.424,M,39.415,M,0.9,0024*7A,,Tree,,293,-,-,1202734422,-,-,"Point;[590731.5743],[6136808.437]",Tree,293
11,565,565,278,133157.25,5522.151132,N,1025.891465,E,4,8,,23.37,M,39.415,M,2.3,0024*77,,Tree,,292,-,-,1202734423,-,-,"Point;[590726.4497],[6136807.941]",Tree,292
12,564,564,277,133145.3,5522.150997,N,1025.88678,E,4,11,,22.995,M,39.415,M,1.3,0024*76,,Tree,Removed,291,-,-,1202734487,-,-,"Point;[590721.5074],[6136807.589]",Tree,291
13,563,563,276,133114.6,5522.150676,N,1025.882129,E,4,8,,23.146,M,39.415,M,1.6,0024*76,,Tree,,290,-,-,1202734424,-,-,"Point;[590716.607],[6136806.892]",Tree,290
14,562,562,275,133103.05,5522.150547,N,1025.877324,E,4,8,,22.783,M,39.415,M,2,0024*7A,,Tree,Removed,289,-,-,1202734486,-,-,"Point;[590711.5363],[6136806.549]",Tree,289
15,561,561,226,130622.25,5522.122208,N,1025.910374,E,4,11,,23.631,M,39.415,M,1.3,0024*74,,Tree,,238,-,-,-,-,-,"Point;[590747.525],[6136754.709]",Tree,238
16,560,560,225,130601.45,5522.122722,N,1025.921809,E,4,11,,23.475,M,39.415,M,1.5,0024*74,,Tree,,237,-,-,-,-,-,"Point;[590759.5837],[6136755.911]",Tree,237
17,559,559,224,130539.8,5522.12318,N,1025.932828,E,4,10,,23.525,M,39.415,M,1.8,0024*7F,,Tree,,236,-,-,-,-,-,"Point;[590771.2048],[6136757.001]",Tree,236
18,558,558,216,130122.75,5522.108384,N,1025.938167,E,4,10,,23.019,M,39.415,M,0.8,0024*79,,Tree,,227,-,-,1034135478,-,-,"Point;[590777.409],[6136729.676]",Tree,227
19,557,557,215,130108.85,5522.108203,N,1025.934292,E,4,7,,22.87,M,39.415,M,1.9,0024*7D,,Tree,,226,-,-,1034135475,-,-,"Point;[590773.3225],[6136729.257]",Tree,226
20,556,556,213,130041.3,5522.107998,N,1025.930736,E,4,7,,22.91,M,39.415,M,1.3,0024*75,,Tree,,223,-,-,1034135476,-,-,"Point;[590769.5742],[6136728.799]",Tree,223
21,555,555,207,125852.05,5522.106813,N,1025.902622,E,4,11,,22.826,M,39.415,M,1,0024*7A,,Tree,,217,-,-,1034135702,-,-,"Point;[590739.9249],[6136725.99]",Tree,217
22,554,554,205,125829.25,5522.106743,N,1025.898813,E,4,7,,22.953,M,39.415,M,1.3,0024*70,,Tree,,215,-,-,1034135703,-,-,"Point;[590735.9046],[6136725.777]",Tree,215
23,553,553,202,125802.05,5522.106545,N,1025.894873,E,4,8,,22.953,M,39.415,M,2,0024*74,,Tree,,212,-,-,1034135470,-,-,"Point;[590731.7504],[6136725.325]",Tree,212
24,552,552,187,125211.85,5522.098145,N,1025.925311,E,4,12,,22.928,M,39.415,M,0.9,0024*7E,,Tree,,197,-,-,1034135473,-,-,"Point;[590764.2198],[6136710.408]",Tree,197
25,551,551,186,125200.8,5522.097956,N,1025.921615,E,4,11,,22.924,M,39.415,M,0.8,0024*76,,Tree,,196,-,-,1034135705,-,-,"Point;[590760.3238],[6136709.978]",Tree,196
26,550,550,185,125148.15,5522.09783,N,1025.917847,E,4,10,,22.918,M,39.415,M,1.1,0024*77,,Tree,,195,-,-,1034135706,-,-,"Point;[590756.3487],[6136709.661]",Tree,195
27,549,549,170,124450.95,5522.086983,N,1025.892171,E,4,8,,23.084,M,39.415,M,2,0024*7D,,Tree,,179,-,-,1034135711,-,-,"Point;[590729.6419],[6136688.989]",Tree,179
28,548,548,169,124429.75,5522.087158,N,1025.896493,E,4,7,,22.771,M,39.415,M,1.8,0024*76,,Tree,,177,-,-,1034135708,-,-,"Point;[590734.2001],[6136689.406]",Tree,177
29,547,547,166,124336.65,5522.087382,N,1025.901152,E,4,8,,22.792,M,39.415,M,0.6,0024*75,,Tree,,174,-,-,1034135709,-,-,"Point;[590739.1133],[6136689.924]",Tree,174
30,546,546,114,110457.1,5522.109506,N,1025.828118,E,4,7,,22.94,M,39.413,M,1.1,0008*7D,,Tree,,119,-,-,1103670864,-,-,"Point;[590661.1288],[6136729.368]",Tree,119
31,545,545,113,110443.5,5522.109064,N,1025.822184,E,4,7,,23.153,M,39.413,M,1.5,0008*7D,,Tree,,118,-,-,1103670765,-,-,"Point;[590654.878],[6136728.419]",Tree,118
32,544,544,112,110427.25,5522.106038,N,1025.824314,E,4,7,,23.174,M,39.413,M,1.3,0008*70,,Tree,,117,-,-,1103670440,-,-,"Point;[590657.2424],[6136722.854]",Tree,117
33,543,543,110,110327.85,5522.102404,N,1025.822703,E,5,6,,23.397,M,39.413,M,0.9,0008*7B,,Tree,,115,-,-,1103670623,-,-,"Point;[590655.6799],[6136716.079]",Tree,115
34,542,542,109,110240.5,5522.10243,N,1025.826736,E,4,8,,23.085,M,39.413,M,1.5,0008*72,,Tree,,114,-,-,1103670421,-,-,"Point;[590659.9383],[6136716.214]",Tree,114
35,541,541,102,105755.1,5522.095814,N,1025.843431,E,5,10,,22.006,M,39.413,M,1.1,0008*7D,,Tree,,106,-,-,1067406484,-,-,"Point;[590677.8243],[6136704.308]",Tree,106
36,540,540,101,105704.2,5522.102905,N,1025.84505,E,4,9,,23.726,M,39.413,M,2.2,0008*77,,Tree,,105,-,-,1103670438,-,-,"Point;[590679.2639],[6136717.493]",Tree,105
