,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,48545,Building (ki),"Polygon;[587646.22, 587638.79, 587638.19, 587636.76, 587635.46, 587634.45, 587633.88, 587633.84, 587634.35, 587635.3, 587636.38, 587641.46, 587642.46, 587663.62, 587666.57, 587666.02, 587657.1, 587658.14, 587656.88, 587657.6, 587658.93, 587660.94, 587663.07, 587661.0, 587658.71, 587653.09, 587646.22],[6139599.94, 6139595.12, 6139596.63, 6139595.62, 6139594.2, 6139592.39, 6139590.3, 6139588.1, 6139586.0, 6139584.16, 6139582.76, 6139579.65, 6139581.29, 6139568.35, 6139573.18, 6139575.03, 6139580.48, 6139581.86, 6139582.81, 6139584.16, 6139584.7, 6139579.76, 6139580.63, 6139585.55, 6139591.27, 6139590.4, 6139599.94]",kortopslag,,,,,
1,TL695099,121806,Building (ki),"Polygon;[587516.74, 587515.48, 587519.71, 587519.26, 587521.67, 587524.16, 587525.29, 587517.03, 587519.33, 587515.05, 587519.59, 587541.19, 587540.94, 587528.75, 587527.82, 587524.87, 587524.52, 587516.74],[6139602.42, 6139601.97, 6139590.19, 6139590.03, 6139583.33, 6139584.22, 6139581.1, 6139578.13, 6139571.74, 6139570.2, 6139559.73, 6139567.48, 6139568.18, 6139598.46, 6139600.22, 6139605.85, 6139606.51, 6139602.42]",kortopslag,,,,,
2,TL695099,85061,Building (ki),"Polygon;[587669.54, 587668.05, 587661.13, 587673.04, 587676.82, 587677.64, 587679.04, 587678.24, 587682.79, 587683.08, 587685.74, 587683.36, 587680.4, 587669.54],[6139617.05, 6139616.08, 6139611.4, 6139589.86, 6139592.46, 6139591.27, 6139592.23, 6139593.38, 6139596.52, 6139595.96, 6139597.36, 6139601.87, 6139600.31, 6139617.05]",kortopslag,,,,,
3,TL695099,32028,Building (ki),"Polygon;[587598.56, 587604.53, 587596.8, 587590.71, 587593.43, 587596.05, 587598.56],[6139672.12, 6139675.65, 6139689.14, 6139685.7, 6139680.92, 6139676.37, 6139672.12]",kortopslag,,,,,
4,TL695099,116073,Building (ki),"Polygon;[587585.89, 587593.67, 587593.83, 587608.12, 587608.75, 587609.05, 587608.99, 587598.3, 587585.89],[6139607.68, 6139586.48, 6139586.12, 6139592.68, 6139593.55, 6139594.61, 6139595.68, 6139614.15, 6139607.68]",kortopslag,,,,,
5,TL695099,33096,Building (ki),"Polygon;[587706.01, 587713.87, 587725.42, 587726.23, 587726.9, 587727.42, 587727.74, 587727.81, 587722.65, 587713.7, 587716.74, 587715.77, 587713.95, 587709.29, 587707.9, 587706.01],[6139555.21, 6139553.9, 6139555.66, 6139555.98, 6139556.51, 6139557.2, 6139557.99, 6139559.0, 6139578.39, 6139575.82, 6139565.22, 6139563.69, 6139563.23, 6139564.05, 6139563.0, 6139555.21]",kortopslag,,,,,
6,TL695099,39451,Building (ki),"Polygon;[587615.64, 587617.77, 587610.68, 587608.29, 587600.52, 587600.21, 587604.78, 587622.94, 587618.58, 587615.64],[6139641.1, 6139637.33, 6139633.32, 6139636.93, 6139632.56, 6139632.38, 6139624.65, 6139633.64, 6139642.66, 6139641.1]",kortopslag,,,,,
7,TL695099,17725,Building (ki),"Polygon;[587592.1, 587590.09, 587587.93, 587589.94, 587592.1],[6139709.86, 6139713.39, 6139712.15, 6139708.62, 6139709.86]",kortopslag,,,,,
8,TL695099,41105,Building (ki),"Polygon;[587510.94, 587510.53, 587509.72, 587506.59, 587493.59, 587497.68, 587498.19, 587505.17, 587507.42, 587506.31, 587513.02, 587517.94, 587515.75, 587513.96, 587514.96, 587513.33, 587510.94],[6139529.86, 6139530.77, 6139532.6, 6139539.96, 6139534.62, 6139524.95, 6139524.44, 6139527.3, 6139523.68, 6139522.99, 6139510.58, 6139513.24, 6139517.29, 6139520.06, 6139520.79, 6139524.46, 6139529.86]",kortopslag,,,,,
9,TL695099,63212,Building (ki),"Polygon;[587706.87, 587705.61, 587708.28, 587715.08, 587712.66, 587706.87],[6139609.87, 6139609.41, 6139602.14, 6139604.64, 6139611.22, 6139609.87]",kortopslag,,,,,
