,id,label,geometry,service,super_category,category,sub_category,note,date
0,5113,Park Trees (ki),"Point;[587614.805707],[6139266.275927]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:16:27.047Z
1,5132,Park Trees (ki),"Point;[587619.026992],[6139261.652685]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:18:07.780Z
2,5138,Park Trees (ki),"Point;[587618.2],[6139250.95225]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
3,11894,Park Trees (ki),"Point;[587627.6856],[6139258.265]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:19:08.990Z
4,8335,Park Trees (ki),"Point;[587557.4596],[6139240.172]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
5,11876,Park Trees (ki),"Point;[587603.537183],[6139259.797175]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:15:21.263Z
6,11898,Park Trees (ki),"Point;[587633.7256],[6139254.04375]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
7,18031,Park Trees (ki),"Point;[587602.837753],[6139266.336593]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:19:27.350Z
8,18041,Park Trees (ki),"Point;[587637.5404],[6139275.71525]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:20:59.730Z
9,19473,Park Trees (ki),"Point;[587634.542],[6139273.54075]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:20:59.617Z
10,19484,Park Trees (ki),"Point;[587550.4012],[6139219.104]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:55:33.300Z
11,19495,Park Trees (ki),"Point;[587637.6212],[6139249.3345]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
12,19498,Park Trees (ki),"Point;[587621.7728],[6139252.9155]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
13,19499,Park Trees (ki),"Point;[587590.4492],[6139279.56625]",kortopslag,TRÆER,Stynede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
14,19504,Park Trees (ki),"Point;[587612.0264],[6139284.225]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
15,22566,Park Trees (ki),"Point;[587604.6496],[6139253.6885]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-09-14T08:14:47.640Z
16,25507,Park Trees (ki),"Point;[587587.8248],[6139293.6515]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
17,26739,Park Trees (ki),"Point;[587603.012],[6139234.06375]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
18,26750,Park Trees (ki),"Point;[587558.7016],[6139231.50175]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
19,32700,Park Trees (ki),"Point;[587595.8092],[6139223.45675]",kortopslag,TRÆER,Fuldkronede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
20,32707,Park Trees (ki),"Point;[587603.71],[6139237.19475]",kortopslag,TRÆER,Stynede træer,Diverse punkter,Ikke vejtræ,2020-03-10T10:53:06.710Z
21,2668,Park Points (ki),"Point;[587541.3968],[6139273.69375]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
22,2675,Park Points (ki),"Point;[587552.3148],[6139228.0475]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
23,2686,Park Points (ki),"Point;[587626.4308],[6139264.02875]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
24,4673,Park Points (ki),"Point;[587557.9244],[6139251.86975]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
25,5533,Park Points (ki),"Point;[587609.3204],[6139239.48575]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
26,7151,Park Points (ki),"Point;[587552.1592],[6139229.4915]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
27,7158,Park Points (ki),"Point;[587629.9432],[6139262.6515]",kortopslag,UDSTYR,Terrænudstyr,Bænk,,2020-01-10T11:17:50.237Z
28,8602,Park Points (ki),"Point;[587594.6308],[6139219.6895]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
29,10209,Park Points (ki),"Point;[587542.4936],[6139272.71375]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
30,10212,Park Points (ki),"Point;[587577.682],[6139293.89525]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
31,11602,Park Points (ki),"Point;[587628.2852],[6139263.175]",kortopslag,UDSTYR,Terrænudstyr,Bænk,,2020-01-10T11:17:50.237Z
32,11755,Park Points (ki),"Point;[587577.96],[6139292.67625]",kortopslag,UDSTYR,Terrænudstyr,Affaldsspand,,2020-01-10T11:17:50.237Z
