,typename,id,label,geometry,service
0,TL695099,25951,Building (ki),"Polygon;[590698.24, 590668.29, 590672.27, 590672.56, 590672.64, 590659.03, 590651.38, 590651.73, 590652.73, 590652.79, 590672.82, 590673.24, 590672.84, 590676.84, 590706.59, 590702.26, 590727.25, 590726.88, 590701.77, 590701.64, 590702.24, 590698.24],[6136644.53, 6136641.47, 6136602.54, 6136602.57, 6136601.75, 6136600.81, 6136600.06, 6136596.48, 6136596.58, 6136595.99, 6136598.04, 6136594.0, 6136593.96, 6136554.82, 6136557.86, 6136600.23, 6136602.78, 6136606.65, 6136604.08, 6136605.35, 6136605.41, 6136644.53]",kortopslag
1,TL695099,91691,Building (ki),"Polygon;[590669.07, 590673.62, 590672.76, 590668.21, 590669.07],[6136676.11, 6136676.63, 6136684.13, 6136683.61, 6136676.11]",kortopslag
2,TL695099,17837,Building (ki),"Polygon;[590733.56, 590799.49, 590789.09, 590723.17, 590726.88, 590727.25, 590733.56],[6136536.17, 6136542.42, 6136652.04, 6136645.79, 6136606.65, 6136602.78, 6136536.17]",kortopslag
3,TL695099,18564,Building (ki),"Polygon;[590678.69, 590676.28, 590676.51, 590678.91, 590678.69],[6136692.48, 6136692.28, 6136689.57, 6136689.77, 6136692.48]",kortopslag
4,TL695099,87048,Building (ki),"Polygon;[590679.22, 590674.73, 590675.66, 590680.16, 590679.22],[6136676.06, 6136675.59, 6136666.58, 6136667.05, 6136676.06]",kortopslag
5,TL695099,28337,Building (ki),"Polygon;[590687.08, 590683.75, 590685.14, 590688.47, 590687.08],[6136870.46, 6136870.14, 6136855.63, 6136855.95, 6136870.46]",kortopslag
6,TL695099,103010,Building (ki),"Polygon;[590674.68, 590679.17, 590678.4, 590673.91, 590674.68],[6136676.64, 6136677.1, 6136684.72, 6136684.27, 6136676.64]",kortopslag
7,TL695099,46903,Building (ki),"Polygon;[590674.53, 590673.72, 590669.1, 590669.9, 590674.53],[6136666.41, 6136675.44, 6136675.02, 6136666.0, 6136666.41]",kortopslag
8,TL695099,135834,Building (ki),"Polygon;[590624.32, 590625.73, 590632.98, 590633.26, 590646.71, 590646.44, 590653.69, 590652.6, 590650.57, 590650.49, 590652.7, 590652.46, 590650.06, 590649.84, 590652.45, 590651.35, 590650.83, 590650.23, 590650.81, 590649.58, 590621.19, 590624.09, 590624.32],[6136688.22, 6136674.28, 6136675.02, 6136672.22, 6136673.58, 6136676.25, 6136676.98, 6136687.81, 6136687.61, 6136688.38, 6136688.6, 6136690.96, 6136690.72, 6136692.83, 6136693.1, 6136704.02, 6136703.97, 6136709.9, 6136709.96, 6136722.11, 6136719.24, 6136690.57, 6136688.22]",kortopslag
9,TL695099,5258,Building (ki),"Polygon;[590858.52, 590855.58, 590850.7, 590853.73, 590858.52],[6136684.52, 6136691.15, 6136688.93, 6136682.3, 6136684.52]",kortopslag
10,TL695099,91163,Building (ki),"Polygon;[590591.57, 590613.11, 590615.9, 590643.55, 590644.04, 590646.5, 590646.01, 590647.33, 590647.26, 590648.11, 590648.69, 590658.12, 590656.73, 590647.23, 590647.28, 590646.6, 590639.75, 590629.69, 590632.83, 590621.37, 590620.13, 590610.3, 590612.58, 590590.97, 590591.57],[6136774.97, 6136777.06, 6136748.41, 6136751.1, 6136746.07, 6136746.31, 6136751.35, 6136751.47, 6136752.13, 6136752.21, 6136746.25, 6136747.16, 6136761.44, 6136760.51, 6136760.06, 6136760.0, 6136830.27, 6136829.29, 6136796.98, 6136795.86, 6136808.57, 6136807.61, 6136784.18, 6136782.07, 6136774.97]",kortopslag
11,TL695099,28338,Building (ki),"Polygon;[590695.14, 590691.92, 590693.29, 590696.51, 590695.14],[6136787.01, 6136786.71, 6136772.3, 6136772.6, 6136787.01]",kortopslag
