,typename,id,label,geometry,service,super_category,category,sub_category,note,date
0,TL695099,142267,Building (ki),"Polygon;[587864.77, 587866.41, 587868.82, 587861.09, 587859.47, 587855.9, 587855.1, 587857.15, 587855.97, 587863.6, 587864.77],[6137547.31, 6137547.1, 6137566.28, 6137567.25, 6137554.38, 6137554.83, 6137548.52, 6137548.27, 6137538.89, 6137537.93, 6137547.31]",kortopslag,,,,,
1,TL695099,5170,Building (ki),"Polygon;[587866.39, 587869.52, 587870.68, 587867.55, 587866.39],[6137395.02, 6137393.76, 6137396.68, 6137397.94, 6137395.02]",kortopslag,,,,,
2,TL695099,136176,Building (ki),"Polygon;[587771.39, 587773.47, 587769.63, 587768.0, 587768.25, 587768.62, 587771.39],[6137494.24, 6137495.56, 6137499.8, 6137498.76, 6137498.37, 6137498.61, 6137494.24]",kortopslag,,,,,
3,TL695099,131971,Building (ki),"Polygon;[587856.13, 587856.5, 587850.64, 587850.28, 587856.13],[6137611.38, 6137614.42, 6137615.12, 6137612.08, 6137611.38]",kortopslag,,,,,
4,TL695099,50875,Building (ki),"Polygon;[587802.35, 587804.81, 587805.56, 587803.1, 587802.35],[6137502.48, 6137502.17, 6137508.2, 6137508.51, 6137502.48]",kortopslag,,,,,
5,TL695099,112901,Building (ki),"Polygon;[587936.19, 587934.48, 587941.87, 587943.59, 587942.64, 587936.19],[6137508.98, 6137496.05, 6137495.07, 6137508.0, 6137508.13, 6137508.98]",kortopslag,,,,,
6,TL695099,139745,Building (ki),"Polygon;[587752.69, 587745.98, 587749.19, 587747.98, 587751.06, 587751.99, 587759.77, 587766.77, 587752.69],[6137496.26, 6137491.94, 6137486.94, 6137486.16, 6137481.37, 6137481.97, 6137469.86, 6137474.36, 6137496.26]",kortopslag,,,,,
7,TL695099,33279,Building (ki),"Polygon;[587812.04, 587811.85, 587804.19, 587809.23, 587816.91, 587815.45, 587812.04],[6137604.35, 6137604.64, 6137599.57, 6137591.96, 6137596.85, 6137599.06, 6137604.35]",kortopslag,,,,,
8,TL695099,36422,Building (ki),"Polygon;[587797.75, 587799.48, 587795.2, 587793.4, 587797.75],[6137459.89, 6137461.0, 6137467.71, 6137466.56, 6137459.89]",kortopslag,,,,,
9,TL695099,135380,Building (ki),"Polygon;[587953.61, 587953.88, 587947.73, 587947.31, 587951.97, 587952.12, 587953.61],[6137590.32, 6137592.68, 6137593.39, 6137589.74, 6137589.2, 6137590.49, 6137590.32]",kortopslag,,,,,
10,TL695099,103389,Building (ki),"Polygon;[587734.7, 587732.02, 587737.05, 587744.67, 587741.81, 587736.87, 587734.7],[6137552.65, 6137551.33, 6137541.04, 6137544.76, 6137550.62, 6137548.21, 6137552.65]",kortopslag,,,,,
11,TL695099,140455,Building (ki),"Polygon;[587836.98, 587836.13, 587839.06, 587839.92, 587836.98],[6137602.22, 6137596.57, 6137596.14, 6137601.77, 6137602.22]",kortopslag,,,,,
12,TL695099,101182,Building (ki),"Polygon;[587800.07, 587806.48, 587806.54, 587810.02, 587811.14, 587801.24, 587800.07],[6137405.92, 6137405.12, 6137405.6, 6137405.16, 6137414.12, 6137415.35, 6137405.92]",kortopslag,,,,,
13,TL695099,83819,Building (ki),"Polygon;[587841.53, 587840.5, 587850.59, 587850.89, 587856.31, 587856.1, 587860.46, 587861.22, 587857.37, 587857.68, 587850.42, 587841.68, 587841.53],[6137422.32, 6137413.63, 6137412.44, 6137414.98, 6137414.36, 6137412.57, 6137412.04, 6137418.6, 6137419.05, 6137421.63, 6137422.49, 6137423.57, 6137422.32]",kortopslag,,,,,
14,TL695099,83942,Building (ki),"Polygon;[587854.89, 587857.89, 587858.35, 587852.77, 587852.38, 587854.94, 587854.89],[6137498.28, 6137497.93, 6137501.91, 6137502.55, 6137499.1, 6137498.8, 6137498.28]",kortopslag,,,,,
15,TL695099,107156,Building (ki),"Polygon;[587814.19, 587822.71, 587822.98, 587825.86, 587826.76, 587823.89, 587823.93, 587815.41, 587814.19],[6137545.78, 6137544.68, 6137546.71, 6137546.34, 6137553.02, 6137553.4, 6137553.78, 6137554.87, 6137545.78]",kortopslag,,,,,
16,TL695099,62353,Building (ki),"Polygon;[587835.54, 587835.65, 587836.13, 587836.98, 587837.1, 587826.7, 587826.59, 587823.79, 587823.72, 587823.01, 587822.44, 587822.43, 587822.52, 587822.88, 587822.82, 587825.99, 587825.31, 587829.81, 587829.33, 587835.18, 587835.54],[6137592.59, 6137593.35, 6137596.57, 6137602.22, 6137602.97, 6137604.55, 6137603.83, 6137604.26, 6137603.74, 6137603.29, 6137602.64, 6137601.73, 6137601.13, 6137600.34, 6137599.9, 6137599.42, 6137594.94, 6137594.25, 6137591.11, 6137590.22, 6137592.59]",kortopslag,,,,,
17,TL695099,12252,Building (ki),"Polygon;[587944.35, 587944.68, 587939.85, 587939.53, 587944.35],[6137556.94, 6137559.38, 6137560.02, 6137557.55, 6137556.94]",kortopslag,,,,,
18,TL695099,145181,Building (ki),"Polygon;[587826.85, 587830.52, 587831.18, 587827.51, 587826.85],[6137551.19, 6137550.78, 6137556.65, 6137557.06, 6137551.19]",kortopslag,,,,,
19,TL695099,42891,Building (ki),"Polygon;[587876.22, 587872.71, 587872.44, 587875.15, 587874.92, 587881.21, 587881.7, 587880.0, 587876.22],[6137638.74, 6137639.17, 6137636.96, 6137636.63, 6137634.8, 6137634.03, 6137638.04, 6137638.25, 6137638.74]",kortopslag,,,,,
20,TL695099,133628,Building (ki),"Polygon;[587913.05, 587913.81, 587912.03, 587911.28, 587913.05],[6137510.2, 6137516.15, 6137516.38, 6137510.42, 6137510.2]",kortopslag,,,,,
21,TL695099,62728,Building (ki),"Polygon;[587892.17, 587892.61, 587892.13, 587892.39, 587902.94, 587904.02, 587884.83, 587882.95, 587883.62, 587892.06, 587892.17],[6137390.44, 6137394.02, 6137394.08, 6137396.18, 6137394.89, 6137403.72, 6137406.07, 6137390.68, 6137390.6, 6137389.53, 6137390.44]",kortopslag,,,,,
22,TL695099,22485,Building (ki),"Polygon;[587873.71, 587871.58, 587871.45, 587873.38, 587873.58, 587873.71],[6137410.44, 6137410.54, 6137407.63, 6137407.54, 6137407.53, 6137410.44]",kortopslag,,,,,
23,TL695099,19096,Building (ki),"Polygon;[587876.66, 587873.23, 587872.9, 587876.33, 587876.66],[6137444.67, 6137445.07, 6137442.32, 6137441.91, 6137444.67]",kortopslag,,,,,
24,TL695099,4002,Building (ki),"Polygon;[587849.99, 587849.39, 587854.7, 587855.29, 587850.39, 587849.99],[6137545.11, 6137539.69, 6137539.11, 6137544.52, 6137545.06, 6137545.11]",kortopslag,,,,,
25,TL695099,144872,Building (ki),"Polygon;[587722.34, 587722.58, 587731.36, 587727.44, 587718.8, 587719.42, 587722.34],[6137542.36, 6137541.81, 6137545.56, 6137554.52, 6137550.74, 6137549.31, 6137542.36]",kortopslag,,,,,
26,TL695099,139433,Building (ki),"Polygon;[587740.28, 587731.42, 587726.39, 587729.58, 587726.23, 587726.38, 587725.14, 587726.92, 587728.5, 587732.09, 587739.72, 587740.42, 587740.28],[6137461.95, 6137478.3, 6137475.58, 6137469.68, 6137467.87, 6137467.59, 6137466.9, 6137462.94, 6137463.81, 6137457.17, 6137461.31, 6137461.7, 6137461.95]",kortopslag,,,,,
27,TL695099,68619,Building (ki),"Polygon;[587775.39, 587775.56, 587777.08, 587778.81, 587779.03, 587782.98, 587781.97, 587783.36, 587779.57, 587770.69, 587772.4, 587775.39],[6137613.52, 6137613.23, 6137612.96, 6137614.01, 6137615.38, 6137617.77, 6137619.43, 6137620.28, 6137626.54, 6137621.15, 6137618.32, 6137613.52]",kortopslag,,,,,
28,TL695099,13362,Building (ki),"Polygon;[587935.89, 587932.53, 587932.21, 587935.57, 587935.89],[6137489.4, 6137489.72, 6137486.37, 6137486.05, 6137489.4]",kortopslag,,,,,
29,TL695099,67388,Building (ki),"Polygon;[587769.84, 587775.87, 587778.37, 587777.3, 587781.35, 587776.39, 587769.84],[6137537.7, 6137530.38, 6137532.44, 6137533.75, 6137537.09, 6137543.1, 6137537.7]",kortopslag,,,,,
30,TL695099,29249,Building (ki),"Polygon;[587747.94, 587746.09, 587747.55, 587749.39, 587747.94],[6137501.23, 6137500.15, 6137497.66, 6137498.74, 6137501.23]",kortopslag,,,,,
31,TL695099,74527,Building (ki),"Polygon;[587950.28, 587950.44, 587941.77, 587941.47, 587944.96, 587950.13, 587950.28],[6137571.99, 6137573.35, 6137574.37, 6137571.74, 6137571.33, 6137570.72, 6137571.99]",kortopslag,,,,,
32,TL695099,55907,Building (ki),"Polygon;[587815.45, 587817.91, 587817.33, 587818.55, 587817.23, 587817.87, 587816.43, 587814.67, 587814.54, 587812.04, 587815.45],[6137599.06, 6137600.69, 6137601.58, 6137602.39, 6137604.38, 6137604.8, 6137606.98, 6137605.81, 6137606.0, 6137604.35, 6137599.06]",kortopslag,,,,,
33,TL695099,133319,Building (ki),"Polygon;[587863.61, 587863.28, 587862.75, 587862.14, 587861.02, 587860.87, 587861.87, 587861.76, 587865.06, 587864.85, 587871.14, 587871.36, 587872.18, 587872.63, 587876.36, 587876.96, 587873.03, 587873.08, 587869.56, 587869.9, 587863.61],[6137657.31, 6137654.4, 6137654.46, 6137649.22, 6137648.45, 6137646.26, 6137645.79, 6137644.85, 6137644.46, 6137642.68, 6137641.95, 6137643.78, 6137643.68, 6137647.55, 6137647.11, 6137652.32, 6137652.78, 6137653.18, 6137653.59, 6137656.58, 6137657.31]",kortopslag,,,,,
34,TL695099,59794,Building (ki),"Polygon;[587806.62, 587806.81, 587807.81, 587808.36, 587809.97, 587810.76, 587802.1, 587797.53, 587797.34, 587796.71, 587799.91, 587799.4, 587802.68, 587802.62, 587803.54, 587803.37, 587806.62],[6137385.28, 6137386.83, 6137386.71, 6137391.17, 6137390.97, 6137397.29, 6137398.37, 6137398.96, 6137397.5, 6137392.47, 6137392.07, 6137387.96, 6137387.55, 6137387.12, 6137387.0, 6137385.65, 6137385.28]",kortopslag,,,,,
35,TL695099,92472,Building (ki),"Polygon;[587915.26, 587928.48, 587929.74, 587916.52, 587915.26],[6137479.31, 6137477.67, 6137487.87, 6137489.51, 6137479.31]",kortopslag,,,,,
36,TL695099,41947,Building (ki),"Polygon;[587896.98, 587904.38, 587904.84, 587897.44, 587896.98],[6137444.93, 6137444.0, 6137447.67, 6137448.6, 6137444.93]",kortopslag,,,,,
37,TL695099,99883,Building (ki),"Polygon;[587803.71, 587810.18, 587810.58, 587804.11, 587803.71],[6137400.53, 6137399.74, 6137403.08, 6137403.87, 6137400.53]",kortopslag,,,,,
38,TL695099,133774,Building (ki),"Polygon;[587847.87, 587847.36, 587855.41, 587855.99, 587849.65, 587849.55, 587847.87],[6137458.0, 6137454.73, 6137453.65, 6137457.38, 6137458.36, 6137457.74, 6137458.0]",kortopslag,,,,,
39,TL695099,23261,Building (ki),"Polygon;[587794.13, 587793.52, 587794.87, 587796.83, 587797.44, 587796.09, 587794.13],[6137573.53, 6137571.62, 6137570.14, 6137570.57, 6137572.48, 6137573.96, 6137573.53]",kortopslag,,,,,
40,TL695099,104268,Building (ki),"Polygon;[587852.38, 587842.15, 587841.58, 587844.71, 587844.19, 587846.94, 587846.8, 587849.57, 587849.72, 587853.87, 587854.22, 587855.32, 587855.67, 587854.58, 587854.89, 587854.94, 587852.38],[6137499.1, 6137500.28, 6137495.38, 6137495.02, 6137490.56, 6137490.24, 6137488.97, 6137488.65, 6137489.92, 6137489.44, 6137492.4, 6137492.28, 6137495.39, 6137495.51, 6137498.28, 6137498.8, 6137499.1]",kortopslag,,,,,
41,TL695099,99350,Building (ki),"Polygon;[587784.82, 587783.09, 587780.28, 587786.84, 587789.86, 587784.82],[6137629.46, 6137632.06, 6137630.26, 6137620.02, 6137621.96, 6137629.46]",kortopslag,,,,,
42,TL695099,93177,Building (ki),"Polygon;[587805.65, 587807.72, 587807.31, 587816.4, 587816.83, 587817.25, 587819.18, 587816.53, 587816.85, 587808.71, 587808.39, 587807.58, 587805.65],[6137438.75, 6137438.48, 6137435.29, 6137434.14, 6137437.29, 6137437.23, 6137452.31, 6137452.65, 6137455.19, 6137456.23, 6137453.7, 6137453.8, 6137438.75]",kortopslag,,,,,
43,TL695099,133065,Building (ki),"Polygon;[587741.81, 587745.13, 587740.86, 587732.6, 587734.7, 587736.87, 587741.81],[6137550.62, 6137552.24, 6137560.98, 6137556.94, 6137552.65, 6137548.21, 6137550.62]",kortopslag,,,,,
44,TL695099,125379,Building (ki),"Polygon;[587768.51, 587771.12, 587766.28, 587757.76, 587762.6, 587764.12, 587768.51],[6137548.62, 6137550.2, 6137558.21, 6137553.07, 6137545.06, 6137545.98, 6137548.62]",kortopslag,,,,,
45,TL695099,129181,Building (ki),"Polygon;[587739.72, 587742.55, 587745.23, 587742.26, 587740.28, 587740.42, 587739.72],[6137461.31, 6137456.29, 6137457.79, 6137463.06, 6137461.95, 6137461.7, 6137461.31]",kortopslag,,,,,
46,TL695099,132919,Building (ki),"Polygon;[587837.44, 587826.77, 587826.36, 587837.01, 587837.44],[6137397.21, 6137398.38, 6137395.04, 6137393.65, 6137397.21]",kortopslag,,,,,
