,PointNo,Elevation,Date,CLASS,typename,geometry,label,id
0,8390588,0.9568989999999999,05-10-2018/05:43:30.0,MEAS,Tree_ts,"Point;[587685.5297],[6139255.445]",Tree_ts,0
1,8390589,1.283447,05-10-2018/05:46:24.0,MEAS,Tree_ts,"Point;[587695.2526],[6139246.47]",Tree_ts,1
2,8390590,1.712292,05-10-2018/05:49:45.0,MEAS,Tree_ts,"Point;[587678.672],[6139237.572000001]",Tree_ts,2
3,8390591,1.712457,05-10-2018/05:50:24.0,MEAS,Tree_ts,"Point;[587678.6672],[6139237.574]",Tree_ts,3
4,8390592,1.868054,05-10-2018/05:53:49.0,MEAS,Light Fixture_ts,"Point;[587667.6695],[6139229.953]",Light Fixture_ts,4
5,8390593,1.845307,05-10-2018/05:55:15.0,MEAS,Trash Can_ts,"Point;[587667.0695],[6139230.21]",Trash Can_ts,5
6,8390594,1.904091,05-10-2018/05:56:29.0,MEAS,Light Fixture_ts,"Point;[587647.7988],[6139233.698]",Light Fixture_ts,6
7,8390595,1.973012,05-10-2018/05:57:16.0,MEAS,Light Fixture_ts,"Point;[587627.8413],[6139237.384]",Light Fixture_ts,7
8,8390596,2.0148639999999998,05-10-2018/05:58:07.0,MEAS,Trash Can_ts,"Point;[587609.5422],[6139240.655]",Trash Can_ts,8
9,8390597,1.977673,05-10-2018/05:58:56.0,MEAS,Light Fixture_ts,"Point;[587608.1814],[6139240.901000001]",Light Fixture_ts,9
10,8390598,2.118996,05-10-2018/06:00:18.0,MEAS,Light Fixture_ts,"Point;[587586.3782],[6139244.839]",Light Fixture_ts,10
11,8390599,1.710087,05-10-2018/06:05:15.0,MEAS,Tree_ts,"Point;[587668.1442],[6139227.887999999]",Tree_ts,11
12,8390600,1.3416370000000002,05-10-2018/06:06:07.0,MEAS,Tree_ts,"Point;[587667.1889],[6139218.775]",Tree_ts,12
13,8390601,1.311852,05-10-2018/06:06:45.0,MEAS,Tree_ts,"Point;[587667.4452],[6139211.199]",Tree_ts,13
14,8390602,1.450542,05-10-2018/06:08:13.0,MEAS,Tree_ts,"Point;[587673.9552],[6139205.528]",Tree_ts,14
15,8390603,1.3436219999999999,05-10-2018/06:08:49.0,MEAS,Tree_ts,"Point;[587667.4623],[6139205.272999999]",Tree_ts,15
16,8390604,1.209924,05-10-2018/06:09:44.0,MEAS,Tree_ts,"Point;[587665.1765],[6139203.788]",Tree_ts,16
17,8390605,1.560217,05-10-2018/06:10:34.0,MEAS,Tree_ts,"Point;[587673.4943],[6139201.762999999]",Tree_ts,17
