,PointID,Elevation,Date,CLASS,typename,area,note,geometry,label,id
0,3,0.9569,unknown,MEAS,Tree_ts,park,,"Point;[587685.5297],[6139255.445]",Tree_ts,0
1,4,1.2834,unknown,MEAS,Tree_ts,park,,"Point;[587695.2526],[6139246.47]",Tree_ts,1
2,5,1.7123,unknown,MEAS,Tree_ts,park,,"Point;[587678.672],[6139237.572000001]",Tree_ts,2
3,6,1.7125,unknown,MEAS,Tree_ts,park,,"Point;[587678.6672],[6139237.574]",Tree_ts,3
4,7,1.8681,unknown,MEAS,Light Fixture_ts,park,,"Point;[587667.6695],[6139229.953]",Light Fixture_ts,4
5,8,1.8453,unknown,MEAS,Trash Can_ts,park,,"Point;[587667.0695],[6139230.21]",Trash Can_ts,5
6,9,1.9041,unknown,MEAS,Light Fixture_ts,park,,"Point;[587647.7988],[6139233.698]",Light Fixture_ts,6
7,10,1.973,unknown,MEAS,Light Fixture_ts,park,,"Point;[587627.8413],[6139237.384]",Light Fixture_ts,7
8,11,2.0149,unknown,MEAS,Trash Can_ts,park,,"Point;[587609.5422],[6139240.655]",Trash Can_ts,8
9,12,1.9777,unknown,MEAS,Light Fixture_ts,park,,"Point;[587608.1814],[6139240.901000001]",Light Fixture_ts,9
10,13,2.119,unknown,MEAS,Light Fixture_ts,park,,"Point;[587586.3782],[6139244.839]",Light Fixture_ts,10
11,14,1.7101,unknown,MEAS,Tree_ts,park,,"Point;[587668.1442],[6139227.887999999]",Tree_ts,11
12,15,1.3416,unknown,MEAS,Tree_ts,park,,"Point;[587667.1889],[6139218.775]",Tree_ts,12
13,16,1.3119,unknown,MEAS,Tree_ts,park,,"Point;[587667.4452],[6139211.199]",Tree_ts,13
14,17,1.4505,unknown,MEAS,Tree_ts,park,,"Point;[587673.9552],[6139205.528]",Tree_ts,14
15,18,1.3436,unknown,MEAS,Tree_ts,park,,"Point;[587667.4623],[6139205.272999999]",Tree_ts,15
16,19,1.2099,unknown,MEAS,Tree_ts,park,,"Point;[587665.1765],[6139203.788]",Tree_ts,16
17,20,1.5602,unknown,MEAS,Tree_ts,park,,"Point;[587673.4943],[6139201.762999999]",Tree_ts,17
18,21,1.4204,unknown,MEAS,Tree_ts,park,,"Point;[587672.202],[6139197.857000001]",Tree_ts,18
19,22,0.7196,unknown,MEAS,Tree_ts,park,,"Point;[587659.0073],[6139203.166]",Tree_ts,19
20,23,0.7195,unknown,MEAS,Tree_ts,park,,"Point;[587659.0376],[6139203.137999999]",Tree_ts,20
21,24,0.8943,unknown,MEAS,Tree_ts,park,,"Point;[587656.1417],[6139199.504]",Tree_ts,21
22,25,0.5569,unknown,MEAS,Tree_ts,park,,"Point;[587651.5974],[6139197.286]",Tree_ts,22
23,26,0.9124,unknown,MEAS,Tree_ts,park,,"Point;[587656.0453],[6139193.781]",Tree_ts,23
24,27,0.6228,unknown,MEAS,Tree_ts,park,,"Point;[587652.5706],[6139188.855]",Tree_ts,24
25,28,1.0305,unknown,MEAS,Tree_ts,park,,"Point;[587656.1474],[6139185.194]",Tree_ts,25
26,29,1.1873,unknown,MEAS,Tree_ts,park,,"Point;[587653.0662],[6139175.711]",Tree_ts,26
27,30,1.4925,unknown,MEAS,Tree_ts,park,,"Point;[587661.366],[6139170.964]",Tree_ts,27
28,31,0.6719,unknown,MEAS,Tree_ts,park,,"Point;[587655.1779],[6139214.716]",Tree_ts,28
29,32,0.5749,unknown,MEAS,Tree_ts,park,,"Point;[587648.248],[6139197.686000001]",Tree_ts,29
30,33,0.5501,unknown,MEAS,Tree_ts,park,,"Point;[587646.5424],[6139204.341]",Tree_ts,30
31,34,0.4829,unknown,MEAS,Tree_ts,park,,"Point;[587644.1543],[6139207.498]",Tree_ts,31
32,35,0.4143,unknown,MEAS,Tree_ts,park,,"Point;[587642.3666],[6139210.663]",Tree_ts,32
33,36,0.5284,unknown,MEAS,Tree_ts,park,,"Point;[587642.4925],[6139213.631]",Tree_ts,33
34,37,0.365,unknown,MEAS,Tree_ts,park,,"Point;[587647.5753],[6139216.125]",Tree_ts,34
35,38,0.5151,unknown,MEAS,Tree_ts,park,,"Point;[587642.6120000001],[6139213.663]",Tree_ts,35
36,39,0.7276,unknown,MEAS,Tree_ts,park,,"Point;[587644.2591],[6139221.757999999]",Tree_ts,36
37,40,0.7937,unknown,MEAS,Tree_ts,park,,"Point;[587647.6696],[6139223.33]",Tree_ts,37
38,41,0.9645,unknown,MEAS,Tree_ts,park,,"Point;[587644.8221],[6139226.172]",Tree_ts,38
39,42,0.9033,unknown,MEAS,Tree_ts,park,,"Point;[587642.8570000001],[6139226.02]",Tree_ts,39
40,43,1.1943,unknown,MEAS,Tree_ts,park,,"Point;[587650.1552],[6139227.578]",Tree_ts,40
41,44,1.9519,unknown,MEAS,Tree_ts,park,,"Point;[587651.7423],[6139232.102999999]",Tree_ts,41
42,45,1.8685,unknown,MEAS,Tree_ts,park,,"Point;[587660.121],[6139230.449]",Tree_ts,42
43,46,0.6795,unknown,MEAS,Tree_ts,park,,"Point;[587655.4286],[6139224.245]",Tree_ts,43
44,47,0.8743,unknown,MEAS,Tree_ts,park,,"Point;[587663.1585],[6139217.651000001]",Tree_ts,44
45,48,0.9935,unknown,MEAS,Tree_ts,park,,"Point;[587665.9732],[6139226.1]",Tree_ts,45
46,3,1.5537,unknown,MEAS,Bench_ts,park,,"Point;[587641.9456],[6139166.062000001]",Bench_ts,46
47,4,1.6934,unknown,MEAS,Trash Can_ts,park,,"Point;[587641.8985],[6139168.562000001]",Trash Can_ts,47
48,5,2.5135,unknown,MEAS,Tree_ts,park,,"Point;[587562.4078],[6139146.8270000005]",Tree_ts,48
49,6,2.6122,unknown,MEAS,Tree_ts,park,,"Point;[587559.6287],[6139147.082]",Tree_ts,49
50,7,2.3503,unknown,MEAS,Tree_ts,park,,"Point;[587558.4301],[6139157.477000001]",Tree_ts,50
51,8,2.3062,unknown,MEAS,Tree_ts,park,,"Point;[587557.0447],[6139160.3]",Tree_ts,51
52,9,2.8681,unknown,MEAS,Tree_ts,park,,"Point;[587532.8715],[6139186.364]",Tree_ts,52
53,10,2.8878,unknown,MEAS,Tree_ts,park,,"Point;[587525.3876],[6139196.127]",Tree_ts,53
54,11,2.8185,unknown,MEAS,Tree_ts,park,,"Point;[587514.7355],[6139208.637]",Tree_ts,54
55,12,2.82,unknown,MEAS,Tree_ts,park,,"Point;[587510.7018],[6139213.997]",Tree_ts,55
56,13,2.7107,unknown,MEAS,Tree_ts,park,,"Point;[587510.6734],[6139216.319]",Tree_ts,56
57,14,2.9329,unknown,MEAS,Tree_ts,park,,"Point;[587507.8899],[6139224.073]",Tree_ts,57
58,15,2.5626,unknown,MEAS,Tree_ts,park,,"Point;[587517.0086],[6139224.392000001]",Tree_ts,58
59,16,2.5463,unknown,MEAS,Tree_ts,park,,"Point;[587514.5028],[6139231.651000001]",Tree_ts,59
60,17,1.5665,unknown,MEAS,Tree_ts,park,,"Point;[587578.286],[6139160.8270000005]",Tree_ts,60
61,18,1.5,unknown,MEAS,Tree_ts,park,,"Point;[587582.1612],[6139169.765]",Tree_ts,61
62,19,1.4947,unknown,MEAS,Tree_ts,park,,"Point;[587582.9981],[6139174.262999999]",Tree_ts,62
63,20,1.5331,unknown,MEAS,Tree_ts,park,,"Point;[587581.9596],[6139177.917]",Tree_ts,63
64,21,1.6283,unknown,MEAS,Tree_ts,park,,"Point;[587585.1839],[6139177.7870000005]",Tree_ts,64
65,22,1.195,unknown,MEAS,Tree_ts,park,,"Point;[587587.0434],[6139173.44]",Tree_ts,65
66,23,1.465,unknown,MEAS,Tree_ts,park,,"Point;[587601.4009],[6139184.618]",Tree_ts,66
67,24,1.3121,unknown,MEAS,Tree_ts,park,,"Point;[587597.2783],[6139195.324]",Tree_ts,67
68,27,-0.1625,unknown,MEAS,unknown,park,,"Point;[587610.1885],[6139235.31]",unknown,68
69,28,-0.1564,unknown,MEAS,unknown,park,,"Point;[587602.9958],[6139237.77]",unknown,69
70,29,-0.0051,unknown,MEAS,unknown,park,,"Point;[587596.7867],[6139238.531]",unknown,70
71,30,0.2817,unknown,MEAS,unknown,park,,"Point;[587602.2807],[6139251.859]",unknown,71
72,31,0.1782,unknown,MEAS,unknown,park,,"Point;[587602.5618],[6139255.745]",unknown,72
73,32,-0.3841,unknown,MEAS,unknown,park,,"Point;[587606.529],[6139255.9860000005]",unknown,73
74,33,-0.6219,unknown,MEAS,unknown,park,,"Point;[587612.7853],[6139255.039]",unknown,74
75,34,-0.4584,unknown,MEAS,unknown,park,,"Point;[587619.582],[6139250.254]",unknown,75
76,35,-0.599,unknown,MEAS,unknown,park,,"Point;[587602.4626],[6139266.529]",unknown,76
77,36,-0.4732,unknown,MEAS,unknown,park,,"Point;[587612.0707],[6139262.551]",unknown,77
78,37,-0.5861,unknown,MEAS,unknown,park,,"Point;[587613.3018],[6139269.42]",unknown,78
79,38,-1.2664,unknown,MEAS,unknown,park,,"Point;[587610.0329999999],[6139283.727999999]",unknown,79
80,39,-1.0189,unknown,MEAS,unknown,park,,"Point;[587637.0743],[6139268.489]",unknown,80
81,40,-0.9713,unknown,MEAS,unknown,park,,"Point;[587638.0316],[6139275.145]",unknown,81
82,41,-1.0387,unknown,MEAS,unknown,park,,"Point;[587641.2248],[6139270.016]",unknown,82
83,42,-0.7758,unknown,MEAS,unknown,park,,"Point;[587628.0939],[6139261.09]",unknown,83
84,43,-0.9787,unknown,MEAS,unknown,park,,"Point;[587625.111],[6139259.563999999]",unknown,84
85,44,-0.8288,12/12/2020,MEAS,Bench_ts,park,,"Point;[587623.281],[6139268.761]",Bench_ts,85
86,45,-0.8059999999999999,12/12/2020,MEAS,Bench_ts,park,,"Point;[587619.8939],[6139269.277000001]",Bench_ts,86
87,46,-0.7776,12/12/2020,MEAS,Trash Can_ts,park,,"Point;[587617.5651],[6139269.637]",Trash Can_ts,87
88,47,-0.5527,12/12/2020,MEAS,unknown,park,,"Point;[587636.5072],[6139249.397000001]",unknown,88
89,48,-0.737,12/12/2020,MEAS,unknown,park,,"Point;[587641.4826],[6139246.801]",unknown,89
90,49,-1.1285,12/12/2020,MEAS,unknown,park,,"Point;[587643.5411],[6139249.079]",unknown,90
91,50,-1.1729,12/12/2020,MEAS,unknown,park,,"Point;[587646.1232],[6139252.821]",unknown,91
92,51,-0.9306,12/12/2020,MEAS,Trash Can_ts,park,,"Point;[587594.0994],[6139222.703]",Trash Can_ts,92
93,52,-0.9899,12/12/2020,MEAS,Bench_ts,park,,"Point;[587600.5614],[6139208.622]",Bench_ts,93
94,53,-0.9751,12/12/2020,MEAS,Bench_ts,park,,"Point;[587591.6651],[6139195.532000001]",Bench_ts,94
95,54,0.2783,12/12/2020,MEAS,Bench_ts,park,,"Point;[587597.7109],[6139184.781]",Bench_ts,95
96,55,-0.1375,12/12/2020,MEAS,unknown,park,,"Point;[587597.563],[6139257.091]",unknown,96
97,56,0.2246,12/12/2020,MEAS,unknown,park,,"Point;[587588.7759],[6139255.278]",unknown,97
98,57,0.2771,12/12/2020,MEAS,unknown,park,,"Point;[587584.0222],[6139256.167]",unknown,98
99,58,-0.0717,12/12/2020,MEAS,unknown,park,,"Point;[587589.9256],[6139259.988]",unknown,99
100,59,-0.2669,12/12/2020,MEAS,unknown,park,,"Point;[587587.0132],[6139265.637999999]",unknown,100
101,60,-0.545,12/12/2020,MEAS,unknown,park,,"Point;[587591.4375],[6139271.655]",unknown,101
