id,time,lat,latdir,lon,londir,fix,nsat,herr,h1,h1unit,h2,h2unit,age,checksum,label,area
59,110212.45,55.37617988,N,10.38667795,E,4,14,0.9,15.303,M,39.479,M,1.5,0027*7F,Fix points,Park
60,110610.75,55.37616489,N,10.38642722,E,4,13,1.9,15.108,M,39.479,M,0.8,0000*70,Fix points,Park
61,114003.95,55.39193627,N,10.38307818,E,4,14,0.8,7.64,M,39.479,M,0.9,0000*45,Fix points,Park
62,114100.75,55.39192146,N,10.38331779,E,4,11,1.5,7.447,M,39.479,M,0.8,0000*48,Fix points,Park
63,121327.5,55.39152235,N,10.38221936,E,4,8,1.6,8.815,M,39.479,M,1.5,0026*4F,Tree 1,Park
64,121328.1,55.39152183,N,10.38222237,E,4,8,2.2,8.911,M,39.479,M,1.1,0026*4B,Tree 1,Park
65,121328.7,55.39152165,N,10.38222469,E,4,7,2.2,8.839,M,39.479,M,1.7,0026*49,Tree 1,Park
66,121329.3,55.39152111,N,10.38222769,E,4,6,2.2,8.748,M,39.479,M,1.3,0026*46,Tree 1,Park
67,121329.95,55.39152144,N,10.38223119,E,4,8,1.5,8.602,M,39.479,M,0.9,0026*4F,Tree 1,Park
68,121330.6,55.39152133,N,10.38223248,E,4,8,1.5,8.617,M,39.479,M,1.6,0026*48,Tree 1,Park
69,121331.2,55.39152144,N,10.38223219,E,4,7,1.7,8.607,M,39.479,M,2.2,0026*4C,Tree 1,Park
70,121331.85,55.39152154,N,10.38223196,E,4,7,1.7,8.631,M,39.479,M,2.8,0026*4B,Tree 1,Park
71,121441.85,55.39159333,N,10.38228658,E,4,7,3.5,8.714,M,39.479,M,0.9,0026*41,Tree 2,Park
72,121442.45,55.39159437,N,10.38228803,E,4,7,3.5,8.792,M,39.479,M,1.5,0026*42,Tree 2,Park
73,121443.05,55.39159382,N,10.38229171,E,4,7,3.5,8.579,M,39.479,M,2,0026*40,Tree 2,Park
74,121443.65,55.39159462,N,10.38229499,E,4,8,2.1,8.493,M,39.479,M,1.6,0026*4C,Tree 2,Park
75,121444.35,55.39159574,N,10.38229779,E,4,10,1.9,8.909,M,39.479,M,1.4,0026*4E,Tree 2,Park
76,121444.95,55.39159554,N,10.38229972,E,4,9,2.3,8.786,M,39.479,M,0.9,0026*42,Tree 2,Park
77,121445.7,55.39159527,N,10.38230093,E,4,9,2.3,8.56,M,39.479,M,1.7,0026*4C,Tree 2,Park
78,121446.35,55.39159532,N,10.38230053,E,4,9,2,8.551,M,39.479,M,1.4,0026*41,Tree 2,Park
79,121447.05,55.39159519,N,10.38230051,E,4,9,2,8.556,M,39.479,M,1,0026*4F,Tree 2,Park
80,121447.75,55.39159533,N,10.38230037,E,4,9,2,8.573,M,39.479,M,1.8,0026*4B,Tree 2,Park
81,121448.4,55.39159541,N,10.38230041,E,4,10,1.9,8.603,M,39.479,M,1.4,0026*4E,Tree 2,Park
82,121449.1,55.39159535,N,10.38230053,E,4,10,1.9,8.587,M,39.479,M,1.1,0026*49,Tree 2,Park
83,155600.3,55.39502938,N,10.38263004,E,4,10,1,14.407,M,39.46,M,1.3,0015*7D,Nedløb,Downtown
84,160958.65,55.39427098,N,10.38458007,E,5,8,1.2,19.592,M,39.46,M,1.6,0015*72,Nedløb,Downtown
85,161145.3,55.39414598,N,10.38476681,E,5,6,4.2,25.227,M,39.46,M,1.3,0015*79,Nedløb,Downtown
86,161315.5,55.39409501,N,10.38503692,E,5,6,4.2,29.658,M,39.46,M,1.5,0015*79,Nedløb,Downtown
87,163925,55.40784162,N,10.37886423,E,4,10,0.9,4.692,M,39.449,M,1,0018*42,Bænk,Harbor
88,163959.55,55.40775485,N,10.37870958,E,4,11,0.9,4.75,M,39.449,M,1.5,0018*42,Bænk,Harbor
89,164027.6,55.40771528,N,10.37894242,E,4,10,0.9,4.769,M,39.449,M,1.6,0018*4C,Bænk,Harbor
90,164238.9,55.40789729,N,10.3792622,E,4,5,2.8,3.938,M,39.449,M,1.9,0018*4D,Lampe,Harbor
91,164319.3,55.40801964,N,10.37963375,E,5,5,11.4,3.918,M,39.449,M,1.3,0018*76,Lampe,Harbor
