,id,time,lat,latdir,lon,londir,fix,nsat,herr,h1,h1unit,h2,h2unit,age,checksum,label,area
0,59,110212.45,587868.889524195,N,6137528.70748323,E,4,14,0.9,15.302999999999999,M,39.479,M,1.5,0027*7F,Fix points,Park
1,60,110610.75,587853.0359662058,N,6137526.723047276,E,4,13,1.9,15.107999999999999,M,39.479,M,0.8,0000*70,Fix points,Park
2,61,114003.95,587605.9627766095,N,6139277.455494053,E,4,14,0.8,7.64,M,39.479,M,0.9,0000*45,Fix points,Park
3,62,114100.75,587621.1716935033,N,6139276.109120181,E,4,11,1.5,7.447,M,39.479,M,0.8,0000*48,Fix points,Park
4,63,121327.5,587552.4824494662,N,6139230.316067214,E,4,8,1.6,8.815,M,39.479,M,1.5,0026*4F,Tree 1,Park
5,64,121328.1,587552.674244783,N,6139230.261990486,E,4,8,2.2,8.911,M,39.479,M,1.1,0026*4B,Tree 1,Park
6,65,121328.7,587552.8215858041,N,6139230.2448792495,E,4,7,2.2,8.839,M,39.479,M,1.7,0026*49,Tree 1,Park
7,66,121329.3,587553.0127919499,N,6139230.188564463,E,4,6,2.2,8.748,M,39.479,M,1.3,0026*46,Tree 1,Park
8,67,121329.95,587553.2337443192,N,6139230.229687617,E,4,8,1.5,8.602,M,39.479,M,0.9,0026*4F,Tree 1,Park
9,68,121330.6,587553.3156929178,N,6139230.219070034,E,4,8,1.5,8.617,M,39.479,M,1.6,0026*48,Tree 1,Park
10,69,121331.2,587553.297081926,N,6139230.230945475,E,4,7,1.7,8.607000000000001,M,39.479,M,2.2,0026*4C,Tree 1,Park
11,70,121331.85,587553.2822932894,N,6139230.241783639,E,4,7,1.7,8.631,M,39.479,M,2.8,0026*4B,Tree 1,Park
12,71,121441.85,587556.5831404587,N,6139238.29890121,E,4,7,3.5,8.714,M,39.479,M,0.9,0026*41,Tree 2,Park
13,72,121442.45,587556.6726814612,N,6139238.416450882,E,4,7,3.5,8.792,M,39.479,M,1.5,0026*42,Tree 2,Park
14,73,121443.05,587556.9069789053,N,6139238.359878898,E,4,7,3.5,8.579,M,39.479,M,2.0,0026*40,Tree 2,Park
15,74,121443.65,587557.1129578962,N,6139238.453024627,E,4,8,2.1,8.493,M,39.479,M,1.6,0026*4C,Tree 2,Park
16,75,121444.35,587557.2878276918,N,6139238.581174476,E,4,10,1.9,8.908999999999999,M,39.479,M,1.4,0026*4E,Tree 2,Park
17,76,121444.95,587557.4105110385,N,6139238.561347314,E,4,9,2.3,8.786,M,39.479,M,0.9,0026*42,Tree 2,Park
18,77,121445.7,587557.4877460937,N,6139238.532825224,E,4,9,2.3,8.56,M,39.479,M,1.7,0026*4C,Tree 2,Park
19,78,121446.35,587557.4623005993,N,6139238.537885791,E,4,9,2.0,8.551,M,39.479,M,1.4,0026*41,Tree 2,Park
20,79,121447.05,587557.4613211472,N,6139238.523394919,E,4,9,2.0,8.556000000000001,M,39.479,M,1.0,0026*4F,Tree 2,Park
21,80,121447.75,587557.4521445015,N,6139238.538797271,E,4,9,2.0,8.573,M,39.479,M,1.8,0026*4B,Tree 2,Park
22,81,121448.4,587557.4545012024,N,6139238.547749567,E,4,10,1.9,8.603,M,39.479,M,1.4,0026*4E,Tree 2,Park
23,82,121449.1,587557.4622342999,N,6139238.541224033,E,4,10,1.9,8.587,M,39.479,M,1.1,0026*49,Tree 2,Park
24,83,155600.3,587570.7414584355,N,6139621.07657336,E,4,10,1.0,14.407,M,39.46,M,1.3,0015*7D,Nedløb,Downtown
25,84,160958.65,587695.9196047902,N,6139539.141001454,E,5,8,1.2,19.592,M,39.46,M,1.6,0015*72,Nedløb,Downtown
26,85,161145.3,587708.0231935985,N,6139525.466960149,E,5,6,4.2,25.226999999999997,M,39.46,M,1.3,0015*79,Nedløb,Downtown
27,86,161315.5,587725.2430434019,N,6139520.135692669,E,5,6,4.2,29.658,M,39.46,M,1.5,0015*79,Nedløb,Downtown
28,87,163925.0,587303.9973353982,N,6141042.026324436,E,4,10,0.9,4.692,M,39.449,M,1.0,0018*42,Bænk,Harbor
29,88,163959.55,587294.3975054028,N,6141032.1769866515,E,4,11,0.9,4.75,M,39.449,M,1.5,0018*42,Bænk,Harbor
30,89,164027.6,587309.2262502224,N,6141028.065928158,E,4,10,0.9,4.769,M,39.449,M,1.6,0018*4C,Bænk,Harbor
31,90,164238.9,587329.0706443103,N,6141048.720340936,E,4,5,2.8,3.938,M,39.449,M,1.9,0018*4D,Lampe,Harbor
32,91,164319.3,587352.3240881922,N,6141062.801157623,E,5,5,11.4,3.918,M,39.449,M,1.3,0018*76,Lampe,Harbor
