,oldId,ID,time,x,latDir,y,lonDir,fix,nSat,hError,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,35,0,114040.65,587830.8296367384,N,6137617.858124897,E,4.0,12.0,0.8,,Bench,,08/11/2020,,,,9461.0,
1,116,1,124138.3,587743.9286160889,N,6137646.961614458,E,4.0,9.0,1.3,,Building Corner,,08/11/2020,,,,,
2,117,2,124236.15,587771.9455006492,N,6137668.3099762425,E,4.0,9.0,1.1,,Building Corner,,08/11/2020,,,,,
3,119,3,124256.2,587763.1505056602,N,6137656.060260117,E,4.0,10.0,1.5,,Building Corner,,08/11/2020,,,,,
4,9,4,112406.95,587867.2146872686,N,6137525.373526667,E,4.0,11.0,1.0,,Downspout Grille,,08/11/2020,,,,,
5,11,5,112628.05,587846.1042721268,N,6137527.947538346,E,4.0,6.0,2.4,,Downspout Grille,,08/11/2020,,,1034160102.0,,
6,13,6,112755.45,587849.8346855579,N,6137534.564019125,E,4.0,8.0,1.8,,Downspout Grille,,08/11/2020,,,1034127778.0,,
7,14,7,112839.15,587867.9996943487,N,6137532.328760904,E,4.0,9.0,1.0,,Downspout Grille,,08/11/2020,,,1034127777.0,,
8,16,8,113000.9,587816.6112316594,N,6137538.625725447,E,4.0,9.0,1.2,,Downspout Grille,,08/11/2020,,,1034127779.0,,
9,17,9,113037.7,587793.9382972812,N,6137543.8817088725,E,4.0,9.0,1.2,,Downspout Grille,,08/11/2020,,,1034128080.0,,
10,19,10,113132.2,587780.8118296806,N,6137550.171565397,E,4.0,10.0,1.1,,Downspout Grille,,08/11/2020,,,1034128079.0,,
11,20,11,113242.7,587780.4180768314,N,6137561.772020028,E,4.0,6.0,4.4,,Downspout Grille,,08/11/2020,,,1034128078.0,,
12,27,12,113629.65,587777.8221645487,N,6137593.573030429,E,4.0,8.0,1.2,,Downspout Grille,,08/11/2020,,,1034128072.0,,
13,29,13,113731.0,587805.0211097626,N,6137610.359070917,E,4.0,7.0,1.6,,Downspout Grille,,08/11/2020,,,1034128075.0,,
14,33,14,113855.65,587826.7620571083,N,6137625.185381431,E,4.0,8.0,1.2,Outside,Downspout Grille,,08/11/2020,,,,,
15,39,15,114244.9,587822.7001451475,N,6137631.018859751,E,4.0,10.0,0.9,Outside,Downspout Grille,,08/11/2020,,,,,
16,44,16,114555.9,587801.0234848064,N,6137616.466578612,E,4.0,8.0,1.4,,Downspout Grille,,08/11/2020,,,1034128074.0,,
17,47,17,114753.85,587774.4275039944,N,6137600.087740793,E,4.0,8.0,1.6,,Downspout Grille,,08/11/2020,,,1034128073.0,,
18,52,18,115010.95,587731.4703737163,N,6137576.234761548,E,4.0,8.0,1.3,Outside,Downspout Grille,,08/11/2020,,,,,
19,55,19,115112.8,587733.944327683,N,6137569.766271931,E,4.0,12.0,0.9,Outside,Downspout Grille,,08/11/2020,,,,,
20,58,20,115241.7,587755.9456659781,N,6137580.892720602,E,4.0,9.0,1.1,,Downspout Grille,,08/11/2020,,,1034128071.0,,
21,63,21,115735.75,587805.9481389736,N,6137533.313957324,E,4.0,10.0,1.0,,Downspout Grille,,08/11/2020,,,1034128081.0,,
22,67,22,115956.9,587807.9832279232,N,6137497.535518364,E,4.0,7.0,1.7,,Downspout Grille,,08/11/2020,,,1034128084.0,,
23,69,23,120536.5,587814.1694695147,N,6137496.918396818,E,4.0,5.0,6.7,,Downspout Grille,,08/11/2020,,,1034128085.0,,
24,70,24,120640.7,587784.0064862136,N,6137475.798707509,E,4.0,7.0,1.9,,Downspout Grille,,08/11/2020,,,1034128087.0,,
25,72,25,120714.3,587786.5945985386,N,6137470.321024253,E,4.0,10.0,1.1,,Downspout Grille,,08/11/2020,,,1034128088.0,,
26,74,26,120815.6,587762.1284690937,N,6137461.922795731,E,4.0,10.0,1.1,,Downspout Grille,,08/11/2020,,,1034128089.0,,732e35a9-9ec5-4b6c-bfaa-46a23daf5e6c
27,76,27,120913.3,587755.422181331,N,6137450.2200531,E,4.0,6.0,2.7,Outside,Downspout Grille,,08/11/2020,,,,,
28,77,28,120948.6,587751.7125675532,N,6137456.02609683,E,4.0,7.0,5.7,Outside,Downspout Grille,,08/11/2020,,,,,
29,83,29,121345.35,587820.1774652128,N,6137490.544795686,E,4.0,7.0,1.6,,Downspout Grille,,08/11/2020,,,1034128082.0,,
30,84,30,121357.2,587818.3814643234,N,6137484.729384448,E,4.0,9.0,1.2,,Downspout Grille,,08/11/2020,,,1034128083.0,,
31,87,31,121619.45,587830.5551577983,N,6137495.168530314,E,4.0,7.0,1.1,,Downspout Grille,,08/11/2020,,,1034127781.0,,
