ID,x,y,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,587670.4376,6139561.332,Totalstation,Downspout Grille,,13/12/2020,,,,,
1,587668.1952,6139556.027,Totalstation,Downspout Grille,,13/12/2020,,,,,
2,587682.1708,6139550.48,Totalstation,Downspout Grille,,13/12/2020,,,,,
3,587683.8239,6139555.949,Totalstation,Downspout Grille,,13/12/2020,,,1034131762,,
4,587700.4111,6139551.951,Totalstation,Downspout Grille,,13/12/2020,,,,,
5,587699.3154,6139546.487,Totalstation,Downspout Grille,,13/12/2020,,,,,
6,587692.5801,6139542.113,Totalstation,Downspout Grille,,13/12/2020,,,1034131761,,
7,587690.1571,6139548.266,Totalstation,Downspout Grille,,13/12/2020,,,,,
8,587674.166,6139563.572,Totalstation,Downspout Grille,,13/12/2020,,,,,
9,587656.4861,6139569.078,Totalstation,Downspout Grille,,13/12/2020,,,,,
10,587653.5418,6139564.112,Totalstation,Downspout Grille,,13/12/2020,,,,,
11,587642.1122,6139570.973,Totalstation,Downspout Grille,,13/12/2020,,,,,
12,587645.2937,6139576.088,Totalstation,Downspout Grille,,13/12/2020,,,,,
13,587630.2162,6139585.154,Totalstation,Downspout Grille,,13/12/2020,,,,,
14,587627.0791,6139580.166,Totalstation,Downspout Grille,,13/12/2020,,,,,
15,587670.1498,6139565.885,Totalstation,Downspout Grille,,13/12/2020,,,1034131981,,
16,587705.4087,6139552.461,Totalstation,Light Fixture,,13/12/2020,45519,,,,
17,587703.1415,6139549.495,Totalstation,Light Fixture,,13/12/2020,38596,,,,
18,587680.1761,6139558.291,Totalstation,Light Fixture,,13/12/2020,45520,,1034131743,,
19,587679.4043,6139555.284,Totalstation,Light Fixture,,13/12/2020,45525,,,,
20,587662.5281,6139566.451,Totalstation,Light Fixture,,13/12/2020,18652,,,,
21,587654.183,6139566.603,Totalstation,Light Fixture,,13/12/2020,45524,,,,
22,587649.9483,6139564.409,Totalstation,Light Fixture,,13/12/2020,45521,,,,
23,587635.3198,6139578.697,Totalstation,Light Fixture,,13/12/2020,45523,,,,
24,587641.6172,6139570.173,Totalstation,Tree,,13/12/2020,,,,,
25,587652.0298,6139563.04,Totalstation,Tree,,13/12/2020,,,,,
26,587690.4949,6139548.769,Totalstation,Greenery,,13/12/2020,,,,,
27,587696.4901,6139554.032,Totalstation,Greenery,,13/12/2020,,,,,
28,587699.9079,6139550.133,Totalstation,Manhole Cover,,13/12/2020,,,1034131769,,
29,587691.6439,6139544.163,Totalstation,Manhole Cover,,13/12/2020,,,,,
30,587690.3879,6139545.076,Totalstation,Manhole Cover,,13/12/2020,,,,,
31,587681.8102,6139549.25,Totalstation,Manhole Cover,,13/12/2020,,,,,
32,587669.912,6139551.801,Totalstation,Manhole Cover,,13/12/2020,,,,,
33,587661.1733,6139555.616,Totalstation,Manhole Cover,,13/12/2020,,,,,
34,587656.9938,6139565.003,Totalstation,Manhole Cover,,13/12/2020,,,1034131768,,
35,587650.3457,6139564.407,Totalstation,Manhole Cover,,13/12/2020,,,,,
36,587650.6697,6139561.484,Totalstation,Manhole Cover,,13/12/2020,,,,,
37,587642.6334,6139566.544,Totalstation,Manhole Cover,,13/12/2020,,,,,
38,587636.928,6139580.112,Totalstation,Manhole Cover,,13/12/2020,,,1034131767,,
39,587634.0018,6139582.804,Totalstation,Manhole Cover,,13/12/2020,,,1034131766,,
40,587620.8675,6139590.061,Totalstation,Manhole Cover,,13/12/2020,,,,,
42,587626.0803,6139580.975,Totalstation,Manhole Cover,,13/12/2020,,,,,
43,587655.6352,6139570.756,Totalstation,Manhole Cover,,13/12/2020,,,,,
44,587658.7572,6139570.999,Totalstation,Manhole Cover,,13/12/2020,,,,,
45,587681.1648,6139561.003,Totalstation,Manhole Cover,,13/12/2020,,,,,
