,ID,date,time,x,latDir,y,lonDir,fix,nSat,altitude,altitudeUnit,height,heightUnit,hError,checksum,typename,sub category,note,n,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,27,13/11/2020,102212.85,587254.0540300835,N,6141141.681343694,E,4,12,4.018,M,39.446999999999996,M,0.9,0015*4F,Bench,,,0,,,,,
1,28,13/11/2020,102253.25,587251.8687390054,N,6141142.588727772,E,4,12,4.4910000000000005,M,39.446999999999996,M,1.3,0015*4A,Bench,,,1,,,,,
2,29,13/11/2020,102305.0,587253.9160600055,N,6141143.786987978,E,4,12,4.544,M,39.446999999999996,M,1.0,0015*40,Bench,,,2,,,,,
3,36,13/11/2020,102648.75,587240.3217710917,N,6141107.42380254,E,4,13,4.513999999999999,M,39.446999999999996,M,1.8,0015*44,Bench,,,3,,,,,
4,37,13/11/2020,102700.7,587241.6752196632,N,6141104.098796052,E,4,13,4.501,M,39.446999999999996,M,1.7,0015*4E,Bench,,,4,,,,,
5,45,13/11/2020,103001.3,587235.6751284843,N,6141077.565174864,E,4,13,4.492,M,39.446999999999996,M,1.3,0015*4F,Bench,,,5,,,,,
6,82,13/11/2020,105438.7,587293.263436191,N,6141012.821793018,E,4,13,4.871,M,39.446999999999996,M,1.7,0015*4A,Bench,,,6,,,,,
7,83,13/11/2020,105529.9,587309.2592668752,N,6141028.029847236,E,4,12,4.77,M,39.446999999999996,M,0.9,0015*48,Bench,,,7,,,,,
8,133,13/11/2020,112758.45,587339.9947040617,N,6141152.150540669,E,4,13,4.208,M,39.446999999999996,M,1.5,0015*40,Bench,,,8,,,,,
9,134,13/11/2020,112829.35,587341.4418578425,N,6141149.852666469,E,4,12,4.207,M,39.446999999999996,M,1.4,0015*49,Bench,,,9,,,,,
10,148,13/11/2020,114033.95,587312.5524729807,N,6141073.332822453,E,4,11,4.131,M,39.446999999999996,M,0.9,0015*47,Bench,,,10,,,,,
11,149,13/11/2020,114055.75,587312.976771652,N,6141069.564185435,E,4,12,4.489,M,39.446999999999996,M,1.8,0015*4F,Bench,,,11,,,,,
12,150,13/11/2020,114120.55,587310.3933588497,N,6141068.026884556,E,4,12,4.426,M,39.446999999999996,M,1.5,0015*44,Bench,,,12,,,,,
13,151,13/11/2020,114151.7,587307.7648419718,N,6141066.592217897,E,4,12,4.425,M,39.446999999999996,M,1.7,0015*44,Bench,,,13,,,,,
14,157,13/11/2020,114828.3,587337.6688760996,N,6141129.634736652,E,4,6,3.965,M,39.446999999999996,M,1.3,0015*49,Building Corner,,,14,,,,,
