,ID,oldID,timestamp,x,latDir,y,lonDir,fix,nSat,hErr,alt,altU,h,hU,dgpsAge,checksum,typename,subcategory,note,Kortopslag,Samaqua,GeoDanmark,Energifyn
0,0,2,113957,587584.4441,N,6139148.139,E,4,13,0.7,7.826,M,39.466,M,1,0026*49,Bench,,,4688,,,
1,1,27,121516.15,587511.6718,N,6139233.734,E,4,15,0.7,9.478,M,39.466,M,1.1,0026*47,Bench,,,11592,,,
2,2,48,122234.1,587505.4434,N,6139282.251,E,4,15,0.7,9.604,M,39.466,M,1.1,0026*4F,Bench,,,,,,
3,3,93,130905.85,587595.8498,N,6139336.245,E,4,11,1.1,8.668,M,39.466,M,0.9,0009*43,Bench,,,2669,,,
4,4,103,132514.45,587665.3666,N,6139328.526,E,4,8,1.8,7.803,M,39.466,M,1.5,0009*4E,Bench,,,,,,
5,5,49,122316.05,587505.0501,N,6139271.166,E,4,14,0.7,8.999,M,39.466,M,1,0026*40,Fuse Box,,,,,,1217
6,6,30,121706.7,587499.158,N,6139266.411,E,4,15,0.7,9.391,M,39.466,M,1.7,0026*4F,Light Fixture,,,,,,47430
7,7,31,121721.75,587498.9848,N,6139269.295,E,4,15,0.7,9.389,M,39.466,M,1.8,0026*45,Light Fixture,,,,,,47431
8,8,32,121735.25,587498.9708,N,6139269.905,E,4,15,0.7,9.374,M,39.466,M,1.3,0026*46,Light Fixture,,,,,,47432
9,9,33,121746.4,587498.9304,N,6139272.482,E,4,15,0.7,9.386,M,39.466,M,1.4,0026*40,Light Fixture,,,,,,47433
10,10,34,121758.85,587498.928,N,6139273.113,E,4,15,0.7,9.382,M,39.466,M,0.9,0026*4C,Light Fixture,,,,,,47434
11,11,35,121810.5,587499.0135,N,6139275.702,E,4,15,0.7,9.37,M,39.466,M,1.5,0026*40,Light Fixture,,,,,,47435
12,12,36,121819.75,587499.0452,N,6139276.307,E,4,15,0.7,9.374,M,39.466,M,1.8,0026*40,Light Fixture,,,,,,47436
13,13,37,121829.95,587499.2193,N,6139278.869,E,4,15,0.7,9.359,M,39.466,M,0.9,0026*46,Light Fixture,,,,,,47437
14,14,38,121839,587499.2857,N,6139279.484,E,4,15,0.7,9.356,M,39.466,M,2,0026*4F,Light Fixture,,,,,,47438
15,15,39,121854.3,587499.6181,N,6139281.985,E,4,15,0.7,9.372,M,39.466,M,1.3,0026*42,Light Fixture,,,,,,47439
16,16,39,121854.5,587499.6169,N,6139281.983,E,4,15,0.7,9.372,M,39.466,M,1.5,0026*44,Light Fixture,,,,,,47447
17,17,40,121926.75,587500.3393,N,6139285.329,E,4,15,0.7,9.392,M,39.466,M,1.8,0026*43,Light Fixture,,,,,,47446
18,18,41,121942.65,587500.553,N,6139285.931,E,4,15,0.7,9.383,M,39.466,M,1.6,0026*47,Light Fixture,,,,,,47445
19,19,41,121956.85,587501.9693,N,6139289.017,E,4,15,0.7,9.395,M,39.466,M,1.9,0026*46,Light Fixture,,,,,,47444
20,20,41,122014.05,587502.2736,N,6139289.549,E,4,15,0.7,9.416,M,39.466,M,1,0026*4D,Light Fixture,,,,,,47443
21,21,43,122046.95,587504.8869,N,6139293.049,E,4,15,0.7,9.4,M,39.466,M,2,0026*49,Light Fixture,,,,,,47442
