,Unnamed: 0,Unnamed: 0.1,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
576,576,80,84,590671.3696,6136686.314,104857.15,5522.086187,N,1025.836973,E,4,9,,22.376,M,39.413,M,1.1,0008*7A,,Tree Stump,,84,-,-,1103670638,-,-
575,575,289,304,590672.3786,6136776.85,133825.75,5522.134974,N,1025.839688,E,5,7,,26.247,M,39.415,M,1.8,0024*73,,Tree,Collection of Trees,304,-,-,-,-,-
574,574,287,301,590772.1839,6136812.522,133427.65,5522.153094,N,1025.934836,E,4,9,,23.442,M,39.415,M,1.6,0024*74,,Tree,,301,-,-,1202734429,-,-
573,573,286,300,590767.2273,6136811.849,133403.9,5522.152787,N,1025.930132,E,4,10,,23.444,M,39.415,M,0.9,0024*78,,Tree,,300,-,-,1202734430,-,-
572,572,285,299,590762.2019,6136811.34,133350.45,5522.152568,N,1025.925366,E,4,9,,23.532,M,39.415,M,1.5,0024*71,,Tree,,299,-,-,1202734425,-,-
571,571,284,298,590757.4176,6136810.98,133337.5,5522.152427,N,1025.920831,E,4,11,,23.5,M,39.415,M,1.5,0024*71,,Tree,,298,-,-,1202734426,-,-
570,570,283,297,590752.2648,6136810.407,133318.95,5522.152175,N,1025.915943,E,4,13,,23.476,M,39.415,M,0.9,0024*70,,Tree,,297,-,-,1202734427,-,-
569,569,282,296,590747.4316,6136810.082,133259.2,5522.152053,N,1025.911363,E,4,10,,23.154,M,39.415,M,1.2,0024*7E,,Tree,,296,-,-,1202734428,-,-
568,568,281,295,590741.5021,6136809.453,133245.6,5522.15178,N,1025.905739,E,4,10,,22.737,M,39.415,M,1.6,0024*7C,,Tree,Removed,295,-,-,-,-,-
567,567,280,294,590736.5102,6136808.855,133226.75,5522.151513,N,1025.901003,E,4,9,,23.455,M,39.415,M,1.8,0024*71,,Tree,,294,-,-,1202734421,-,-
566,566,279,293,590731.5743,6136808.437,133212.9,5522.151343,N,1025.896324,E,4,9,,23.424,M,39.415,M,0.9,0024*7A,,Tree,,293,-,-,1202734422,-,-
565,565,278,292,590726.4497,6136807.941,133157.25,5522.151132,N,1025.891465,E,4,8,,23.37,M,39.415,M,2.3,0024*77,,Tree,,292,-,-,1202734423,-,-
564,564,277,291,590721.5074,6136807.589,133145.3,5522.150997,N,1025.88678,E,4,11,,22.995,M,39.415,M,1.3,0024*76,,Tree,Removed,291,-,-,1202734487,-,-
563,563,276,290,590716.607,6136806.892,133114.6,5522.150676,N,1025.882129,E,4,8,,23.146,M,39.415,M,1.6,0024*76,,Tree,,290,-,-,1202734424,-,-
562,562,275,289,590711.5363,6136806.549,133103.05,5522.150547,N,1025.877324,E,4,8,,22.783,M,39.415,M,2,0024*7A,,Tree,Removed,289,-,-,1202734486,-,-
561,561,226,238,590747.525,6136754.709,130622.25,5522.122208,N,1025.910374,E,4,11,,23.631,M,39.415,M,1.3,0024*74,,Tree,,238,-,-,-,-,-
560,560,225,237,590759.5837,6136755.911,130601.45,5522.122722,N,1025.921809,E,4,11,,23.475,M,39.415,M,1.5,0024*74,,Tree,,237,-,-,-,-,-
559,559,224,236,590771.2048,6136757.001,130539.8,5522.12318,N,1025.932828,E,4,10,,23.525,M,39.415,M,1.8,0024*7F,,Tree,,236,-,-,-,-,-
