,Unnamed: 0,ID,x,y,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID.1,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,7,9,590757.3809,6136657.137,102035.2,5522.069508,N,1025.917802,E,4,9,,25.512,M,39.413,M,1.2,0008*7D,,Bench,,9,-,-,-,-,-
1,9,11,590756.8872,6136664.245,102125.8,5522.073345,N,1025.917473,E,4,9,,21.996,M,39.413,M,1.8,0008*73,,Bench,,11,-,-,-,-,-
2,11,13,590756.2554,6136670.152,102147.4,5522.076536,N,1025.91699,E,4,10,,21.92,M,39.413,M,1.4,0008*74,,Bench,,13,-,-,-,-,-
3,30,33,590743.8481,6136668.836,102758.25,5522.075964,N,1025.905223,E,4,9,,21.907,M,39.413,M,1.3,0008*70,,Bench,,33,-,-,-,-,-
4,31,34,590745.2021,6136662.991,102816.35,5522.072799,N,1025.90639,E,4,9,,21.95,M,39.413,M,1.4,0008*7B,,Bench,,34,-,-,-,-,-
5,35,38,590746.5306,6136657.09,102937.3,5522.069603,N,1025.907533,E,4,8,,21.87,M,39.413,M,1.3,0008*73,,Bench,,38,-,-,-,-,-
6,59,62,590702.9836,6136648.52,104136.95,5522.065467,N,1025.866155,E,4,8,,22.564,M,39.413,M,2,0008*7B,,Bench,,62,-,-,-,-,-
7,98,102,590668.704,6136714.398,105621.35,5522.101354,N,1025.834996,E,4,9,,22.923,M,39.413,M,1.4,0008*76,,Bench,,102,-,-,-,-,-
8,111,116,590661.1627,6136721.422,110414.95,5522.105223,N,1025.827996,E,4,8,,22.755,M,39.413,M,2,0008*7B,,Bench,,116,-,-,-,-,-
9,75,79,590680.2824,6136667.009,104645.45,5522.075684,N,1025.845032,E,4,10,,24.386,M,39.413,M,1.5,0008*76,,Building Corner,Bikeshed,79,-,-,-,-,-
10,76,80,590679.2224,6136677.029,104706.4,5522.081096,N,1025.844224,E,4,9,,24.301,M,39.413,M,1.4,0008*73,,Building Corner,Bikeshed,80,-,-,-,-,-
11,290,305,590658.3813,6136747.005,134114.2,5522.119043,N,1025.825861,E,4,7,,23.519,M,39.415,M,1.2,0024*7F,,Building Corner,,305,-,-,-,-,-
12,291,308,590649.5649,6136722.621,134241.2,5522.105998,N,1025.817044,E,4,6,,23.703,M,39.415,M,1.2,0024*75,,Building Corner,,308,-,-,-,-,-
13,292,309,590668.2255,6136642.006,134418,5522.062341,N,1025.833136,E,4,7,,23.249,M,39.415,M,1,0024*7C,,Building Corner,,309,-,-,-,-,-
14,20,22,590804.1427,6136658.254,102427.7,5522.069592,N,1025.962076,E,4,9,,21.416,M,39.413,M,1.7,0008*77,,Downspout Grille,Round Downspout Grille,22,-,-,-,-,-
15,23,25,590782.2905,6136666.554,102535.45,5522.074308,N,1025.941558,E,4,6,,21.476,M,39.413,M,1.5,0008*78,,Downspout Grille,,25,-,-,1103669907,-,-
16,26,28,590772.0163,6136665.624,102624.1,5522.073921,N,1025.931817,E,4,7,,21.706,M,39.413,M,1.1,0008*78,,Downspout Grille,,28,-,-,1034152777,-,-
17,27,30,590765.9665,6136665.039,102643.65,5522.073672,N,1025.92608,E,4,11,,21.766,M,39.413,M,1.6,0008*78,,Downspout Grille,,30,-,-,1103669436,-,-
18,28,31,590760.115,6136664.46,102713,5522.073425,N,1025.920532,E,4,8,,21.673,M,39.413,M,1,0008*78,,Downspout Grille,,31,-,-,1103669774,-,-
19,34,37,590740.5866,6136662.707,102912.35,5522.072697,N,1025.902017,E,4,7,,21.571,M,39.413,M,1.4,0008*72,,Downspout Grille,,37,-,-,1034152774,-,-
20,44,47,590722.681,6136660.873,103246.75,5522.071907,N,1025.885036,E,4,10,,21.43,M,39.413,M,1.8,0008*71,,Downspout Grille,,47,-,-,1103669749,-,-
21,49,52,590734.6841,6136662.079,103457.75,5522.072424,N,1025.896419,E,4,10,,21.717,M,39.413,M,0.8,0008*73,,Downspout Grille,,52,-,-,1103670043,-,-
22,50,53,590728.6669,6136661.479,103520.9,5522.072167,N,1025.890713,E,4,10,,21.645,M,39.413,M,0.9,0008*78,,Downspout Grille,,53,-,-,1034152772,-,-
23,51,54,590715.2557,6136649.412,103702.5,5522.065812,N,1025.877786,E,4,10,,21.669,M,39.413,M,1.5,0008*7C,,Downspout Grille,,54,-,-,-,-,-
24,61,64,590714.3474,6136659.793,104216.7,5522.071417,N,1025.877129,E,4,10,,21.984,M,39.413,M,1.7,0008*70,,Downspout Grille,,64,-,-,1103665914,-,-
25,65,68,590690.9995,6136649.655,104354.65,5522.066211,N,1025.854836,E,4,8,,21.737,M,39.413,M,1.6,0008*7B,,Downspout Grille,,68,-,-,-,-,-
26,84,88,590668.7161,6136659.415,105111.9,5522.071719,N,1025.833938,E,4,9,,22.111,M,39.413,M,0.9,0008*72,,Downspout Grille,,88,-,-,-,-,-
27,120,125,590638.1173,6136729.253,110742.45,5522.109699,N,1025.806339,E,5,8,,21.318,M,39.413,M,1.5,0008*77,,Downspout Grille,,125,-,-,-,-,-
28,124,129,590655.0675,6136733.757,111022.9,5522.111939,N,1025.822468,E,5,7,,25.155,M,39.413,M,0.9,0008*73,,Downspout Grille,,129,-,-,1034152871,-,-
29,126,131,590654.0463,6136742.482,111128.25,5522.116653,N,1025.821671,E,5,6,,24.576,M,39.413,M,1.3,0008*71,,Downspout Grille,,131,-,-,1034152870,-,-
30,133,139,590658.2642,6136792.045,111652.95,5522.14332,N,1025.826626,E,4,5,,23.161,M,39.413,M,2,0008*47,,Downspout Grille,Round Downspout Grille,139,-,-,-,-,-
31,141,147,590695.5806,6136746.064,112401.9,5522.118123,N,1025.861047,E,4,8,,21.452,M,39.413,M,0.9,0008*77,,Downspout Grille,Round Downspout Grille,147,-,-,-,-,-
32,143,149,590679.4414,6136744.3,112457.85,5522.117352,N,1025.845739,E,4,8,,21.711,M,39.413,M,0.9,0008*7E,,Downspout Grille,Round Downspout Grille,149,-,-,-,-,-
