typename,,,,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
Downspout Grille,,,,,,1210521480,,
Downspout Grille,,,,,,1210521421,,
Downspout Grille,,,,,,1034131805,,
Downspout Grille,,,,,,1034131813,,
Downspout Grille,,,,,,1034131812,,
Downspout Grille,,,,,,1034131725,,
Downspout Grille,,,,,,1034131723,,
Downspout Grille,,,,,,1034131724,,
Downspout Grille,,,,,,1034131722,,
Downspout Grille,,,,,,1034131721,,
Downspout Grille,,,,,,1034131720,,
,,,,,,,,
,,,,,,,,
Light Fixture,,,,,,1210520812,,
Light Fixture,,,,,,1034131787,,
,,,,,,,,
Light Fixture,,,,45428,,,,
Light Fixture,,,,45429,,,,
Light Fixture,,,,45538,,,,
Light Fixture,,,,17919,,,,
Light Fixture,,,,45514,,,,
Light Fixture,,,,45515,,,,
,,,,,,,,
Tree,,,,,,1210525905,,
Tree,,,,,,1210525904,,
Tree,,,,,,1034132287,,
Tree,,,,,,1034132286,,
Tree,,,,,,1034116722,,
Tree,,,,,,1034132285,,
Tree,,,,,,,,9052
,,,,,,,,
Manhole Cover,,,,,{5D6F0AB1-93B4-4A23-AC40-EB0951261355},,,
,,,,,,,,
Tree,,,,,,,,27679
Tree,,,,,,,,6368
Tree,,,,,,,,34278
