ID,x,latDir,y,lonDir,note,typename,subcategory,date,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
0,587670.4376,N,6139561.332,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
1,587668.1952,N,6139556.027,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
2,587682.1708,N,6139550.48,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
3,587683.8239,N,6139555.949,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
4,587700.4111,N,6139551.951,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
5,587699.3154,N,6139546.487,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
6,587692.5801,N,6139542.113,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
7,587690.1571,N,6139548.266,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
8,587674.166,N,6139563.572,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
9,587656.4861,N,6139569.078,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
10,587653.5418,N,6139564.112,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
11,587642.1122,N,6139570.973,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
12,587645.2937,N,6139576.088,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
13,587630.2162,N,6139585.154,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
14,587627.0791,N,6139580.166,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
15,587670.1498,N,6139565.885,E,Totalstation,Downspout Grille,downtown,13/12/2020,,,,,
16,587705.4087,N,6139552.461,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
17,587703.1415,N,6139549.495,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
18,587680.1761,N,6139558.291,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
19,587679.4043,N,6139555.284,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
20,587662.5281,N,6139566.451,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
21,587654.183,N,6139566.603,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
22,587649.9483,N,6139564.409,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
23,587635.3198,N,6139578.697,E,Totalstation,Light Fixture,downtown,13/12/2020,,,,,
24,587641.6172,N,6139570.173,E,Totalstation,Tree,downtown,13/12/2020,,,,,
25,587652.0298,N,6139563.04,E,Totalstation,Tree,downtown,13/12/2020,,,,,
26,587690.4949,N,6139548.769,E,Totalstation,Greenery,downtown,13/12/2020,,,,,
