,ID,lat,lon,time,NMEA_lat,latDir,NMEA_lon,lonDir,fix,nSat,hError,altitude,unit,height (datum),unit.1,dgpsAge,checksum,note,typename,sub category,ID,energifyn,fjernvarme,geodanmark,kortopslag,samaqua
7,9,55.36782514,10.43196336,102035.2,5522.069508,N,1025.917802,E,4,9,,25.512,M,39.413,M,1.2,0008*7D,,Bench,,9,-,-,-,-,-
9,11,55.36788908,10.43195788,102125.8,5522.073345,N,1025.917473,E,4,9,,21.996,M,39.413,M,1.8,0008*73,,Bench,,11,-,-,-,-,-
11,13,55.36794226,10.43194983,102147.4,5522.076536,N,1025.91699,E,4,10,,21.92,M,39.413,M,1.4,0008*74,,Bench,,13,-,-,-,-,-
30,33,55.36793273,10.43175371,102758.25,5522.075964,N,1025.905223,E,4,9,,21.907,M,39.413,M,1.3,0008*70,,Bench,,33,-,-,-,-,-
31,34,55.36787998,10.43177317,102816.35,5522.072799,N,1025.90639,E,4,9,,21.95,M,39.413,M,1.4,0008*7B,,Bench,,34,-,-,-,-,-
35,38,55.36782672,10.43179221,102937.3,5522.069603,N,1025.907533,E,4,8,,21.87,M,39.413,M,1.3,0008*73,,Bench,,38,-,-,-,-,-
59,62,55.36775778,10.43110259,104136.95,5522.065467,N,1025.866155,E,4,8,,22.564,M,39.413,M,2,0008*7B,,Bench,,62,-,-,-,-,-
98,102,55.3683559,10.43058327,105621.35,5522.101354,N,1025.834996,E,4,9,,22.923,M,39.413,M,1.4,0008*76,,Bench,,102,-,-,-,-,-
111,116,55.36842039,10.4304666,110414.95,5522.105223,N,1025.827996,E,4,8,,22.755,M,39.413,M,2,0008*7B,,Bench,,116,-,-,-,-,-
75,79,55.36792806,10.43075053,104645.45,5522.075684,N,1025.845032,E,4,10,,24.386,M,39.413,M,1.5,0008*76,,Building Corner,Bikeshed,79,-,-,-,-,-
76,80,55.36801827,10.43073706,104706.4,5522.081096,N,1025.844224,E,4,9,,24.301,M,39.413,M,1.4,0008*73,,Building Corner,Bikeshed,80,-,-,-,-,-
290,305,55.36865071,10.43043102,134114.2,5522.119043,N,1025.825861,E,4,7,,23.519,M,39.415,M,1.2,0024*7F,,Building Corner,,305,-,-,-,-,-
291,308,55.3684333,10.43028406,134241.2,5522.105998,N,1025.817044,E,4,6,,23.703,M,39.415,M,1.2,0024*75,,Building Corner,,308,-,-,-,-,-
