ObjectID;OriginName;CoordOriginCode;AverageErrorCoord;Remark
188962;vcs-lol-191120;5;40;
56774;TV fra ISS Kloak og Indus;6;NULL;NULL
112884;vcs-cgm-180307_001;5;40;
44371;TV fra ISS Kloak og Indus;6;NULL;NULL
28387;TV fra ISS Kloak-& Indust;6;NULL;NULL
23;TEGNING PDF;3;NULL;NULL
140916;Per Aarsleff A/S Åbyhøj 2;1;200;NULL
23169;TV fra ISS Kloak & Indust;6;NULL;NULL
26372;TV fra ISS Kloak og Indus;6;NULL;NULL
171341;vcs-cgm-191029;5;40;
46;102008;5;10;Målt med GPS
35171;TV fra ISS Kloak-& Indust;6;NULL;NULL
13113;TV fra ISS Kloak & Indust;6;NULL;NULL
20776;TV fra ISS Kloak-& Indust;6;NULL;NULL
69;LE34-2012-10-01;5;20;NULL
192;D20131217VANDCENTER SYD;5;40;NULL
13090;TV fra ISS Kloak-& Indust;6;NULL;NULL
22791;TV fra ISS Kloak & Indust;6;NULL;NULL
27746;TV fra ISS Kloak-& Indust;6;NULL;NULL
128112;vcs-cgm-181008;5;40;
10242;TV fra ISS Kloak-& Indust;6;NULL;NULL
57584;TV fra ISS Kloak og Indus;6;NULL;NULL
114089;vcs-cgm-180604;5;40;
53571;vcs-cgm 2;5;40;NULL
8204;20140402Aarsleff;5;20;NULL
20770;TV fra ISS Kloak-& Indust;6;NULL;NULL
14301;TV fra ISS Kloak & Indust;6;NULL;NULL
9014;TV fra ISS Kloak-& Indust;6;NULL;NULL
10219;TV fra ISS Kloak-& Indust;6;NULL;NULL
151321;Landinspektørfirmaet LE34;5;NULL;NULL
35572;TV fra ISS Kloak-& Indust;6;NULL;NULL
13096;TV fra ISS Kloak-& Indust;6;NULL;NULL
54776;TV fra ISS Kloak og Indus;6;NULL;NULL
61606;TV fra ISS Kloak og Indus;6;NULL;NULL
42373;TV fra ISS Kloak og Indus;6;NULL;NULL
58002;TV fra ISS Kloak og Indus;6;NULL;NULL
192171;TV-NORVA24 Danmark A/S;0;NULL;NULL
31596;TV fra ISS Kloak-& Indust;6;NULL;NULL
51573;TV fra ISS Kloak og Indus;6;NULL;NULL
98875;vcs-cgm-170830-1;6;40;
155729;vcs-cgm-190401;5;40;
15967;TV fra HANS JØRGENSEN & S;6;NULL;NULL
4606;TV-Per Aarsleff A/S;6;NULL;NULL
169;LE34-2013-07-18;5;20;NULL
13153;TV fra Sydjysk Kloak Indu;6;NULL;NULL
61205;Entreprenørfirma Ollerup;5;NULL;NULL
110485;Munck Forsyningsledninger;50;NULL;NULL
32778;TV fra ISS Kloak og Indus;6;NULL;NULL
63226;TV fra ISS Kloak og Indus;6;NULL;NULL
15174;TV fra ISS Kloak-& Indust;6;NULL;NULL
104477;vcs-cgm_025;6;40;
10660;TV fra ISS Kloak-& Indust;6;NULL;NULL
14739;TV fra ISS Kloak-& Indust;6;NULL;NULL
27972;TV fra ISS Kloak-& Indust;6;NULL;NULL
176144;BR.RAP-Holst Kloakservice;7;NULL;NULL
105284;vcs-cgm-180405-1;6;40;
93259;Orbicon;1;NULL;NULL
184159;Per Aarsleff A/S_005;NULL;NULL;NULL
14716;TV fra ISS Kloak-& Indust;6;NULL;NULL
22376;TV fra ISS Kloak & Indust;6;NULL;NULL
19173;TV fra ISS Kloak-& Indust;6;NULL;NULL
132;D20121025AARSLEFF;5;500;NULL
16780;TV fra ISS Kloak Industri;6;NULL;NULL
156934;Geopartner (Nivelleme_002;5;NULL;NULL
42771;TV fra ISS Kloak og Indus;6;NULL;NULL
57192;TV fra ISS Kloak og Indus;6;NULL;NULL
46372;TV fra ISS Kloak og Indus;6;NULL;NULL
25977;TV fra ISS Kloak & Indust;6;NULL;NULL
109;ØSTRUP_T2000;3;NULL;NULL
65207;TV fra ISS Kloak og Indus;6;NULL;NULL
59207;TV fra ISS Kloak og Indus;6;NULL;NULL
28782;TV fra ISS Kloak-& Indust;6;NULL;NULL
26790;TV fra ISS Kloak og Indus;6;NULL;NULL
145716;vcs-cgm-181016_002;5;40;
190568;Geopartner (Stikrappor_01;5;NULL;NULL
115689;vcs-cgm-180612;5;40;
152526;vcs-cgm-181016-1;6;500;
55171;TV fra ISS Kloak og Indus;6;NULL;NULL
45974;TV fra ISS Kloak og Indus;6;NULL;NULL
89;D20090501LIFA;5;100;NULL
10239;TV fra ISS Kloak-& Indust;6;NULL;NULL
182553;vcs-cgm-200121;5;40;
165739;1_001;1;NULL;Oprindelsesdata ukendt kun kode angivet
13073;TV fra ISS Kloak-& Indust;6;NULL;NULL
21978;TV fra ISS Kloak & Indust;6;NULL;NULL
30385;TV fra ISS Kloak og Indus;6;NULL;NULL
195;D20131118VANDCENTER SYD;5;40;NULL
62814;TV fra ISS Kloak og Indus;6;NULL;NULL
65221;TV fra ISS Kloak og Indus;6;NULL;NULL
154129;vcs-cgm-190124_001;5;40;
10225;TV fra ISS Kloak-& Indust;6;NULL;NULL
193771;LE34-2012-05-14_01;5;20;Aflevering af sydlig del af VEF1
63206;TV fra ISS Kloak og Indus;6;NULL;NULL
21586;TV fra ISS Kloak & Indust;6;NULL;NULL
3;3;3;NULL;Oprindelsesdata ukendt kun kode angivet
98065;vcs-cgm-180205-1;5;40;
31971;TV fra ISS Kloak-& Indust;6;NULL;NULL
59605;TV fra ISS Kloak og Indus;6;NULL;NULL
42791;TV fra ISS Kloak og Indus;6;NULL;NULL
146;LE34-2013-03-25;5;20;NULL
152;LE34-2013-06-03;5;20;NULL
100876;vcs-cgm_017;5;40;
57590;TV fra ISS Kloak og Indus;6;NULL;NULL
59213;TV fra ISS Kloak og Indus;6;NULL;NULL
13136;TV fra ISS Kloak & Indust;6;NULL;NULL
14759;TV fra ISS Kloak-& Indust;6;NULL;NULL
31573;TV fra ISS Kloak-& Indust;6;NULL;NULL
62808;TV fra ISS Kloak og Indus;6;NULL;NULL
16774;TV fra ISS Kloak Industri;6;NULL;NULL
33986;TV fra ISS Kloak-& Indust;6;NULL;NULL
15592;TV fra ISS Kloak-& Indust;6;NULL;NULL
70007;vcs-cgm_001_001;NULL;NULL;
10245;TV fra ISS Kloak-& Indust;6;NULL;NULL
9011;TV fra ISS Kloak-& Indust;6;NULL;NULL
10222;TV fra ISS Kloak-& Indust;6;NULL;NULL
82433;5_001;5;NULL;Oprindelsesdata ukendt kun kode angivet
189;PROJEKT;2;NULL;NULL
15177;TV fra ISS Kloak-& Indust;6;NULL;NULL
17169;TV fra ISS Kloak Industri;6;NULL;NULL
41171;TV fra ISS Kloak og Indus;6;NULL;NULL
