Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Timestamp,Feature,Accessibility,Occluded Visibility,Domain,Category,Note,,
Bygning,Building,1034541299,65,"(55.40862370215031, 55.40873817803823, 55.40874268726934, 55.408788933528974, 55.40878381505424, 55.40889901836188, 55.40865764999549, 55.4086146771648, 55.408602101705924, 55.40841203743383, 55.40841325059223, 55.408370367531, 55.40862370215031)","(10.379423018040493, 10.379312806802654, 10.37932733759544, 10.379282668597694, 10.37926637908674, 10.379155402533776, 10.378380767637857, 10.378422076559403, 10.378381676842615, 10.378564601353474, 10.378568592379432, 10.378609903973489, 10.379423018040493)",9/12/2020 18:50:24,Exists,100,100,Public,True Positive,,,
Bygning,Building,1114480230,64,"(55.40798502691142, 55.4079901949305, 55.407852584526374, 55.40759380121331, 55.40758901673396, 55.40754599247488, 55.40754833678915, 55.40748375458864, 55.407482982381765, 55.40745801082299, 55.40745604457772, 55.40747805167394, 55.4074773345537, 55.4075332946403, 55.40765985745092, 55.40766049186181, 55.40784750636408, 55.40798502691142)","(10.378577058448453, 10.378206214617403, 10.378200318757877, 10.378189257309497, 10.37853404935118, 10.37853207749546, 10.378363944595142, 10.378361064473978, 10.378413634157562, 10.378412606833074, 10.378555165009898, 10.378556089206695, 10.378603764421987, 10.378606186771675, 10.378611541351153, 10.378563231242909, 10.37857116442924, 10.378577058448453)",9/12/2020 19:08:36,Exists,100,100,Public,True Positive,,,
Bygning,Building,1067402696,63,"(55.40784288203437, 55.40778878480733, 55.40769078584436, 55.407737562399205, 55.40791412662798, 55.40791264936829, 55.4079463618981, 55.40794749052018, 55.4080297292089, 55.40795544794491, 55.40788511149261, 55.407872613847914, 55.40793649607934, 55.40788772376346, 55.40780503264497, 55.40779947929975, 55.40776503933143, 55.40781936306519, 55.40786787267366, 55.40784288203437)","(10.379985279698435, 10.379849611426929, 10.380020729144265, 10.380279500063015, 10.380106540880837, 10.38010206680317, 10.380069124853625, 10.380072639084068, 10.379992108174465, 10.379757649118293, 10.379794843218988, 10.379755552162697, 10.379693019116681, 10.379539372301082, 10.379620203994612, 10.379602636101556, 10.379636342721689, 10.379807714988338, 10.37996072092059, 10.379985279698435)",9/12/2020 20:04:21,Exists,100,100,Public,True Positive,,,
Bygning,Building,1067402624,62,"(55.40830794312393, 55.40829170325097, 55.40826943458393, 55.4082856744479, 55.40830794312393)","(10.378407606464247, 10.37835744448842, 10.37837973003454, 10.37842989199099, 10.378407606464247)",9/12/2020 19:16:49,Exists,100,75,Public,True Positive,,,
Bygning,Building,1095484119,61,"(55.40794694788492, 55.40796711146398, 55.407925263103266, 55.407929441682946, 55.407912373396435, 55.407888121101024, 55.40794694788492)","(10.379682642769431, 10.379663759666183, 10.37952567511475, 10.379521714024786, 10.379465363176141, 10.37948821057554, 10.379682642769431)",9/12/2020 18:35:37,Exists,100,100,Public,True Positive,Added after the fact,,
Bygning,Building,1113472612,60,"(55.4090170532092, 55.409028943961104, 55.40908901142211, 55.40907712065248, 55.4090170532092)","(10.377916102230417, 10.377953477268548, 10.377894439710952, 10.377857064633249, 10.377916102230417)",9/12/2020 18:35:37,Exists,92,95,Public,True Positive,,,
Bygning,Building,1034541301,59,"(55.40811123850033, 55.408274415219694, 55.408276235789415, 55.40835773424588, 55.40833162805254, 55.408329630374574, 55.408288950559964, 55.408212266766114, 55.408215392085346, 55.40820785053647, 55.40801286983587, 55.407868046754366, 55.407862830853034, 55.40789153976994, 55.40788963192995, 55.40811123850033)","(10.379912499213267, 10.379755181239693, 10.37976108886717, 10.379682426275247, 10.379598750172379, 10.379600575974427, 10.379470428479305, 10.379544520617154, 10.37955426450298, 10.379561583348888, 10.378937205704743, 10.37907684320391, 10.379109041105727, 10.379201019912495, 10.379202848844102, 10.379912499213267)",9/12/2020 20:04:08,Exists,100,100,Public,True Positive,,,
Bygning,Building,1103667147,58,"(55.40785925955946, 55.407809799330614, 55.40776175469747, 55.40781121486724, 55.40785925955946)","(10.37930619521911, 10.379141784697792, 10.379186548076689, 10.379350958452426, 10.37930619521911)",9/12/2020 20:02:31,Exists,75,90,Public,True Positive,,,
Bygning,Building,1067402504,57,"(55.408208409892474, 55.40812973476822, 55.40815618545891, 55.40823477080253, 55.408208409892474)","(10.377813880010123, 10.377889327439751, 10.377974435507872, 10.377898985072305, 10.377813880010123)",9/12/2020 19:14:40,Exists,67,95,Public,True Positive,,,
Bygning,Building,1113472767,56,"(55.40834037334983, 55.40837209665282, 55.40823917105035, 55.40820744963392, 55.40834037334983)","(10.380034368147731, 10.380129928759878, 10.380266345075944, 10.380170626790399, 10.380034368147731)",9/12/2020 19:38:59,Exists,19,65,Public,True Positive,,,
Bygning,Building,1113473418,55,"(55.40825549882437, 55.40826799459346, 55.40829861719442, 55.40828603158377, 55.40825549882437)","(10.3800378856843, 10.380077335098902, 10.380047444151023, 10.380007991583835, 10.3800378856843)",9/12/2020 19:38:18,Exists,44,60,Public,True Positive,,,
Bygning,Building,1202726960,54,"(55.408188903040745, 55.40815356163243, 55.40821652391018, 55.40825186537376, 55.408188903040745)","(10.377981892246058, 10.378015885119583, 10.378218357880455, 10.378184365135478, 10.377981892246058)",9/12/2020 19:15:29,Exists,25,100,Public,True Positive,,,
Chikane,Chicane,1103667902,53,"(55.40806283143761, 55.40806338375004, 55.40806822665254, 55.40807542298406, 55.40812394388074, 55.40812764657201, 55.40813127188689, 55.40813431997897, 55.40813849501489, 55.4081420983746, 55.40813999047791, 55.40813267409227, 55.40812326219258, 55.40811084135234, 55.40809872112853, 55.408086432789844, 55.40807735081522, 55.40807155609919, 55.40806283143761)","(10.378339683625429, 10.378346494701805, 10.378355350550553, 10.378362708834205, 10.378371347861874, 10.378369739316742, 10.378367022425863, 10.378359704881737, 10.378340106449476, 10.378235668813483, 10.378215377801356, 10.37819474753351, 10.378184626992839, 10.378178350471057, 10.378177296770847, 10.37818318702159, 10.378199613582654, 10.378243321966046, 10.378339683625429)",9/12/2020 19:11:23,Exists,100,100,Public,True Positive,,,
Chikane,Chicane,1103667885,52,"(55.408621860597165, 55.408653252518, 55.408670449838034, 55.40863812396509)","(10.3794588090309, 10.379559886641946, 10.379541057739502, 10.379443106604256)",9/12/2020 19:27:54,Exists,100,100,Public,True Positive,,,
Chikane,Chicane,1113474022,51,"(55.40819487981842, 55.40819599411974)","(10.377738540632272, 10.377663552931974)",9/12/2020 18:58:37,Exists,100,100,Public,True Positive,,,
Chikane,Chicane,1113474021,50,"(55.40816753704662, 55.40816761071109)","(10.377740590200318, 10.377662249383489)",9/12/2020 18:58:51,Exists,100,100,Public,True Positive,,,
Hegn,Fence,1103668326,49,"(55.40881723964326, 55.40897656646689, 55.40893213334087, 55.40877086952587, 55.40881723964326)","(10.37815081596848, 10.377999988068535, 10.377851860748953, 10.37799914669544, 10.37815081596848)",9/12/2020 18:44:09,Exists,100,97,Public,True Positive,,,
Hegn,Fence,1103668473,48,"(55.407913137757205, 55.407560268092645)","(10.37777912233704, 10.37776763261636)",9/12/2020 19:03:21,Does not exist,,,Public,False Positive,,,
Hegn,Fence,1095507621,47,"(55.407574231789084, 55.40754676441589, 55.40753639226772, 55.40752943185813)","(10.379319325993132, 10.379157104264738, 10.37912057290161, 10.378606052270998)",9/12/2020 20:03:13,Exists,100,100,Public,True Positive,,,
Trae,Tree,1103670790,46,55.408786026144256,10.37811355823292,9/12/2020 18:45:25,Exists,100,100,Public,True Positive,,,
Trae,Tree,1103670849,45,55.40876149489421,10.378081429686489,9/12/2020 18:46:10,Does not exist,,,Public,False Positive,,,
Nedloebsrist,Downspout Grille,1034480000,44,55.4078727612968,10.379200681660592,9/12/2020 20:01:51,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1034479998,43,55.40808230546471,10.378844380177197,9/12/2020 19:20:03,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1034479994,42,55.40786589003053,10.379475273903907,9/12/2020 19:57:05,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1034479993,41,55.407923299776165,10.379620060466506,9/12/2020 19:54:13,Exists,100,100,Private,True Positive,,,
Nedloebsrist,Downspout Grille,1034479992,40,55.40797115384793,10.379536435184129,9/12/2020 19:51:20,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1034479991,39,55.408018248802456,10.379918419304781,9/12/2020 19:46:17,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1034479990,38,55.408071315638544,10.379858668357242,9/12/2020 19:46:44,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103670055,37,55.40822572779461,10.377720502077036,9/12/2020 18:58:18,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103670021,36,55.40812631212518,10.380193386281501,9/12/2020 19:41:17,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103670006,35,55.40797387038775,10.380052393361545,9/12/2020 19:44:52,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1103669996,34,55.40796230225888,10.377602982040484,9/12/2020 19:00:22,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669962,33,55.408489677609936,10.37763191505258,9/12/2020 18:54:41,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669961,32,55.4085760599079,10.379758743658558,9/12/2020 19:45:14,Exists,61,0,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669950,31,55.408231278479604,10.377618659132342,9/12/2020 18:58:07,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669944,30,55.408010994741936,10.38001972819212,9/12/2020 18:55:57,Does not exist,,,Public,False Positive,Broenddaeksel,,
Nedloebsrist,Downspout Grille,1103669934,29,55.40782639019514,10.377837229860676,9/12/2020 19:03:59,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669859,28,55.408098751995865,10.377608203659717,9/12/2020 18:59:30,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669788,27,55.40892189582886,10.379429774785127,9/12/2020 18:31:10,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669722,26,55.40848769439382,10.377728196544522,9/12/2020 18:54:15,Exists,100,100,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669661,25,55.40810294252358,10.377850486982371,9/12/2020 19:13:26,Exists,89,70,Public,True Positive,,,
Nedloebsrist,Downspout Grille,1103669532,24,55.40804202449116,10.380001539875716,9/12/2020 19:45:43,Does not exist,,,Public,False Positive,Broenddaeksel,,
