Feature Tag,English,id.lokalId,Feature #,Latitude,Longtitude,Tidsstempel,Category,Domain,Accessibility,Occluded Visibility,Note
Trae,Tree,N/A,-37,55.39,10.38,14/09/2020 11.45,False Negative,Public,0,75,
Trae,Tree,N/A,-36,55.39,10.38,14/09/2020 11.43,False Negative,Public,0,75,
Trae,Tree,N/A,-35,55.39,10.38,14/09/2020 11.43,False Negative,Public,0,75,
Trae,Tree,N/A,-34,55.39,10.38,14/09/2020 11.42,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-33,55.39,10.38,14/09/2020 11.39,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-32,55.39,10.38,14/09/2020 11.38,False Negative,Public,100,0,
Trae,Tree,N/A,-31,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Expanded -29 after the fact.
Trae,Tree,N/A,-30,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Expanded -29 after the fact.
Trae,Tree,N/A,-29,55.39,10.38,14/09/2020 11.33,False Negative,Public,0,80,Til 31
Trae,Tree,N/A,-28,55.39,10.38,14/09/2020 11.30,False Negative,Public,70,0,
Trae,Tree,N/A,-27,55.39,10.38,14/09/2020 11.29,False Negative,Public,100,0,
Trae,Tree,N/A,-26,55.39,10.38,14/09/2020 11.24,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-25,55.39,10.38,14/09/2020 11.17,False Negative,Public,70,0,
Trae,Tree,N/A,-24,55.39,10.38,14/09/2020 11.13,False Negative,Public,100,0,
Trae,Tree,N/A,-23,55.39,10.38,14/09/2020 11.06,False Negative,Public,0,60,
Trae,Tree,N/A,-22,55.39,10.38,14/09/2020 11.02,False Negative,Public,40,85,
Trae,Tree,N/A,-21,55.39,10.38,14/09/2020 10.59,False Negative,Public,0,70,
Trae,Tree,N/A,-20,55.39,10.38,14/09/2020 11.03,False Negative,Public,0,75,
Trae,Tree,N/A,-19,55.39,10.38,14/09/2020 10.56,False Negative,Public,100,0,
Trae,Tree,N/A,-18,55.39,10.38,14/09/2020 10.54,False Negative,Public,100,0,
Trae,Tree,N/A,-17,55.39,10.38,14/09/2020 10.53,False Negative,Public,100,0,
Trae,Tree,N/A,-16,55.39,10.38,14/09/2020 10.52,False Negative,Public,100,0,
Mast,Mast (light fixture),N/A,-15,55.39,10.38,14/09/2020 10.42,False Negative,Public,60,0,
Mast,Mast (light fixture),N/A,-14,55.39,10.38,14/09/2020 10.41,False Negative,Public,80,75,
